name	calls_per_shard	ms_per_shard	share_of_top
envelope.native_call	1.0	1499.408	0.5000
envelope.blocks_backward	1.0	718.373	0.2396
envelope.blocks_forward	1.0	426.361	0.1422
bwd.mlp_through_oproj	12.0	378.352	0.1262
block.mlp_and_residuals	12.0	213.586	0.0712
block.attention_total	12.0	207.758	0.0693
bwd.attention	12.0	171.984	0.0574
bwd.after_attention	12.0	167.937	0.0560
gemm.proj_dA	48.0	154.843	nan
gemm.gateup_fwd	24.0	153.131	nan
step.head_forward	1.0	129.814	0.0433
gemm.head_fwd	1.0	129.795	nan
gemm.proj_fwd	48.0	129.745	nan
step.head_backward_da	1.0	111.175	0.0371
gemm.head_dA	1.0	111.165	nan
gemm.gateup_dA	24.0	107.381	nan
attn.qkv_proj	12.0	97.747	0.0326
gemm.down_dA	12.0	88.980	nan
grad.down_dA	12.0	88.980	0.0297
gemm.gateup_dB	24.0	81.414	nan
step.head_backward_db	1.0	81.324	0.0271
gemm.head_dB	1.0	81.318	nan
fwd.up_proj	12.0	76.712	0.0256
fwd.gate_proj	12.0	76.419	0.0255
attn.core	12.0	75.718	0.0253
attn.fwd_r2_keep_kernel	12.0	72.480	0.0242
attn.bwd_kvgrid_dkdv_pf	12.0	67.440	0.0225
attn.bwd_dq_tiled_pf	12.0	65.106	0.0217
gemm.proj_dB	48.0	59.289	nan
grad.up_dA	12.0	53.870	0.0180
grad.gate_dA	12.0	53.511	0.0178
fwd.down_proj	12.0	52.866	0.0176
gemm.down_fwd	12.0	52.866	nan
grad.gate_dB	12.0	41.154	0.0137
grad.up_dB	12.0	40.260	0.0134
grad.q_dA	12.0	39.569	0.0132
gemm.down_dB	12.0	39.438	nan
grad.down_dB	12.0	39.438	0.0132
grad.o_dA	12.0	38.652	0.0129
grad.k_dA	12.0	38.443	0.0128
grad.v_dA	12.0	38.180	0.0127
attn.bwd_zdot_estash_dres_pf	12.0	34.729	0.0116
fwd.v_proj	12.0	32.533	0.0108
fwd.k_proj	12.0	32.501	0.0108
fwd.q_proj	12.0	32.461	0.0108
attn.o_proj	12.0	32.373	0.0108
fwd.o_proj	12.0	32.250	0.0108
grad.v_dB	12.0	15.146	0.0051
grad.q_dB	12.0	14.968	0.0050
grad.o_dB	12.0	14.620	0.0049
grad.k_dB	12.0	14.555	0.0049
step.ce_forward	1.0	12.258	0.0041
step.embedding_backward	1.0	8.724	0.0029
block.norm1	12.0	4.956	0.0017
fwd.norm2	12.0	4.002	0.0013
fwd.norm1	12.0	3.787	0.0013
attn.bwd_regime_scan	12.0	3.511	0.0012
step.ce_backward	1.0	3.099	0.0010
step.validate_after_scan	1.0	2.586	0.0009
grad.norm2_kernels	12.0	2.477	0.0008
attn.fwd_regime_scan	12.0	2.476	0.0008
grad.norm1_kernels	12.0	2.381	0.0008
grad.gate_mul	12.0	1.936	0.0006
attn.rope_and_cache	12.0	1.884	0.0006
step.optimizer	1.0	1.634	0.0005
step.ce_refuse_scan	1.0	1.517	0.0005
gemm.norm_dW	24.0	1.508	nan
grad.rope	12.0	1.449	0.0005
fwd.silu	12.0	1.094	0.0004
fwd.refuse_call	12.0	1.062	0.0004
fwd.gate_mul	12.0	1.050	0.0004
attn.bwd_corner_flag	12.0	0.777	0.0003
grad.norm2_dW	12.0	0.764	0.0003
grad.kv_slice	12.0	0.754	0.0003
grad.norm1_dW	12.0	0.744	0.0002
step.unpack_weights	1.0	0.705	0.0002
step.pack_grads	1.0	0.698	0.0002
grad.refuse_scan	12.0	0.677	0.0002
attn.fwd_corner_flag	12.0	0.587	0.0002
step.validate_grads_scan	1.0	0.579	0.0002
grad.qkv_fanin	12.0	0.521	0.0002
fwd.residual1_add	12.0	0.484	0.0002
fwd.residual2_add	12.0	0.463	0.0002
grad.gateup_fanin	12.0	0.463	0.0002
grad.x_add	12.0	0.455	0.0002
grad.residual2_copy	12.0	0.453	0.0002
attn.bwd_scratch_alloc	12.0	0.245	0.0001
step.upload_inputs	1.0	0.142	0.0000
step.py_flags	1.0	0.105	0.0000
step.embedding_forward	1.0	0.100	0.0000
step.loss_download	1.0	0.038	0.0000
grad.silu	12.0	0.015	0.0000
step.bind_publish	1.0	0.011	0.0000
grad.o_copy	12.0	0.010	0.0000
grad.residual1_add	12.0	0.010	0.0000
bwd.before_attention	12.0	0.009	0.0000
step.bind_final_sync	1.0	0.001	0.0000
# shards timed 2, kept 1; top level (step.* + envelope.*) 2998.652 ms a shard; gemm.* 1190.872 ms a shard
