name	calls_per_shard	ms_per_shard	share_of_top
envelope.native_call	1.0	987.993	0.5000
envelope.blocks_backward	1.0	513.081	0.2597
envelope.blocks_forward	1.0	251.040	0.1271
bwd.mlp_through_oproj	12.0	249.466	0.1263
bwd.attention	12.0	173.562	0.0878
block.attention_total	12.0	138.525	0.0701
block.mlp_and_residuals	12.0	107.528	0.0544
bwd.after_attention	12.0	89.947	0.0455
step.head_backward_da	1.0	80.230	0.0406
gemm.head_dA	1.0	80.217	nan
gemm.gateup_dA	24.0	77.018	nan
attn.core	12.0	76.668	0.0388
attn.fwd_r2_keep_kernel	12.0	73.414	0.0372
gemm.gateup_dB	24.0	70.515	nan
attn.bwd_kvgrid_dkdv_pf	12.0	67.874	0.0344
attn.bwd_dq_tiled_pf	12.0	66.184	0.0335
gemm.gateup_fwd	24.0	62.004	nan
gemm.proj_dA	48.0	61.669	nan
gemm.proj_fwd	48.0	59.556	nan
step.head_forward	1.0	56.452	0.0286
gemm.head_fwd	1.0	56.433	nan
step.head_backward_db	1.0	55.108	0.0279
gemm.head_dB	1.0	55.105	nan
gemm.proj_dB	48.0	49.084	nan
attn.qkv_proj	12.0	44.886	0.0227
grad.up_dA	12.0	38.568	0.0195
grad.gate_dA	12.0	38.449	0.0195
fwd.down_proj	12.0	38.325	0.0194
gemm.down_fwd	12.0	38.325	nan
gemm.down_dB	12.0	35.845	nan
grad.down_dB	12.0	35.845	0.0181
grad.gate_dB	12.0	35.485	0.0180
grad.up_dB	12.0	35.030	0.0177
attn.bwd_zdot_estash_dres_pf	12.0	34.832	0.0176
fwd.up_proj	12.0	31.433	0.0159
gemm.down_dA	12.0	30.930	nan
grad.down_dA	12.0	30.930	0.0157
fwd.gate_proj	12.0	30.571	0.0155
grad.q_dA	12.0	16.011	0.0081
grad.k_dA	12.0	15.488	0.0078
grad.v_dA	12.0	15.087	0.0076
grad.o_dA	12.0	15.084	0.0076
attn.o_proj	12.0	15.047	0.0076
fwd.o_proj	12.0	14.924	0.0076
fwd.k_proj	12.0	14.885	0.0075
fwd.q_proj	12.0	14.879	0.0075
fwd.v_proj	12.0	14.867	0.0075
grad.v_dB	12.0	12.564	0.0064
step.ce_forward	1.0	12.236	0.0062
grad.o_dB	12.0	12.234	0.0062
grad.q_dB	12.0	12.184	0.0062
grad.k_dB	12.0	12.102	0.0061
step.embedding_backward	1.0	8.499	0.0043
block.norm1	12.0	4.928	0.0025
fwd.norm1	12.0	3.793	0.0019
fwd.norm2	12.0	3.767	0.0019
attn.bwd_regime_scan	12.0	3.494	0.0018
step.ce_backward	1.0	3.079	0.0016
step.validate_after_scan	1.0	2.572	0.0013
attn.fwd_regime_scan	12.0	2.501	0.0013
grad.norm2_kernels	12.0	2.493	0.0013
grad.norm1_kernels	12.0	2.329	0.0012
grad.gate_mul	12.0	1.951	0.0010
attn.rope_and_cache	12.0	1.888	0.0010
step.optimizer	1.0	1.653	0.0008
step.ce_refuse_scan	1.0	1.490	0.0008
gemm.norm_dW	24.0	1.458	nan
grad.rope	12.0	1.098	0.0006
fwd.refuse_call	12.0	1.034	0.0005
fwd.silu	12.0	1.026	0.0005
fwd.gate_mul	12.0	0.991	0.0005
attn.bwd_corner_flag	12.0	0.764	0.0004
grad.norm2_dW	12.0	0.731	0.0004
grad.norm1_dW	12.0	0.727	0.0004
step.unpack_weights	1.0	0.698	0.0004
step.pack_grads	1.0	0.698	0.0004
grad.refuse_scan	12.0	0.684	0.0003
grad.kv_slice	12.0	0.650	0.0003
attn.fwd_corner_flag	12.0	0.587	0.0003
step.validate_grads_scan	1.0	0.578	0.0003
grad.qkv_fanin	12.0	0.505	0.0003
grad.gateup_fanin	12.0	0.466	0.0002
fwd.residual2_add	12.0	0.465	0.0002
fwd.residual1_add	12.0	0.459	0.0002
grad.residual2_copy	12.0	0.448	0.0002
grad.x_add	12.0	0.447	0.0002
attn.bwd_scratch_alloc	12.0	0.235	0.0001
step.upload_inputs	1.0	0.146	0.0001
step.py_flags	1.0	0.108	0.0001
step.embedding_forward	1.0	0.100	0.0001
step.loss_download	1.0	0.044	0.0000
grad.silu	12.0	0.014	0.0000
step.bind_publish	1.0	0.011	0.0000
grad.o_copy	12.0	0.011	0.0000
grad.residual1_add	12.0	0.010	0.0000
bwd.before_attention	12.0	0.008	0.0000
step.bind_final_sync	1.0	0.002	0.0000
# shards timed 2, kept 1; top level (step.* + envelope.*) 1975.818 ms a shard; gemm.* 678.158 ms a shard
