name	calls_per_shard	ms_per_shard	share_of_top
envelope.native_call	1.0	2204.621	0.5000
envelope.blocks_backward	1.0	1008.774	0.2288
bwd.mlp_through_oproj	12.0	614.414	0.1394
envelope.blocks_forward	1.0	574.842	0.1304
block.mlp_and_residuals	12.0	320.116	0.0726
block.attention_total	12.0	249.714	0.0566
step.head_backward_da	1.0	248.897	0.0565
gemm.head_dA	1.0	248.883	nan
gemm.gateup_dA	24.0	241.300	nan
bwd.after_attention	12.0	218.176	0.0495
gemm.proj_dA	48.0	193.611	nan
gemm.gateup_fwd	24.0	192.861	nan
bwd.attention	12.0	176.075	0.0399
gemm.proj_fwd	48.0	171.373	nan
step.head_forward	1.0	170.342	0.0386
gemm.head_fwd	1.0	170.320	nan
step.head_backward_db	1.0	169.422	0.0384
gemm.head_dB	1.0	169.414	nan
attn.qkv_proj	12.0	128.883	0.0292
gemm.gateup_dB	24.0	124.952	nan
grad.up_dA	12.0	121.559	0.0276
grad.gate_dA	12.0	119.740	0.0272
fwd.down_proj	12.0	119.569	0.0271
gemm.down_fwd	12.0	119.569	nan
gemm.down_dA	12.0	108.901	nan
grad.down_dA	12.0	108.901	0.0247
fwd.up_proj	12.0	96.725	0.0219
fwd.gate_proj	12.0	96.136	0.0218
gemm.proj_dB	48.0	87.155	nan
attn.core	12.0	76.013	0.0172
attn.fwd_r2_keep_kernel	12.0	72.736	0.0165
attn.bwd_kvgrid_dkdv_pf	12.0	71.127	0.0161
attn.bwd_dq_tiled_pf	12.0	65.685	0.0149
grad.gate_dB	12.0	62.660	0.0142
grad.up_dB	12.0	62.292	0.0141
gemm.down_dB	12.0	61.756	nan
grad.down_dB	12.0	61.756	0.0140
grad.q_dA	12.0	49.968	0.0113
grad.o_dA	12.0	48.529	0.0110
grad.k_dA	12.0	47.674	0.0108
grad.v_dA	12.0	47.440	0.0108
fwd.q_proj	12.0	43.122	0.0098
fwd.k_proj	12.0	42.915	0.0097
attn.o_proj	12.0	42.897	0.0097
fwd.o_proj	12.0	42.761	0.0097
fwd.v_proj	12.0	42.576	0.0097
attn.bwd_zdot_estash_dres_pf	12.0	34.202	0.0078
grad.v_dB	12.0	22.770	0.0052
grad.k_dB	12.0	22.189	0.0050
grad.q_dB	12.0	21.238	0.0048
grad.o_dB	12.0	20.957	0.0048
step.ce_forward	1.0	12.275	0.0028
step.embedding_backward	1.0	8.704	0.0020
block.norm1	12.0	4.948	0.0011
fwd.norm2	12.0	4.028	0.0009
fwd.norm1	12.0	3.789	0.0009
attn.bwd_regime_scan	12.0	3.581	0.0008
step.ce_backward	1.0	3.092	0.0007
step.validate_after_scan	1.0	2.571	0.0006
attn.fwd_regime_scan	12.0	2.518	0.0006
grad.norm2_kernels	12.0	2.483	0.0006
grad.norm1_kernels	12.0	2.411	0.0005
grad.gate_mul	12.0	1.965	0.0004
attn.rope_and_cache	12.0	1.883	0.0004
step.optimizer	1.0	1.633	0.0004
gemm.norm_dW	24.0	1.530	nan
step.ce_refuse_scan	1.0	1.511	0.0003
grad.rope	12.0	1.235	0.0003
fwd.silu	12.0	1.100	0.0002
fwd.gate_mul	12.0	1.065	0.0002
fwd.refuse_call	12.0	1.053	0.0002
attn.bwd_corner_flag	12.0	1.047	0.0002
grad.norm1_dW	12.0	0.766	0.0002
grad.norm2_dW	12.0	0.764	0.0002
step.unpack_weights	1.0	0.701	0.0002
step.pack_grads	1.0	0.699	0.0002
grad.refuse_scan	12.0	0.693	0.0002
grad.kv_slice	12.0	0.658	0.0001
attn.fwd_corner_flag	12.0	0.593	0.0001
step.validate_grads_scan	1.0	0.586	0.0001
grad.qkv_fanin	12.0	0.539	0.0001
fwd.residual1_add	12.0	0.503	0.0001
grad.gateup_fanin	12.0	0.472	0.0001
fwd.residual2_add	12.0	0.469	0.0001
grad.x_add	12.0	0.458	0.0001
grad.residual2_copy	12.0	0.453	0.0001
attn.bwd_scratch_alloc	12.0	0.250	0.0001
step.py_flags	1.0	0.146	0.0000
step.upload_inputs	1.0	0.134	0.0000
step.embedding_forward	1.0	0.097	0.0000
step.loss_download	1.0	0.041	0.0000
grad.silu	12.0	0.016	0.0000
step.bind_publish	1.0	0.012	0.0000
grad.o_copy	12.0	0.011	0.0000
grad.residual1_add	12.0	0.010	0.0000
bwd.before_attention	12.0	0.008	0.0000
step.bind_final_sync	1.0	0.002	0.0000
# shards timed 2, kept 1; top level (step.* + envelope.*) 4409.101 ms a shard; gemm.* 1891.624 ms a shard
