"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,1,1,9055,9055,411705344,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_INSTS_LDS",0.00000000e+00,1227017534776,1227018336349
1,1,1,1,9055,9055,411705344,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_WAIT_ANY",667582482.000000,1227017534776,1227018336349
1,1,1,1,9055,9055,411705344,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_WAIT_INST_LDS",0.00000000e+00,1227017534776,1227018336349
1,1,1,1,9055,9055,411705344,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_WAVE_CYCLES",1115813190.000000,1227017534776,1227018336349
2,2,1,1,9055,9055,38597376,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_INSTS_LDS",0.00000000e+00,1227018441225,1227018519843
2,2,1,1,9055,9055,38597376,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_WAIT_ANY",63929757.000000,1227018441225,1227018519843
2,2,1,1,9055,9055,38597376,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_WAIT_INST_LDS",0.00000000e+00,1227018441225,1227018519843
2,2,1,1,9055,9055,38597376,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_WAVE_CYCLES",106520318.000000,1227018441225,1227018519843
3,3,1,1,9055,9055,688128,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_4e3063e3566ca973",256,40960,4104,128,152,112,"SQ_INSTS_LDS",675508224.000000,1227020336944,1227077149572
3,3,1,1,9055,9055,688128,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_4e3063e3566ca973",256,40960,4104,128,152,112,"SQ_WAIT_ANY",6679394908.000000,1227020336944,1227077149572
3,3,1,1,9055,9055,688128,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_4e3063e3566ca973",256,40960,4104,128,152,112,"SQ_WAIT_INST_LDS",474781777.000000,1227020336944,1227077149572
3,3,1,1,9055,9055,688128,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_4e3063e3566ca973",256,40960,4104,128,152,112,"SQ_WAVE_CYCLES",30242169998.000000,1227020336944,1227077149572
4,4,1,1,9055,9055,6291456,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_INSTS_LDS",0.00000000e+00,1227077208185,1227077302478
4,4,1,1,9055,9055,6291456,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_WAIT_ANY",210417100.000000,1227077208185,1227077302478
4,4,1,1,9055,9055,6291456,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_WAIT_INST_LDS",0.00000000e+00,1227077208185,1227077302478
4,4,1,1,9055,9055,6291456,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_WAVE_CYCLES",319795196.000000,1227077208185,1227077302478
5,5,1,1,9055,9055,688128,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_4e3063e3566ca973",256,40960,4104,128,152,112,"SQ_INSTS_LDS",675508224.000000,1227338495411,1227395084257
5,5,1,1,9055,9055,688128,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_4e3063e3566ca973",256,40960,4104,128,152,112,"SQ_WAIT_ANY",7303423203.000000,1227338495411,1227395084257
5,5,1,1,9055,9055,688128,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_4e3063e3566ca973",256,40960,4104,128,152,112,"SQ_WAIT_INST_LDS",461984008.000000,1227338495411,1227395084257
5,5,1,1,9055,9055,688128,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_4e3063e3566ca973",256,40960,4104,128,152,112,"SQ_WAVE_CYCLES",30855627399.000000,1227338495411,1227395084257
6,6,1,1,9055,9055,6291456,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_INSTS_LDS",0.00000000e+00,1227395167284,1227395262179
6,6,1,1,9055,9055,6291456,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_WAIT_ANY",210044585.000000,1227395167284,1227395262179
6,6,1,1,9055,9055,6291456,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_WAIT_INST_LDS",0.00000000e+00,1227395167284,1227395262179
6,6,1,1,9055,9055,6291456,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_WAVE_CYCLES",319542998.000000,1227395167284,1227395262179
