"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_4e3063e3566ca973",506,878712972,1736586.901186,54.07,812639,56725510,3542311.303401
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_f9dade9e4111c0be",2,109939692,54969846.000000,6.76,54793459,55146233,249448.887626
"transformer_impl_llama_fused_6A6A6A6A6A6A_3ca2c1f09bb042e6",24,108400425,4516684.375000,6.67,4343112,4807243,116462.177808
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2f61943385da6777",2,106774468,53387234.000000,6.57,53311705,53462763,106814.136152
"transformer_impl_llama_fused_6A6A6A6A6A6A_7eaefe627b550df2",24,105797862,4408244.250000,6.51,4335733,4611241,71375.570556
"transformer_impl_llama_fused_6A6A6A6A6A6A_30068d0323ccc047",24,101990925,4249621.875000,6.28,3978368,4512054,156447.236249
"transformer_impl_llama_fused_6A6A6A6A6A6A_7d8e4f71d6d7d8ba",24,56643908,2360162.833333,3.49,2270339,2480134,56261.631543
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",506,38459564,76007.043478,2.37,53721,127128,20045.722929
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2",2,15993562,7996781.000000,0.9841,7968117,8025445,40537.017552
"embedding_checks_embedding_ide6A6A6A6A_02a428d7480c858f",2,14222676,7111338.000000,0.8751,6978239,7244437,188230.410938
"core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb",196,13171102,67199.500000,0.8104,1363,1404899,208337.130335
"transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886",48,12768300,266006.250000,0.7856,245355,293985,18229.713236
"__amd_rocclr_fillBufferAligned",1019,8394779,8238.252208,0.5165,641,329868,16577.078849
"transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7",48,5036362,104924.208333,0.3099,95697,108445,2070.571172
"training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c",2,3702381,1851190.500000,0.2278,1844496,1857885,9467.452693
"transformer_impl_llama_fused_6A6A6A6A6A6A_b136a97923f44f48",168,3513793,20915.434524,0.2162,16237,25418,2722.464808
"transformer_checks_transformer6A6A6A6A_701f75a72b36f978",24,3247631,135317.958333,0.1998,133983,137712,883.345985
"training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae",2,3051026,1525513.000000,0.1877,1517795,1533231,10914.900274
"training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6",2,2918767,1459383.500000,0.1796,1457259,1461508,3004.496713
"training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde",2,2868052,1434026.000000,0.1765,1428955,1439097,7171.476975
"core_device_scan_negative_part6A6A6A6A_c691e2646998e577",4,2548008,637002.000000,0.1568,611103,655444,22112.949705
"__amd_rocclr_copyBuffer",395,1946034,4926.668354,0.1197,1764,13110,3271.919102
"embedding_checks_embedding_ide6A6A6A6A_7c4e8ec94604f999",2,1840326,920163.000000,0.1132,911142,929184,12757.620546
"transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c",48,1831107,38148.062500,0.1127,31592,46144,5421.921366
"transformer_impl_llama_modeli6A6A6A6A6A6A_1ab8d6c2c317d533",24,1807692,75320.500000,0.1112,73446,78258,1217.196279
"transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae",48,1761188,36691.416667,0.1084,34277,38488,819.611424
"transformer_impl_llama_modeli6A6A6A6A6A6A_4bcd8fe7b706401a",24,1760908,73371.166667,0.1084,71843,76213,1171.343549
"transformer_checks_transformer6A6A6A6A_9e49fedb5168a455",48,1672105,34835.520833,0.1029,31471,41774,2137.150778
"transformer_checks_transformer6A6A6A6A_6755bf37231227cb",48,1396118,29085.791667,0.0859,27743,30429,616.310641
"transformer_checks_transformer6A6A6A6A_9ffe5e8f5d25dc0e",48,1391508,28989.750000,0.0856,26541,30469,596.786626
"mamba_impl_modeling_modeling_6A6A6A6A6A6A_7bdf59c912a151a2",48,1344205,28004.270833,0.0827,25818,30749,1571.144044
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_99adfa7b2bcdfe0e",48,1259968,26249.333333,0.0775,25057,27502,454.772580
"training_checks_train_loop_tr6A6A6A6A6A6A_801597e5bf0ab752",8,1194343,149292.875000,0.0735,148857,149939,350.370187
"training_checks_loss_ce_row_m6A6A6A6A6A6A_997b99fb729e07d6",2,1157139,578569.500000,0.0712,577908,579231,935.502272
"embedding_checks_embedding_ide6A6A6A6A_8abd8314df0ff543",2,1116609,558304.500000,0.0687,539462,577147,26647.319049
"transformer_checks_transformer6A6A6A6A_e0aadbba61216e38",24,955286,39803.583333,0.0588,37485,45222,2232.400344
