"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,1,1,2571,2571,16777216,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_INSTS_LDS",0.00000000e+00,365098318728,365098354370
1,1,1,1,2571,2571,16777216,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_VALU_MFMA_BUSY_CYCLES",0.00000000e+00,365098318728,365098354370
1,1,1,1,2571,2571,16777216,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_WAIT_INST_LDS",0.00000000e+00,365098318728,365098354370
1,1,1,1,2571,2571,16777216,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_WAVE_CYCLES",48165060.000000,365098318728,365098354370
2,2,1,1,2571,2571,6291456,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_INSTS_LDS",0.00000000e+00,365098547931,365098563086
2,2,1,1,2571,2571,6291456,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_VALU_MFMA_BUSY_CYCLES",0.00000000e+00,365098547931,365098563086
2,2,1,1,2571,2571,6291456,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_WAIT_INST_LDS",0.00000000e+00,365098547931,365098563086
2,2,1,1,2571,2571,6291456,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_WAVE_CYCLES",18618361.000000,365098547931,365098563086
3,3,1,1,2571,2571,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_INSTS_LDS",7864320.000000,365100250043,365101499219
3,3,1,1,2571,2571,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_VALU_MFMA_BUSY_CYCLES",402653184.000000,365100250043,365101499219
3,3,1,1,2571,2571,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_WAIT_INST_LDS",2257566.000000,365100250043,365101499219
3,3,1,1,2571,2571,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_WAVE_CYCLES",625655737.000000,365100250043,365101499219
4,4,1,1,2571,2571,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_INSTS_LDS",0.00000000e+00,365101554345,365101596722
4,4,1,1,2571,2571,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_VALU_MFMA_BUSY_CYCLES",0.00000000e+00,365101554345,365101596722
4,4,1,1,2571,2571,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_WAIT_INST_LDS",0.00000000e+00,365101554345,365101596722
4,4,1,1,2571,2571,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_WAVE_CYCLES",139129748.000000,365101554345,365101596722
5,5,1,1,2571,2571,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_INSTS_LDS",7864320.000000,365376277241,365377577051
5,5,1,1,2571,2571,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_VALU_MFMA_BUSY_CYCLES",402653184.000000,365376277241,365377577051
5,5,1,1,2571,2571,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_WAIT_INST_LDS",2186622.000000,365376277241,365377577051
5,5,1,1,2571,2571,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_WAVE_CYCLES",658101043.000000,365376277241,365377577051
6,6,1,1,2571,2571,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_INSTS_LDS",0.00000000e+00,365377659398,365377700933
6,6,1,1,2571,2571,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_VALU_MFMA_BUSY_CYCLES",0.00000000e+00,365377659398,365377700933
6,6,1,1,2571,2571,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_WAIT_INST_LDS",0.00000000e+00,365377659398,365377700933
6,6,1,1,2571,2571,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_WAVE_CYCLES",159359678.000000,365377659398,365377700933
