"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,1,1,2534,2534,16777216,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_BUSY_CYCLES",2133955.000000,359218802153,359218837875
1,1,1,1,2534,2534,16777216,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_INSTS_MFMA",0.00000000e+00,359218802153,359218837875
1,1,1,1,2534,2534,16777216,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_INSTS_VALU",9175040.000000,359218802153,359218837875
1,1,1,1,2534,2534,16777216,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_WAVES",262144.000000,359218802153,359218837875
2,2,1,1,2534,2534,6291456,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_BUSY_CYCLES",804830.000000,359219090371,359219105606
2,2,1,1,2534,2534,6291456,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_INSTS_MFMA",0.00000000e+00,359219090371,359219105606
2,2,1,1,2534,2534,6291456,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_INSTS_VALU",3440640.000000,359219090371,359219105606
2,2,1,1,2534,2534,6291456,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_WAVES",98304.000000,359219090371,359219105606
3,3,1,1,2534,2534,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_BUSY_CYCLES",71948967.000000,359220704361,359222080829
3,3,1,1,2534,2534,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_INSTS_MFMA",6291456.000000,359220704361,359222080829
3,3,1,1,2534,2534,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_INSTS_VALU",219787392.000000,359220704361,359222080829
3,3,1,1,2534,2534,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_WAVES",6144.000000,359220704361,359222080829
4,4,1,1,2534,2534,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_BUSY_CYCLES",2246403.000000,359222132868,359222176608
4,4,1,1,2534,2534,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_INSTS_MFMA",0.00000000e+00,359222132868,359222176608
4,4,1,1,2534,2534,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_INSTS_VALU",10223616.000000,359222132868,359222176608
4,4,1,1,2534,2534,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_WAVES",24576.000000,359222132868,359222176608
5,5,1,1,2534,2534,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_BUSY_CYCLES",80665625.000000,359497969345,359499361807
5,5,1,1,2534,2534,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_INSTS_MFMA",6291456.000000,359497969345,359499361807
5,5,1,1,2534,2534,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_INSTS_VALU",219787392.000000,359497969345,359499361807
5,5,1,1,2534,2534,393216,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",256,40960,4104,128,184,112,"SQ_WAVES",6144.000000,359497969345,359499361807
6,6,1,1,2534,2534,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_BUSY_CYCLES",2213553.000000,359499442229,359499481760
6,6,1,1,2534,2534,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_INSTS_MFMA",0.00000000e+00,359499442229,359499481760
6,6,1,1,2534,2534,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_INSTS_VALU",10223616.000000,359499442229,359499481760
6,6,1,1,2534,2534,1572864,13,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",256,0,0,40,0,48,"SQ_WAVES",24576.000000,359499442229,359499481760
