"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,1,1,2608,2608,6291456,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_BUSY_CYCLES",822704.000000,370976882659,370976898174
1,1,1,1,2608,2608,6291456,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_INSTS_MFMA",0.00000000e+00,370976882659,370976898174
1,1,1,1,2608,2608,6291456,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_INSTS_VALU",3440640.000000,370976882659,370976898174
1,1,1,1,2608,2608,6291456,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_WAVES",98304.000000,370976882659,370976898174
2,2,1,1,2608,2608,38597376,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_BUSY_CYCLES",4840903.000000,370977251821,370977329278
2,2,1,1,2608,2608,38597376,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_INSTS_MFMA",0.00000000e+00,370977251821,370977329278
2,2,1,1,2608,2608,38597376,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_INSTS_VALU",21107940.000000,370977251821,370977329278
2,2,1,1,2608,2608,38597376,11,"gemm_excp_ab_main_fill_kernel6A6AoA6A_b69c332405d3a959",256,0,0,8,0,16,"SQ_WAVES",603084.000000,370977251821,370977329278
3,3,1,1,2608,2608,6438912,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_938aad5397e36ead",256,40960,4104,128,184,112,"SQ_BUSY_CYCLES",1580854555.000000,370978858012,371007875244
3,3,1,1,2608,2608,6438912,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_938aad5397e36ead",256,40960,4104,128,184,112,"SQ_INSTS_MFMA",154533888.000000,370978858012,371007875244
3,3,1,1,2608,2608,6438912,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_938aad5397e36ead",256,40960,4104,128,184,112,"SQ_INSTS_VALU",5106598476.000000,370978858012,371007875244
3,3,1,1,2608,2608,6438912,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_938aad5397e36ead",256,40960,4104,128,184,112,"SQ_WAVES",100608.000000,370978858012,371007875244
4,4,1,1,2608,2608,6438912,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_938aad5397e36ead",256,40960,4104,128,184,112,"SQ_BUSY_CYCLES",1626532004.000000,374552208979,374581268183
4,4,1,1,2608,2608,6438912,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_938aad5397e36ead",256,40960,4104,128,184,112,"SQ_INSTS_MFMA",154533888.000000,374552208979,374581268183
4,4,1,1,2608,2608,6438912,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_938aad5397e36ead",256,40960,4104,128,184,112,"SQ_INSTS_VALU",5106598476.000000,374552208979,374581268183
4,4,1,1,2608,2608,6438912,12,"gemm_checks_gemm_identical_id6A6A6A6A6A6A_938aad5397e36ead",256,40960,4104,128,184,112,"SQ_WAVES",100608.000000,374552208979,374581268183
