"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_a1bbf8fee46700b0",506,405333372,801054.094862,50.17,363588,26367986,1645004.447901
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_aa16407e3c5c7ac7",4,104383610,26095902.500000,12.92,23576592,28697149,2882433.457969
"transformer_impl_llama_fused_6A6A6A6A6A6A_07733f6e1adcea95",24,56773705,2365571.041667,7.03,2309939,2418026,29450.031831
"transformer_impl_llama_fused_6A6A6A6A6A6A_02d8dd47cde62a5a",24,45627404,1901141.833333,5.65,1782378,1973735,45409.510777
"transformer_impl_llama_fused_6A6A6A6A6A6A_770e3f4c4900d79a",24,28243502,1176812.583333,3.50,1131415,1304049,40267.343307
"transformer_impl_llama_fused_6A6A6A6A6A6A_93c01a750b7db97a",24,26166296,1090262.333333,3.24,1069354,1108684,11540.549323
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",506,23295720,46038.972332,2.88,15635,110251,25830.736410
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2",2,15967151,7983575.500000,1.98,7968141,7999010,21827.679228
"embedding_checks_embedding_ide6A6A6A6A_02a428d7480c858f",2,13662026,6831013.000000,1.69,6696527,6965499,190191.925149
"transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886",48,13464818,280517.041667,1.67,251092,309064,15005.599414
"core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb",196,13131335,66996.607143,1.63,1523,1446812,209598.713384
"__amd_rocclr_fillBufferAligned",1019,8343351,8187.783121,1.03,681,326062,16396.043851
"transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7",48,4934673,102805.687500,0.6108,95176,215651,16812.241548
"training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c",2,3712772,1856386.000000,0.4596,1819903,1892869,51594.753396
"transformer_impl_llama_fused_6A6A6A6A6A6A_b136a97923f44f48",168,3444965,20505.744048,0.4264,15475,24175,2788.692658
"transformer_checks_transformer6A6A6A6A_701f75a72b36f978",24,3285962,136915.083333,0.4068,135228,139076,1026.290573
"training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae",2,3048541,1524270.500000,0.3774,1509838,1538703,20410.637239
"training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6",2,2934482,1467241.000000,0.3632,1442445,1492037,35066.839493
