# repeat-run stability, mode=identical, repeats=6, interleave=False
# 2026-08-29 14:37:22

| lane             | verdict  | same answer every time? | hashes |
|------------------|----------|-------------------------|--------|
| dbscan           | STABLE   | YES  6/6 calls agreed   | a4608e954c7420b7 |
| et-clf           | STABLE   | YES  6/6 calls agreed   | 707d2c92e92f6a40 |
| gbdt-depthwise   | STABLE   | YES  6/6 calls agreed   | cd27a77258047c8e |
| gbdt-lossguide   | STABLE   | YES  6/6 calls agreed   | e65c2a2686bf7341 |
| gbdt-symmetric   | STABLE   | YES  6/6 calls agreed   | dc987497271f92b1 |
| gemm-pinned      | STABLE   | YES  6/6 calls agreed   | 18ff2fd121056aee |
| gemm-vendor      | STABLE   | YES  6/6 calls agreed   | 18ff2fd121056aee |
| iforest          | STABLE   | YES  6/6 calls agreed   | 334ba456c6bb7644 |
| kmeans           | STABLE   | YES  6/6 calls agreed   | da3cb10e46c91256 |
| knn-tied         | STABLE   | YES  6/6 calls agreed   | eb5d50fc1d09b0e1 |
| logistic         | STABLE   | YES  6/6 calls agreed   | 7037da78aa5950dd |
| ols              | STABLE   | YES  6/6 calls agreed   | 24aff16838df704a |
| pca              | STABLE   | YES  6/6 calls agreed   | abe2157474e81469 |
| rf-clf           | STABLE   | YES  6/6 calls agreed   | eacd6bff8b4088b8 |
| ridge            | STABLE   | YES  6/6 calls agreed   | b72095bd450e4d05 |
| tsvd             | STABLE   | YES  6/6 calls agreed   | eb98ef49f9c747f0 |

mode=identical  stable=16  moved=0  refused=0
wrote /root/mojolearn/bench/results/e1/2026-08-29_143443-mojolearn-e2-amd/stability/identical.json
