# identity_break  mode=identical  2026-08-29 14:37:26  Linux-6.8.0-59-generic-x86_64-with-glibc2.39
| lane             | base             | ties             | hashed           | wide             | denormal         | dupes            | odd              | negative         |
|------------------|------------------|------------------|------------------|------------------|------------------|------------------|------------------|------------------|
| rf-clf           | bd26b19ce6a0a01e | 7401be53fa50534d | 89eb07752d9c92f6 | 32aadbc42766e8fe | 9b946211c64c2b52 | 0c7abe08e8120840 | 03c62346ae605c78 | d72756311b443743 |
| rf-reg           | 1972cf0519a2f939 | ef3cf6ecacd9d816 | b21177da90e6be71 | c85918d0dfc8c7c1 | 53bd82bce6bbb836 | 52251619e6a13b58 | 2e9cbfe866902ae9 | cde9a12410910f2c |
| et-clf           | f068e7f753ff5569 | 06e911c04f04e05d | 2770a4e6a1d3d9fb | da9f3ad3261a779a | f4de4f39dffb02ee | 20b8cce93efefa67 | d93f14fa1888e8cc | ea4dbaf5fa951ec9 |
| et-reg           | 26b8a626baa3fe13 | 8d33d02b84574126 | 32211232f2b21c6d | 3aa8f17ee145cb4b | eb648902c9920307 | d295ca912c039822 | 7cc91c22182b2597 | 9657e8e74336124a |
| gbdt-symmetric   | c30473f512eda88a | dc30260ad6cddb9d | 099e6ea8b17a0fe9 | a0bba3feb829cabe | 9f69da538435aa50 | c6e2aa0b358a5e93 | 9487069db4246594 | 272c592ff5c80cf0 |
| gbdt-depthwise   | b0c04741df68410a | 691e15d19c5381bb | 7080c37c3f462ca3 | 6644d2b9d3759ac7 | 5963d55bed47b73a | 4d614d6c2a507157 | 9013035e93bb0ebb | a4d71c1552e4cf1c |
| gbdt-lossguide   | 99942e643cba62c8 | 470cf17ba3b7fe73 | f16e8be74428b39c | d0f4001f90ad25d8 | ec6f25eb9c2e8d6b | cf37f9614e2ae44c | 70dafe31fcfda667 | d7b67c3b35bea9cc |
| gbdt-rmse        | 35bbab0e49bc7e80 | 60386ff7475e68f2 | aa0e0748c5fa52fb | 24d2b1a73d5a2405 | a3422da5ed6d5b5a | 099677296c578c6f | 161cedb0400cd200 | 652435ba6e452212 |
| kmeans           | da3cb10e46c91256 | 4c0fb31306aeeb54 | 73e7d9d776c61685 | 3ad7888f16263188 | 370f9cb6dc7bf3b1 | d84665aaa8e83246 | df8a4981a26257ae | 3d5a5053f2fd6614 |
| knn              | 4e01b71cc8dac4ec | f8ae31f959e98f78 | bc120048d140fb9b | 433e83a6353fa5cc | 171dcdb3a56a6d12 | c4f2214faa32ddea | 3e9840359c6f7469 | 261c16032164accd |
| knn-clf          | f359ee4876deb908 | f7e2ff9169428e99 | 6db81871be280f38 | be1135e6471ddc68 | 3a5e34121524fc83 | 1fa4144445ae616a | ca73a62b1af2f3d5 | daf34fcb3bda8897 |
