"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"extratrees_ported_decisiontree6A6A6A6A_9ea9f7d0127855c6",286,3278165673,11462117.737762,52.82,2963464,109761385,16415125.850903
"extratrees_ported_decisiontree6A6A6A6A_c9e907d2c8efdbc6",474,2791486769,5889212.592827,44.98,6560,92154571,12400791.046178
"extratrees_ported_decisiontree6A6A6A6A_e3a670bc8965e024",286,27582048,96440.727273,0.4444,11480,109999,17385.341904
"__amd_rocclr_copyBuffer",5250,23422177,4461.367048,0.3774,1320,16520,988.440548
"extratrees_ported_decisiontree6A6A6A6A_d03aef84e15ddf07",286,21836720,76352.167832,0.3518,14520,672395,86554.775426
"extratrees_ported_decisiontree6A6A6A6A_383751eddd47ecc6",286,20746922,72541.685315,0.3343,14280,607676,75227.978942
"extratrees_ported_decisiontree6A6A6A6A_329a4e6d705a998a",286,12421880,43433.146853,0.2001,26040,47200,3894.779307
"extratrees_ported_decisiontree6A6A6A6A_4b84414a8196bbac",286,5236085,18307.989510,0.0844,4640,197319,31764.089479
"__amd_rocclr_fillBufferAligned",1054,5146807,4883.118596,0.0829,4000,109279,3627.264630
"extratrees_ported_decisiontree6A6A6A6A_6ef0df01aa52f40b",2,4381295,2190647.500000,0.0706,1366992,3014303,1164824.778823
"extratrees_ported_decisiontree6A6A6A6A_b885a1ff67cfa1f5",474,3669137,7740.795359,0.0591,4000,134199,11113.962809
"extratrees_ported_decisiontree6A6A6A6A_f0c11205cb798cf0",286,2432868,8506.531469,0.0392,5480,10200,641.851847
"extratrees_ported_decisiontree6A6A6A6A_5aee4290147ac7a3",474,2249430,4745.632911,0.0362,3920,5280,178.592631
"extratrees_ported_decisiontree6A6A6A6A_dd94670477df3753",474,1633878,3447.000000,0.0263,1480,6640,1160.575763
"extratrees_ported_decisiontree6A6A6A6A_b93721a4549bd7fc",286,1530776,5352.363636,0.0247,4320,18240,1850.882619
"extratrees_ported_decisiontree6A6A6A6A_f398b0b9c9cfa517",286,1475034,5157.461538,0.0238,4560,16800,1877.804096
"extratrees_ported_decisiontree6A6A6A6A_1b00ae08b1b84291",286,1473111,5150.737762,0.0237,4559,27240,2436.381638
"extratrees_ported_decisiontree6A6A6A6A_11c9649934bf8c9c",286,1422859,4975.031469,0.0229,4680,6158,227.123405
"extratrees_ported_decisiontree6A6A6A6A_7629de937fd59af7",2,387716,193858.000000,6.247e-03,131519,256197,88160.659265
