"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"extratrees_ported_decisiontree6A6A6A6A_9ea9f7d0127855c6",286,3279614605,11467183.933566,52.90,2875450,109942152,16407629.376084
"extratrees_ported_decisiontree6A6A6A6A_c9e907d2c8efdbc6",474,2783772383,5872937.516878,44.90,6520,91516314,12324863.960800
"extratrees_ported_decisiontree6A6A6A6A_e3a670bc8965e024",286,27128762,94855.811189,0.4376,11800,108559,16944.679061
"__amd_rocclr_copyBuffer",5250,23118444,4403.513143,0.3729,1840,17640,928.417693
"extratrees_ported_decisiontree6A6A6A6A_d03aef84e15ddf07",286,21866394,76455.923077,0.3527,14320,674553,86748.231835
"extratrees_ported_decisiontree6A6A6A6A_383751eddd47ecc6",286,20627665,72124.702797,0.3327,14679,611873,75373.652146
"extratrees_ported_decisiontree6A6A6A6A_329a4e6d705a998a",286,12545513,43865.430070,0.2024,26359,48400,4003.413813
"extratrees_ported_decisiontree6A6A6A6A_4b84414a8196bbac",286,5233260,18298.111888,0.0844,4400,198997,31539.224859
"__amd_rocclr_fillBufferAligned",1054,5076258,4816.184061,0.0819,3960,24080,1552.407402
"extratrees_ported_decisiontree6A6A6A6A_6ef0df01aa52f40b",2,4281796,2140898.000000,0.0691,1370466,2911330,1089555.383286
"extratrees_ported_decisiontree6A6A6A6A_b885a1ff67cfa1f5",474,3469888,7320.438819,0.0560,4000,135159,8216.276583
"extratrees_ported_decisiontree6A6A6A6A_f0c11205cb798cf0",286,2482420,8679.790210,0.0400,5479,10400,667.651783
"extratrees_ported_decisiontree6A6A6A6A_5aee4290147ac7a3",474,2368575,4996.993671,0.0382,3840,113919,5017.711679
"extratrees_ported_decisiontree6A6A6A6A_dd94670477df3753",474,1642716,3465.645570,0.0265,1320,6280,1130.685377
"extratrees_ported_decisiontree6A6A6A6A_f398b0b9c9cfa517",286,1572906,5499.671329,0.0254,4520,118359,6880.294135
"extratrees_ported_decisiontree6A6A6A6A_b93721a4549bd7fc",286,1514288,5294.713287,0.0244,4160,16400,1495.201655
"extratrees_ported_decisiontree6A6A6A6A_1b00ae08b1b84291",286,1450550,5071.853147,0.0234,4520,15400,1999.424187
"extratrees_ported_decisiontree6A6A6A6A_11c9649934bf8c9c",286,1392455,4868.723776,0.0225,4640,5998,196.798171
"extratrees_ported_decisiontree6A6A6A6A_7629de937fd59af7",2,388235,194117.500000,6.262e-03,131959,256276,87905.393717
