  ok    _mojolearn.so  (94691 instructions, baseline clean)
  ok    _mojolearn_estimators.so  (130413 instructions, baseline clean)
  ok    _mojolearn_gbdt.so  (403029 instructions, baseline clean)
  ok    _mojolearn_linalg.so  (34166 instructions, baseline clean)
  ok    _mojolearn_metrics.so  (151969 instructions, baseline clean)
  ok    _mojolearn_rf.so  (106588 instructions, baseline clean)
  ok    _mojolearn_solver.so  (75028 instructions, baseline clean)
  ok    _mojolearn_svm.so  (96529 instructions, baseline clean)
  ok    _mojolearn_trees.so  (100881 instructions, baseline clean)
  ok    _mojolearn_tsa.so  (52041 instructions, baseline clean)
  ok    deterministic/_mojolearn.so  (93135 instructions, baseline clean)
  ok    deterministic/_mojolearn_estimators.so  (130590 instructions, baseline clean)
  ok    deterministic/_mojolearn_gbdt.so  (406268 instructions, baseline clean)
  ok    deterministic/_mojolearn_linalg.so  (34166 instructions, baseline clean)
  ok    deterministic/_mojolearn_metrics.so  (150413 instructions, baseline clean)
  ok    deterministic/_mojolearn_rf.so  (106588 instructions, baseline clean)
  ok    deterministic/_mojolearn_solver.so  (75028 instructions, baseline clean)
  ok    deterministic/_mojolearn_svm.so  (96529 instructions, baseline clean)
  ok    deterministic/_mojolearn_trees.so  (100881 instructions, baseline clean)
  ok    deterministic/_mojolearn_tsa.so  (52041 instructions, baseline clean)
  ok    identical/_mojolearn.so  (84824 instructions, baseline clean)
  ok    identical/_mojolearn_estimators.so  (124507 instructions, baseline clean)
  ok    identical/_mojolearn_gbdt.so  (361829 instructions, baseline clean)
  ok    identical/_mojolearn_linalg.so  (21459 instructions, baseline clean)
  ok    identical/_mojolearn_metrics.so  (137839 instructions, baseline clean)
  ok    identical/_mojolearn_rf.so  (107362 instructions, baseline clean)
  ok    identical/_mojolearn_solver.so  (71594 instructions, baseline clean)
  ok    identical/_mojolearn_svm.so  (93589 instructions, baseline clean)
  ok    identical/_mojolearn_trees.so  (101191 instructions, baseline clean)
  ok    identical/_mojolearn_tsa.so  (52041 instructions, baseline clean)

isa_baseline_linux: 30 binaries, 0 above the x86-64-v3 baseline
