  ok    _mojolearn.so  (110604 instructions, baseline clean)
  ok    _mojolearn_arima.so  (61115 instructions, baseline clean)
  ok    _mojolearn_estimators.so  (141120 instructions, baseline clean)
  ok    _mojolearn_gbdt.so  (408602 instructions, baseline clean)
  ok    _mojolearn_gp.so  (77741 instructions, baseline clean)
  ok    _mojolearn_linalg.so  (28610 instructions, baseline clean)
  ok    _mojolearn_mamba.so  (93480 instructions, baseline clean)
  ok    _mojolearn_metrics.so  (145250 instructions, baseline clean)
  ok    _mojolearn_rf.so  (115884 instructions, baseline clean)
  ok    _mojolearn_solver.so  (69813 instructions, baseline clean)
  ok    _mojolearn_svm.so  (100510 instructions, baseline clean)
  ok    _mojolearn_training.so  (52317 instructions, baseline clean)
  ok    _mojolearn_transformer.so  (57626 instructions, baseline clean)
  ok    _mojolearn_trees.so  (113800 instructions, baseline clean)
  ok    _mojolearn_tsa.so  (52041 instructions, baseline clean)
  ok    deterministic/_mojolearn.so  (110736 instructions, baseline clean)
  ok    deterministic/_mojolearn_arima.so  (61115 instructions, baseline clean)
  ok    deterministic/_mojolearn_estimators.so  (141297 instructions, baseline clean)
  ok    deterministic/_mojolearn_gbdt.so  (408480 instructions, baseline clean)
  ok    deterministic/_mojolearn_gp.so  (77741 instructions, baseline clean)
  ok    deterministic/_mojolearn_linalg.so  (28610 instructions, baseline clean)
  ok    deterministic/_mojolearn_mamba.so  (93480 instructions, baseline clean)
  ok    deterministic/_mojolearn_metrics.so  (145382 instructions, baseline clean)
  ok    deterministic/_mojolearn_rf.so  (115884 instructions, baseline clean)
  ok    deterministic/_mojolearn_solver.so  (69813 instructions, baseline clean)
  ok    deterministic/_mojolearn_svm.so  (100510 instructions, baseline clean)
  ok    deterministic/_mojolearn_training.so  (52317 instructions, baseline clean)
  ok    deterministic/_mojolearn_transformer.so  (57626 instructions, baseline clean)
  ok    deterministic/_mojolearn_trees.so  (113800 instructions, baseline clean)
  ok    deterministic/_mojolearn_tsa.so  (52041 instructions, baseline clean)
  ok    identical/_mojolearn.so  (108672 instructions, baseline clean)
  ok    identical/_mojolearn_arima.so  (61489 instructions, baseline clean)
  ok    identical/_mojolearn_estimators.so  (142296 instructions, baseline clean)
  ok    identical/_mojolearn_gbdt.so  (362956 instructions, baseline clean)
  ok    identical/_mojolearn_gp.so  (70146 instructions, baseline clean)
  ok    identical/_mojolearn_linalg.so  (21459 instructions, baseline clean)
  ok    identical/_mojolearn_mamba.so  (86502 instructions, baseline clean)
  ok    identical/_mojolearn_metrics.so  (138355 instructions, baseline clean)
  ok    identical/_mojolearn_rf.so  (116548 instructions, baseline clean)
  ok    identical/_mojolearn_solver.so  (71594 instructions, baseline clean)
  ok    identical/_mojolearn_svm.so  (102970 instructions, baseline clean)
  ok    identical/_mojolearn_training.so  (45520 instructions, baseline clean)
  ok    identical/_mojolearn_transformer.so  (50668 instructions, baseline clean)
  ok    identical/_mojolearn_trees.so  (114149 instructions, baseline clean)
  ok    identical/_mojolearn_tsa.so  (52041 instructions, baseline clean)

isa_baseline_linux: 45 binaries, 0 above the x86-64-v3 baseline
