lane	mode	round	seconds	hash
kmeans	FAST	1	0.003716776	23250b50508d95f9
kmeans	IDENTICAL	1	0.003909144	eeea38872c935b98
kmeans	FAST	2	0.003683785	23250b50508d95f9
kmeans	IDENTICAL	2	0.003877964	eeea38872c935b98
kmeans	FAST	3	0.003667325	23250b50508d95f9
kmeans	IDENTICAL	3	0.003856325	eeea38872c935b98
knn	FAST	1	0.000564708	1cca6ce6c59a824c
knn	IDENTICAL	1	0.003347227	4c6f4a612b096067
knn	FAST	2	0.000559809	eee86b2ffb548d2c
knn	IDENTICAL	2	0.003343647	4c6f4a612b096067
knn	FAST	3	0.000563447	6a11a7407c52f90c
knn	IDENTICAL	3	0.003330278	4c6f4a612b096067
dbscan	FAST	1	0.041717278	a9223881fb236c77
dbscan	IDENTICAL	1	0.040487164	a9223881fb236c77
dbscan	FAST	2	0.041838608	a9223881fb236c77
dbscan	IDENTICAL	2	0.040579783	a9223881fb236c77
dbscan	FAST	3	0.04170958	a9223881fb236c77
dbscan	IDENTICAL	3	0.040421414	a9223881fb236c77
gram	FAST	1	0.000323989	37fc8ca7a94b7568
gram	IDENTICAL	1	0.000574088	0e9de1a0121f721a
gram	FAST	2	0.000323299	37fc8ca7a94b7568
gram	IDENTICAL	2	0.000569948	0e9de1a0121f721a
gram	FAST	3	0.000329519	37fc8ca7a94b7568
gram	IDENTICAL	3	0.000571007	0e9de1a0121f721a
nt	FAST	1	7.626e-05	5c68413208583222
nt	IDENTICAL	1	5.1589e-05	5c68413208583222
nt	FAST	2	7.364e-05	5c68413208583222
nt	IDENTICAL	2	6.3769e-05	5c68413208583222
nt	FAST	3	7.477e-05	5c68413208583222
nt	IDENTICAL	3	4.793e-05	5c68413208583222
gemv	FAST	1	1.811e-05	baa72e10387fa2c8
gemv	IDENTICAL	1	3.9229e-05	a0d44fa8c1343b19
gemv	FAST	2	1.434e-05	baa72e10387fa2c8
gemv	IDENTICAL	2	3.95e-05	a0d44fa8c1343b19
gemv	FAST	3	1.885e-05	baa72e10387fa2c8
gemv	IDENTICAL	3	4.258e-05	a0d44fa8c1343b19
gbdt	FAST	1	0.608689407	45bfcba4070bf931
gbdt	IDENTICAL	1	0.478741954	edde9bd742ac76f3
gbdt	FAST	2	0.606729037	45bfcba4070bf931
gbdt	IDENTICAL	2	0.474312912	edde9bd742ac76f3
gbdt	FAST	3	0.609670475	45bfcba4070bf931
gbdt	IDENTICAL	3	0.475260451	edde9bd742ac76f3
rf	FAST	1	0.641226847	0c961d27f113ab44
rf	IDENTICAL	1	0.637548725	acfbdbde102e8c54
rf	FAST	2	0.641718519	0c961d27f113ab44
rf	IDENTICAL	2	0.638475741	acfbdbde102e8c54
rf	FAST	3	0.641676956	0c961d27f113ab44
rf	IDENTICAL	3	0.635107621	acfbdbde102e8c54
et	FAST	1	2.091702023	a4d03520b4584c37
et	IDENTICAL	1	2.095737063	a4d03520b4584c37
et	FAST	2	2.091666519	a4d03520b4584c37
et	IDENTICAL	2	2.093532353	a4d03520b4584c37
et	FAST	3	2.084694835	a4d03520b4584c37
et	IDENTICAL	3	2.092053768	a4d03520b4584c37
