lane	mode	round	seconds	hash
kmeans	FAST	1	0.043520304	caa59e8ae153607e
kmeans	IDENTICAL	1	0.048075018	caa59e8ae153607e
kmeans	FAST	2	0.043708156	caa59e8ae153607e
kmeans	IDENTICAL	2	0.048162494	caa59e8ae153607e
kmeans	FAST	3	0.043751932	caa59e8ae153607e
kmeans	IDENTICAL	3	0.04812263	caa59e8ae153607e
knn	FAST	1	0.002627605	cadd8d70fc25d9f5
knn	IDENTICAL	1	0.06556439	ace2883778a10918
knn	FAST	2	0.002636037	e08c2e05091d7001
knn	IDENTICAL	2	0.065652715	ace2883778a10918
knn	FAST	3	0.002645247	2c911bea9dbe8ed9
knn	IDENTICAL	3	0.064625806	ace2883778a10918
dbscan	FAST	1	0.288299111	ba4efce5899d8900
dbscan	IDENTICAL	1	0.278258118	ba4efce5899d8900
dbscan	FAST	2	0.288493483	ba4efce5899d8900
dbscan	IDENTICAL	2	0.278481769	ba4efce5899d8900
dbscan	FAST	3	0.288640274	ba4efce5899d8900
dbscan	IDENTICAL	3	0.278213769	ba4efce5899d8900
gram	FAST	1	0.001219196	76f85725740a26b3
gram	IDENTICAL	1	0.002248744	33eca610f6f32a1c
gram	FAST	2	0.001227515	76f85725740a26b3
gram	IDENTICAL	2	0.002245193	33eca610f6f32a1c
gram	FAST	3	0.001225055	76f85725740a26b3
gram	IDENTICAL	3	0.002246264	33eca610f6f32a1c
nt	FAST	1	8.343e-05	bf48d23d15b01a74
nt	IDENTICAL	1	0.000494565	bf48d23d15b01a74
nt	FAST	2	7.9969e-05	bf48d23d15b01a74
nt	IDENTICAL	2	0.000492133	bf48d23d15b01a74
nt	FAST	3	8.112e-05	bf48d23d15b01a74
nt	IDENTICAL	3	0.000491625	bf48d23d15b01a74
gemv	FAST	1	2.467e-05	85c2a07bf282e0a5
gemv	IDENTICAL	1	0.000547615	d93b9dc2340c96a4
gemv	FAST	2	2.56e-05	85c2a07bf282e0a5
gemv	IDENTICAL	2	0.000551894	d93b9dc2340c96a4
gemv	FAST	3	2.6789e-05	85c2a07bf282e0a5
gemv	IDENTICAL	3	0.000548165	d93b9dc2340c96a4
gbdt	FAST	1	0.731652018	9277198f24f4a26f
gbdt	IDENTICAL	1	0.531450415	f8ccfb0d67e1674b
gbdt	FAST	2	0.717858857	9277198f24f4a26f
gbdt	IDENTICAL	2	0.530773392	f8ccfb0d67e1674b
gbdt	FAST	3	0.727090409	9277198f24f4a26f
gbdt	IDENTICAL	3	0.53979581	f8ccfb0d67e1674b
rf	FAST	1	0.60757253	32314ca1c01ab68f
rf	IDENTICAL	1	0.608216794	f6605d229455c942
rf	FAST	2	0.607206675	32314ca1c01ab68f
rf	IDENTICAL	2	0.609225222	f6605d229455c942
rf	FAST	3	0.60783423	32314ca1c01ab68f
rf	IDENTICAL	3	0.606938139	f6605d229455c942
et	FAST	1	3.252603486	f6cec505b824d346
et	IDENTICAL	1	3.250760718	f6cec505b824d346
et	FAST	2	3.2588566	f6cec505b824d346
et	IDENTICAL	2	3.257879093	f6cec505b824d346
et	FAST	3	3.257980568	f6cec505b824d346
et	IDENTICAL	3	3.260055541	f6cec505b824d346
