lane	mode	round	seconds	hash
kmeans	FAST	1	0.060523654	af939121e4f3f09e
kmeans	IDENTICAL	1	0.064485604	caa59e8ae153607e
kmeans	FAST	2	0.061623218	af939121e4f3f09e
kmeans	IDENTICAL	2	0.065277601	caa59e8ae153607e
kmeans	FAST	3	0.060807641	af939121e4f3f09e
kmeans	IDENTICAL	3	0.066138983	caa59e8ae153607e
knn	FAST	1	0.003820091	c8a93c138ceb9be5
knn	IDENTICAL	1	0.027836712	ace2883778a10918
knn	FAST	2	0.00385241	c8a93c138ceb9be5
knn	IDENTICAL	2	0.027776295	ace2883778a10918
knn	FAST	3	0.003811347	c8a93c138ceb9be5
knn	IDENTICAL	3	0.027759333	ace2883778a10918
dbscan	FAST	1	0.238980048	5a49a8eddfd34591
dbscan	IDENTICAL	1	0.22686288	5a49a8eddfd34591
dbscan	FAST	2	0.23747162	5a49a8eddfd34591
dbscan	IDENTICAL	2	0.227554162	5a49a8eddfd34591
dbscan	FAST	3	0.236933644	5a49a8eddfd34591
dbscan	IDENTICAL	3	0.227604931	5a49a8eddfd34591
gram	FAST	1	0.000895763	4dcf23d684837698
gram	IDENTICAL	1	0.001909836	33eca610f6f32a1c
gram	FAST	2	0.000896357	4dcf23d684837698
gram	IDENTICAL	2	0.001907804	33eca610f6f32a1c
gram	FAST	3	0.000900019	4dcf23d684837698
gram	IDENTICAL	3	0.00190859	33eca610f6f32a1c
nt	FAST	1	8.4101e-05	7794a5e6e572384d
nt	IDENTICAL	1	0.001105447	bf48d23d15b01a74
nt	FAST	2	8.4265e-05	7794a5e6e572384d
nt	IDENTICAL	2	0.001104178	bf48d23d15b01a74
nt	FAST	3	0.00010065	7794a5e6e572384d
nt	IDENTICAL	3	0.001104077	bf48d23d15b01a74
gemv	FAST	1	2.8957e-05	3bc5df18701df6d1
gemv	IDENTICAL	1	0.000289781	d93b9dc2340c96a4
gemv	FAST	2	2.8475e-05	3bc5df18701df6d1
gemv	IDENTICAL	2	0.000289245	d93b9dc2340c96a4
gemv	FAST	3	2.9604e-05	3bc5df18701df6d1
gemv	IDENTICAL	3	0.000289264	d93b9dc2340c96a4
gbdt	FAST	1	0.915021404	320c7d8a8e46921f
gbdt	IDENTICAL	1	0.843760182	f8ccfb0d67e1674b
gbdt	FAST	2	0.892289541	320c7d8a8e46921f
gbdt	IDENTICAL	2	0.836361371	f8ccfb0d67e1674b
gbdt	FAST	3	0.885729041	320c7d8a8e46921f
gbdt	IDENTICAL	3	0.836862496	f8ccfb0d67e1674b
rf	FAST	1	0.772032667	f6605d229455c942
rf	IDENTICAL	1	0.763115411	f6605d229455c942
rf	FAST	2	0.757380048	f6605d229455c942
rf	IDENTICAL	2	0.76469068	f6605d229455c942
rf	FAST	3	0.795999042	f6605d229455c942
rf	IDENTICAL	3	0.762205888	f6605d229455c942
et	FAST	1	3.294649186	f6cec505b824d346
et	IDENTICAL	1	3.299168994	f6cec505b824d346
et	FAST	2	3.29744943	f6cec505b824d346
et	IDENTICAL	2	3.31592214	f6cec505b824d346
et	FAST	3	3.343586102	f6cec505b824d346
et	IDENTICAL	3	3.299161599	f6cec505b824d346
