UMAP sparse graph mode IDENTICAL
UMAP_SPARSE_BITS triangle rho 0 1065353216
UMAP_SPARSE_BITS triangle sigma 0 1080997547
UMAP_SPARSE_BITS triangle rho 1 1065353216
UMAP_SPARSE_BITS triangle sigma 1 1072608939
UMAP_SPARSE_BITS triangle rho 2 1073741824
UMAP_SPARSE_BITS triangle sigma 2 1072608939
UMAP_SPARSE_BITS triangle directed 0 0
UMAP_SPARSE_BITS triangle weights 0 0
UMAP_SPARSE_BITS triangle directed 1 1065353216
UMAP_SPARSE_BITS triangle weights 1 1065353216
UMAP_SPARSE_BITS triangle directed 2 1058390042
UMAP_SPARSE_BITS triangle weights 2 1062463238
UMAP_SPARSE_BITS triangle directed 3 1065353216
UMAP_SPARSE_BITS triangle weights 3 1065353216
UMAP_SPARSE_BITS triangle directed 4 0
UMAP_SPARSE_BITS triangle weights 4 0
UMAP_SPARSE_BITS triangle directed 5 1058390042
UMAP_SPARSE_BITS triangle weights 5 1065353216
UMAP_SPARSE_BITS triangle directed 6 1058390042
UMAP_SPARSE_BITS triangle weights 6 1062463238
UMAP_SPARSE_BITS triangle directed 7 1065353216
UMAP_SPARSE_BITS triangle weights 7 1065353216
UMAP_SPARSE_BITS triangle directed 8 0
UMAP_SPARSE_BITS triangle weights 8 0
UMAP_SPARSE_CASE_PASS triangle
UMAP_SPARSE_BITS duplicates-mix0 rho 0 1056964608
UMAP_SPARSE_BITS duplicates-mix0 sigma 0 1067937421
UMAP_SPARSE_BITS duplicates-mix0 rho 1 1056964608
UMAP_SPARSE_BITS duplicates-mix0 sigma 1 1032719563
UMAP_SPARSE_BITS duplicates-mix0 rho 2 1065353216
UMAP_SPARSE_BITS duplicates-mix0 sigma 2 1074069344
UMAP_SPARSE_BITS duplicates-mix0 rho 3 1065353216
UMAP_SPARSE_BITS duplicates-mix0 sigma 3 1034581440
UMAP_SPARSE_BITS duplicates-mix0 rho 4 1056964608
UMAP_SPARSE_BITS duplicates-mix0 sigma 4 1067937421
