lane	mode	round	seconds	hash
kmeans	FAST	1	0.168693165	aa57ac4b6baa31fd
kmeans	IDENTICAL	1	0.185177879	c5cc84735f29a548
kmeans	FAST	2	0.168902755	aa57ac4b6baa31fd
kmeans	IDENTICAL	2	0.18653918	c5cc84735f29a548
kmeans	FAST	3	0.168314059	aa57ac4b6baa31fd
kmeans	IDENTICAL	3	0.186035364	c5cc84735f29a548
knn	FAST	1	0.423915943	01378b2a7ecc2d94
knn	IDENTICAL	1	0.189903969	c41d0274e33becc9
knn	FAST	2	0.408167307	06a97c1cdf372034
knn	IDENTICAL	2	0.166544398	c41d0274e33becc9
knn	FAST	3	0.405017167	31579c12fd87a2d0
knn	IDENTICAL	3	0.157535794	c41d0274e33becc9
gram	FAST	1	0.405963405	cd254b4804d9d38b
gram	IDENTICAL	1	0.004931518	eda189fc210388c5
gram	FAST	2	0.398448843	cd254b4804d9d38b
gram	IDENTICAL	2	0.004937947	eda189fc210388c5
gram	FAST	3	0.389490391	cd254b4804d9d38b
gram	IDENTICAL	3	0.004938977	eda189fc210388c5
nt	FAST	1	0.401058834	b7a371231823e3b4
nt	IDENTICAL	1	0.002406214	bae56ae624541a84
nt	FAST	2	0.392643116	b7a371231823e3b4
nt	IDENTICAL	2	0.002361343	bae56ae624541a84
nt	FAST	3	0.392541955	b7a371231823e3b4
nt	IDENTICAL	3	0.002375444	bae56ae624541a84
gemv	FAST	1	0.000592951	0e5ee13e02e0c38c
gemv	IDENTICAL	1	0.002769544	491b00b499e4b1f9
gemv	FAST	2	0.000597431	0e5ee13e02e0c38c
gemv	IDENTICAL	2	0.002783133	491b00b499e4b1f9
gemv	FAST	3	0.000589881	0e5ee13e02e0c38c
gemv	IDENTICAL	3	0.002885784	491b00b499e4b1f9
gbdt	FAST	1	0.689764873	938181d0794b1882
gbdt	IDENTICAL	1	0.706887794	9e8e5ae83e2c6f22
gbdt	FAST	2	0.692470088	938181d0794b1882
gbdt	IDENTICAL	2	0.704667933	9e8e5ae83e2c6f22
gbdt	FAST	3	0.696704907	938181d0794b1882
gbdt	IDENTICAL	3	0.701031255	9e8e5ae83e2c6f22
rf	FAST	1	0.755847142	279b67bc45ca1961
rf	IDENTICAL	1	0.754035054	e2ec6856dec3081b
rf	FAST	2	0.757473362	279b67bc45ca1961
rf	IDENTICAL	2	0.756917547	e2ec6856dec3081b
rf	FAST	3	0.757472941	279b67bc45ca1961
rf	IDENTICAL	3	0.758435999	e2ec6856dec3081b
et	FAST	1	4.381948736	d6efc1ad9646afe1
et	IDENTICAL	1	4.380423224	d6efc1ad9646afe1
et	FAST	2	4.369924592	d6efc1ad9646afe1
et	IDENTICAL	2	4.377547636	d6efc1ad9646afe1
et	FAST	3	4.374408163	d6efc1ad9646afe1
et	IDENTICAL	3	4.374218051	d6efc1ad9646afe1
