lane	mode	round	seconds	hash
kmeans	FAST	1	0.003672239	23250b50508d95f9
kmeans	IDENTICAL	1	0.003884656	eeea38872c935b98
kmeans	FAST	2	0.003647349	23250b50508d95f9
kmeans	IDENTICAL	2	0.003958285	eeea38872c935b98
kmeans	FAST	3	0.003691349	23250b50508d95f9
kmeans	IDENTICAL	3	0.004093665	eeea38872c935b98
knn	FAST	1	0.000493745	065a424abb034a4c
knn	IDENTICAL	1	0.003277426	4c6f4a612b096067
knn	FAST	2	0.000552514	71440911da00ae9c
knn	IDENTICAL	2	0.003322886	4c6f4a612b096067
knn	FAST	3	0.000557875	af89d59046bbe304
knn	IDENTICAL	3	0.003306756	4c6f4a612b096067
dbscan	FAST	1	0.041748001	9cda87ce5c6b3c85
dbscan	IDENTICAL	1	0.040370364	9cda87ce5c6b3c85
dbscan	FAST	2	0.04183411	9cda87ce5c6b3c85
dbscan	IDENTICAL	2	0.040382423	9cda87ce5c6b3c85
dbscan	FAST	3	0.04161737	9cda87ce5c6b3c85
dbscan	IDENTICAL	3	0.040361621	9cda87ce5c6b3c85
gram	FAST	1	0.000320177	37fc8ca7a94b7568
gram	IDENTICAL	1	0.000570364	0e9de1a0121f721a
gram	FAST	2	0.000349687	37fc8ca7a94b7568
gram	IDENTICAL	2	0.000568085	0e9de1a0121f721a
gram	FAST	3	0.000334049	37fc8ca7a94b7568
gram	IDENTICAL	3	0.000568225	0e9de1a0121f721a
nt	FAST	1	8.427e-05	5c68413208583222
nt	IDENTICAL	1	4.9209e-05	5c68413208583222
nt	FAST	2	7.268e-05	5c68413208583222
nt	IDENTICAL	2	4.8969e-05	5c68413208583222
nt	FAST	3	7.342e-05	5c68413208583222
nt	IDENTICAL	3	4.6799e-05	5c68413208583222
gemv	FAST	1	2.1951e-05	baa72e10387fa2c8
gemv	IDENTICAL	1	3.9759e-05	a0d44fa8c1343b19
gemv	FAST	2	1.794e-05	baa72e10387fa2c8
gemv	IDENTICAL	2	4.023e-05	a0d44fa8c1343b19
gemv	FAST	3	1.491e-05	baa72e10387fa2c8
gemv	IDENTICAL	3	4.4349e-05	a0d44fa8c1343b19
gbdt	FAST	1	0.475033147	45bfcba4070bf931
gbdt	IDENTICAL	1	0.476913071	edde9bd742ac76f3
gbdt	FAST	2	0.472491634	45bfcba4070bf931
gbdt	IDENTICAL	2	0.47369311	edde9bd742ac76f3
gbdt	FAST	3	0.474488374	45bfcba4070bf931
gbdt	IDENTICAL	3	0.474297803	edde9bd742ac76f3
rf	FAST	1	0.640158487	0c961d27f113ab44
rf	IDENTICAL	1	0.638329547	acfbdbde102e8c54
rf	FAST	2	0.642426871	0c961d27f113ab44
rf	IDENTICAL	2	0.638618278	acfbdbde102e8c54
rf	FAST	3	0.642073862	0c961d27f113ab44
rf	IDENTICAL	3	0.634696993	acfbdbde102e8c54
et	FAST	1	2.106027865	a4d03520b4584c37
et	IDENTICAL	1	2.100855939	a4d03520b4584c37
et	FAST	2	2.108643143	a4d03520b4584c37
et	IDENTICAL	2	2.112594466	a4d03520b4584c37
et	FAST	3	2.099242053	a4d03520b4584c37
et	IDENTICAL	3	2.112027879	a4d03520b4584c37
