# DEVIATION 2630 step breakdown; ms per step, median over the timed steps
# gpu: NVIDIA H100 80GB HBM3, 580.126.09, 81559 MiB, 9.0, 5, 16, 700.00 W, 31, 1980 MHz, GPU-6ba9b52d-1dbd-23cc-e297-f09331d8896f
# host: model name	: Intel(R) Xeon(R) Platinum 8480+ | nproc=2 | 6.8.0-106-generic
corpus	kind	component	parent	depth	ms_per_step_median	share_of_envelope	lines_per_step	launches_per_step	syncs_per_step	note
enwik8	parent	envelope.native_call		0	299.784	1.0000	1			
enwik8	leaf	step.bind_scalar_admission	envelope.native_call	1	0.010	0.0000	1			
enwik8	leaf	step.upload_inputs	envelope.native_call	1	0.184	0.0006	1			
enwik8	leaf	step.unpack_weights	envelope.native_call	1	1.163	0.0039	1			
enwik8	leaf	step.embedding_forward	envelope.native_call	1	0.058	0.0002	1			
enwik8	parent	envelope.blocks_forward	envelope.native_call	1	66.673	0.2224	1			
enwik8	parent	block.norm1	envelope.blocks_forward	2	3.890	0.0130	12			
enwik8	leaf	fwd.refuse_call	block.norm1	3	0.691	0.0023	12	24.0	96.0	
enwik8	leaf	fwd.norm1	block.norm1	3	3.067	0.0102	12	12.0	12.0	
enwik8	remainder	remainder:block.norm1	block.norm1	3	0.135	0.0005				parent minus its children per step, then the median
enwik8	parent	block.attention_total	envelope.blocks_forward	2	37.393	0.1247	12			
enwik8	parent	attn.qkv_proj	block.attention_total	3	10.051	0.0335	12			
enwik8	leaf	fwd.q_proj	attn.qkv_proj	4	3.247	0.0108	12	24.0	48.0	
enwik8	leaf	fwd.k_proj	attn.qkv_proj	4	3.247	0.0108	12	24.0	48.0	
enwik8	leaf	fwd.v_proj	attn.qkv_proj	4	3.250	0.0108	12	24.0	48.0	
enwik8	remainder	remainder:attn.qkv_proj	attn.qkv_proj	4	0.309	0.0010				parent minus its children per step, then the median
enwik8	leaf	attn.rope_and_cache	block.attention_total	3	1.312	0.0044	12			
enwik8	parent	attn.core	block.attention_total	3	22.549	0.0752	12			
enwik8	leaf	attn.fwd_corner_flag	attn.core	4	0.280	0.0009	12			
enwik8	leaf	attn.fwd_r2_kernel	attn.core	4	20.926	0.0698	12			
enwik8	leaf	attn.fwd_regime_scan	attn.core	4	1.141	0.0038	12			
enwik8	leaf	attn.fwd_scratch_alloc	attn.core	4	0.150	0.0005	12			
enwik8	remainder	remainder:attn.core	attn.core	4	0.067	0.0002				parent minus its children per step, then the median
enwik8	parent	attn.o_proj	block.attention_total	3	3.430	0.0114	12			
enwik8	leaf	fwd.o_proj	attn.o_proj	4	3.289	0.0110	12	24.0	48.0	
enwik8	remainder	remainder:attn.o_proj	attn.o_proj	4	0.142	0.0005				parent minus its children per step, then the median
enwik8	remainder	remainder:block.attention_total	block.attention_total	3	0.054	0.0002				parent minus its children per step, then the median
enwik8	parent	block.mlp_and_residuals	envelope.blocks_forward	2	25.364	0.0846	12			
enwik8	leaf	fwd.residual1_add	block.mlp_and_residuals	3	0.219	0.0007	12	12.0	12.0	
enwik8	leaf	fwd.norm2	block.mlp_and_residuals	3	3.073	0.0102	12	12.0	12.0	
enwik8	leaf	fwd.gate_proj	block.mlp_and_residuals	3	6.796	0.0227	12	12.0	24.0	
enwik8	leaf	fwd.up_proj	block.mlp_and_residuals	3	6.752	0.0225	12	12.0	24.0	
enwik8	leaf	fwd.silu	block.mlp_and_residuals	3	0.368	0.0012	12	12.0	12.0	
enwik8	leaf	fwd.gate_mul	block.mlp_and_residuals	3	0.369	0.0012	12	12.0	12.0	
enwik8	leaf	fwd.down_proj	block.mlp_and_residuals	3	6.915	0.0231	12	24.0	48.0	
enwik8	leaf	fwd.residual2_add	block.mlp_and_residuals	3	0.214	0.0007	12	12.0	12.0	
enwik8	remainder	remainder:block.mlp_and_residuals	block.mlp_and_residuals	3	0.681	0.0023				parent minus its children per step, then the median
enwik8	remainder	remainder:envelope.blocks_forward	envelope.blocks_forward	2	0.053	0.0002				parent minus its children per step, then the median
enwik8	leaf	step.head_forward	envelope.native_call	1	13.895	0.0463	1			
enwik8	leaf	step.ce_refuse_scan	envelope.native_call	1	0.388	0.0013	1			
enwik8	leaf	step.ce_forward	envelope.native_call	1	1.711	0.0057	1			
enwik8	leaf	step.loss_download	envelope.native_call	1	0.019	0.0001	1			
enwik8	leaf	step.ce_backward	envelope.native_call	1	0.986	0.0033	1			
enwik8	leaf	step.head_backward_da	envelope.native_call	1	14.401	0.0480	1			
enwik8	leaf	step.head_backward_db	envelope.native_call	1	14.025	0.0468	1			
enwik8	parent	envelope.blocks_backward	envelope.native_call	1	173.280	0.5780	1			
enwik8	parent	bwd.mlp_through_oproj	envelope.blocks_backward	2	54.916	0.1832	12	348.0	540.0	
enwik8	leaf	grad.refuse_scan	bwd.mlp_through_oproj	3	0.396	0.0013	12	12.0	48.0	
enwik8	leaf	grad.residual2_copy	bwd.mlp_through_oproj	3	0.329	0.0011	12	24.0	12.0	
enwik8	leaf	grad.down_dA	bwd.mlp_through_oproj	3	6.915	0.0231	12	12.0	24.0	
enwik8	leaf	grad.down_dB	bwd.mlp_through_oproj	3	7.136	0.0238	12	24.0	48.0	
enwik8	leaf	grad.gate_mul	bwd.mlp_through_oproj	3	0.643	0.0021	12	24.0	12.0	
enwik8	leaf	grad.silu	bwd.mlp_through_oproj	3	0.423	0.0014	12	12.0	12.0	
enwik8	leaf	grad.gate_dB	bwd.mlp_through_oproj	3	7.102	0.0237	12	24.0	48.0	
enwik8	leaf	grad.up_dB	bwd.mlp_through_oproj	3	7.075	0.0236	12	24.0	48.0	
enwik8	leaf	grad.gate_dA	bwd.mlp_through_oproj	3	6.954	0.0232	12	24.0	48.0	
enwik8	leaf	grad.up_dA	bwd.mlp_through_oproj	3	6.954	0.0232	12	24.0	48.0	
enwik8	leaf	grad.gateup_fanin	bwd.mlp_through_oproj	3	0.219	0.0007	12	12.0	12.0	
enwik8	leaf	grad.norm2_kernels	bwd.mlp_through_oproj	3	2.029	0.0068	12	36.0	36.0	
enwik8	leaf	grad.norm2_dW	bwd.mlp_through_oproj	3	0.407	0.0014	12	24.0	24.0	
enwik8	leaf	grad.residual1_add	bwd.mlp_through_oproj	3	0.208	0.0007	12	12.0	12.0	
enwik8	leaf	grad.o_copy	bwd.mlp_through_oproj	3	0.209	0.0007	12	12.0	12.0	
enwik8	leaf	grad.o_dA	bwd.mlp_through_oproj	3	3.298	0.0110	12	24.0	48.0	
enwik8	leaf	grad.o_dB	bwd.mlp_through_oproj	3	3.256	0.0109	12	24.0	48.0	
enwik8	remainder	remainder:bwd.mlp_through_oproj	bwd.mlp_through_oproj	3	1.378	0.0046				parent minus its children per step, then the median
