8295 external/tcmalloc+/tcmalloc/internal/system_allocator.h:713] Warning: Unable to mbind memory (errno=1, base=0x73dd00000000, nodemask=1)
ARM optskip_noshadow_rows16 rows 16 mode IDENTICAL
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.020889
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.018785
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.018486
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.018903
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.018629
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.019185
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.018883
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.054619
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.05193
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.051802
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.051349
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.051252
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.052684
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.051967
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.073256
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.081022
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.065184
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.180878
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.167792
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.158245
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.082466
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.082381
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.083351
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.082716
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.082491
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.083216
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.082335
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.108385
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.104929
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.105031
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.103676
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.104329
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.1031
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.103081
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 0.601887
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 0.59146
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 0.591625
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 1.118892
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 1.090529
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 1.10191
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.188671
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.186851
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.187468
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.187041
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.194222
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.185834
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.195301
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.239549
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.238555
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.237894
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.239271
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.238996
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.239766
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.239616
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 3.484061
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 3.377164
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 2.995197
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 7.032558
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 6.863757
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 5.966537
