8269 external/tcmalloc+/tcmalloc/internal/system_allocator.h:713] Warning: Unable to mbind memory (errno=1, base=0x500ac0000000, nodemask=1)
ARM shipped rows 0 mode IDENTICAL
PRICE shipped 0 512x64 kernel.forward 0.027538
PRICE shipped 0 512x64 kernel.forward 0.026004
PRICE shipped 0 512x64 kernel.forward 0.02609
PRICE shipped 0 512x64 kernel.forward 0.025997
PRICE shipped 0 512x64 kernel.forward 0.025792
PRICE shipped 0 512x64 kernel.forward 0.02585
PRICE shipped 0 512x64 kernel.forward 0.026184
PRICE shipped 0 512x64 kernel.backward 0.058343
PRICE shipped 0 512x64 kernel.backward 0.056345
PRICE shipped 0 512x64 kernel.backward 0.056272
PRICE shipped 0 512x64 kernel.backward 0.055754
PRICE shipped 0 512x64 kernel.backward 0.055835
PRICE shipped 0 512x64 kernel.backward 0.057117
PRICE shipped 0 512x64 kernel.backward 0.056083
PRICE shipped 0 512x64 host.forward 0.081647
PRICE shipped 0 512x64 host.forward 0.07413
PRICE shipped 0 512x64 host.forward 0.073548
PRICE shipped 0 512x64 host.backward 0.182573
PRICE shipped 0 512x64 host.backward 0.181816
PRICE shipped 0 512x64 host.backward 0.182805
PRICE shipped 0 2048x512 kernel.forward 0.148083
PRICE shipped 0 2048x512 kernel.forward 0.147679
PRICE shipped 0 2048x512 kernel.forward 0.148342
PRICE shipped 0 2048x512 kernel.forward 0.148729
PRICE shipped 0 2048x512 kernel.forward 0.147986
PRICE shipped 0 2048x512 kernel.forward 0.148727
PRICE shipped 0 2048x512 kernel.forward 0.14693
PRICE shipped 0 2048x512 kernel.backward 0.146235
PRICE shipped 0 2048x512 kernel.backward 0.146628
PRICE shipped 0 2048x512 kernel.backward 0.146309
PRICE shipped 0 2048x512 kernel.backward 0.145312
PRICE shipped 0 2048x512 kernel.backward 0.144926
PRICE shipped 0 2048x512 kernel.backward 0.145505
PRICE shipped 0 2048x512 kernel.backward 0.144875
PRICE shipped 0 2048x512 host.forward 0.690228
PRICE shipped 0 2048x512 host.forward 0.669961
PRICE shipped 0 2048x512 host.forward 0.662607
PRICE shipped 0 2048x512 host.backward 1.246577
PRICE shipped 0 2048x512 host.backward 1.230083
PRICE shipped 0 2048x512 host.backward 1.204226
PRICE shipped 0 8192x768 kernel.forward 0.277287
PRICE shipped 0 8192x768 kernel.forward 0.282607
PRICE shipped 0 8192x768 kernel.forward 0.280866
PRICE shipped 0 8192x768 kernel.forward 0.278184
PRICE shipped 0 8192x768 kernel.forward 0.282107
PRICE shipped 0 8192x768 kernel.forward 0.282186
PRICE shipped 0 8192x768 kernel.forward 0.279174
PRICE shipped 0 8192x768 kernel.backward 0.283132
PRICE shipped 0 8192x768 kernel.backward 0.283286
PRICE shipped 0 8192x768 kernel.backward 0.284273
PRICE shipped 0 8192x768 kernel.backward 0.284661
PRICE shipped 0 8192x768 kernel.backward 0.283569
PRICE shipped 0 8192x768 kernel.backward 0.283804
PRICE shipped 0 8192x768 kernel.backward 0.285504
PRICE shipped 0 8192x768 host.forward 4.316509
PRICE shipped 0 8192x768 host.forward 3.282768
PRICE shipped 0 8192x768 host.forward 3.051879
PRICE shipped 0 8192x768 host.backward 6.37018
PRICE shipped 0 8192x768 host.backward 6.277248
PRICE shipped 0 8192x768 host.backward 5.682017
