| lane/fixture                 | verdict    | box-arch-2710    | box-arch-2710dead |
|------------------------------|------------|------------------|------------------|
| gbdt-depthwise/base          | IDENTICAL x2 | 38726fc0c93c0bff | 38726fc0c93c0bff |
| gbdt-depthwise/denormal      | IDENTICAL x2 | 64ba350c759ff2e9 | 64ba350c759ff2e9 |
| gbdt-depthwise/denormal_ftz  | IDENTICAL x2 | 64ba350c759ff2e9 | 64ba350c759ff2e9 |
| gbdt-depthwise/dupes         | IDENTICAL x2 | e521424a96e216cb | e521424a96e216cb |
| gbdt-depthwise/hashed        | IDENTICAL x2 | 9455870882645f48 | 9455870882645f48 |
| gbdt-depthwise/negative      | IDENTICAL x2 | d77fc9f6a3eee0a2 | d77fc9f6a3eee0a2 |
| gbdt-depthwise/odd           | IDENTICAL x2 | fb9e5c03088814f6 | fb9e5c03088814f6 |
| gbdt-depthwise/ties          | IDENTICAL x2 | 465cb10f303e005a | 465cb10f303e005a |
| gbdt-depthwise/wide          | IDENTICAL x2 | 2a77ec865e62539a | 2a77ec865e62539a |
| gbdt-feature-freq/base       | DIVERGENT  | parts differ: predict; agree: - | 944e48bbb96131b5 |
| gbdt-feature-freq/denormal   | DIVERGENT  | parts differ: predict; agree: - | 6da3311a5b9707ef |
| gbdt-feature-freq/denormal_ftz | DIVERGENT  | parts differ: predict; agree: - | 6da3311a5b9707ef |
| gbdt-feature-freq/dupes      | DIVERGENT  | parts differ: predict; agree: - | 196c1b4bad6d7cfc |
| gbdt-feature-freq/hashed     | DIVERGENT  | parts differ: predict; agree: - | b99acd4c05cb3998 |
| gbdt-feature-freq/negative   | DIVERGENT  | parts differ: predict; agree: - | 802f50a1568d7e48 |
| gbdt-feature-freq/odd        | DIVERGENT  | parts differ: predict; agree: - | 79388cbe9b4bd13e |
| gbdt-feature-freq/ties       | DIVERGENT  | parts differ: predict; agree: - | 23f66dd476e8528c |
| gbdt-feature-freq/wide       | DIVERGENT  | parts differ: predict; agree: - | 317b4b6b91e3c341 |
| gbdt-lossguide/base          | IDENTICAL x2 | bc3017cb29615105 | bc3017cb29615105 |
| gbdt-lossguide/denormal      | IDENTICAL x2 | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c |
| gbdt-lossguide/denormal_ftz  | IDENTICAL x2 | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c |
| gbdt-lossguide/dupes         | IDENTICAL x2 | b1546f9b3c4293a5 | b1546f9b3c4293a5 |
| gbdt-lossguide/hashed        | IDENTICAL x2 | 3841103ecb3ac05d | 3841103ecb3ac05d |
| gbdt-lossguide/negative      | IDENTICAL x2 | 67b332fcf8b5d0dd | 67b332fcf8b5d0dd |
| gbdt-lossguide/odd           | IDENTICAL x2 | 9fd309c55a93e6c3 | 9fd309c55a93e6c3 |
| gbdt-lossguide/ties          | IDENTICAL x2 | 19d199f7bfa16c25 | 19d199f7bfa16c25 |
| gbdt-lossguide/wide          | IDENTICAL x2 | b9cc1b2b55425cdc | b9cc1b2b55425cdc |
| gbdt-ordered-rmse/base       | IDENTICAL x2 | a6e77b5224108785 | a6e77b5224108785 |
| gbdt-ordered-rmse/denormal   | IDENTICAL x2 | 67483c1b821234ac | 67483c1b821234ac |
| gbdt-ordered-rmse/denormal_ftz | IDENTICAL x2 | 2a44bb38f86cd4ec | 2a44bb38f86cd4ec |
| gbdt-ordered-rmse/dupes      | IDENTICAL x2 | 1e39bd4034194fb0 | 1e39bd4034194fb0 |
| gbdt-ordered-rmse/hashed     | IDENTICAL x2 | 30d789002f114183 | 30d789002f114183 |
| gbdt-ordered-rmse/negative   | IDENTICAL x2 | 50eaef5f0c669042 | 50eaef5f0c669042 |
| gbdt-ordered-rmse/odd        | IDENTICAL x2 | d83c83930af5d802 | d83c83930af5d802 |
| gbdt-ordered-rmse/ties       | IDENTICAL x2 | 563f339900c22c9d | 563f339900c22c9d |
| gbdt-ordered-rmse/wide       | IDENTICAL x2 | 356a38c2904749c0 | 356a38c2904749c0 |
| gbdt-rmse/base               | IDENTICAL x2 | 3f8aef8d73be249c | 3f8aef8d73be249c |
| gbdt-rmse/denormal           | IDENTICAL x2 | 400f099e655dc453 | 400f099e655dc453 |
| gbdt-rmse/denormal_ftz       | IDENTICAL x2 | 400f099e655dc453 | 400f099e655dc453 |
| gbdt-rmse/dupes              | IDENTICAL x2 | 49848bfd3c26b52e | 49848bfd3c26b52e |
| gbdt-rmse/hashed             | IDENTICAL x2 | a89dba586c0f1ab4 | a89dba586c0f1ab4 |
| gbdt-rmse/negative           | IDENTICAL x2 | e54f74cdab3f29f0 | e54f74cdab3f29f0 |
| gbdt-rmse/odd                | IDENTICAL x2 | 7b54ca9d69e29714 | 7b54ca9d69e29714 |
| gbdt-rmse/ties               | IDENTICAL x2 | 88cba1574daa922e | 88cba1574daa922e |
| gbdt-rmse/wide               | IDENTICAL x2 | 5ea3a06d9df1d862 | 5ea3a06d9df1d862 |
| gbdt-symmetric/base          | IDENTICAL x2 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 |
| gbdt-symmetric/denormal      | IDENTICAL x2 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 |
| gbdt-symmetric/denormal_ftz  | IDENTICAL x2 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 |
| gbdt-symmetric/dupes         | IDENTICAL x2 | 9d55545ce5f2ac2b | 9d55545ce5f2ac2b |
| gbdt-symmetric/hashed        | IDENTICAL x2 | cf3de2636433b65a | cf3de2636433b65a |
| gbdt-symmetric/negative      | IDENTICAL x2 | fb9966f26639c286 | fb9966f26639c286 |
| gbdt-symmetric/odd           | IDENTICAL x2 | 0836bd47530040d0 | 0836bd47530040d0 |
| gbdt-symmetric/ties          | IDENTICAL x2 | b32c469f812adf25 | b32c469f812adf25 |
| gbdt-symmetric/wide          | IDENTICAL x2 | bc0084b9b1e30f87 | bc0084b9b1e30f87 |

summary: DIVERGENT=9, IDENTICAL=45

| lane/fixture                 | column | verdict      | box-arch-2710    | box-arch-2710dead |
|------------------------------|--------|--------------|------------------|------------------|
| gbdt-depthwise/base          | infer  | IDENTICAL x2 | 688bf9a8e927232e | 688bf9a8e927232e |
| gbdt-depthwise/base          | model  | IDENTICAL x2 | 448c1bcf37ffdc97 | 448c1bcf37ffdc97 |
| gbdt-depthwise/denormal      | infer  | IDENTICAL x2 | 7b73dadeb43db4cf | 7b73dadeb43db4cf |
| gbdt-depthwise/denormal      | model  | IDENTICAL x2 | a5f5c6eac0c3732c | a5f5c6eac0c3732c |
| gbdt-depthwise/denormal_ftz  | infer  | IDENTICAL x2 | 7b73dadeb43db4cf | 7b73dadeb43db4cf |
| gbdt-depthwise/denormal_ftz  | model  | IDENTICAL x2 | a5f5c6eac0c3732c | a5f5c6eac0c3732c |
| gbdt-depthwise/dupes         | infer  | IDENTICAL x2 | fc255cbff38ea320 | fc255cbff38ea320 |
| gbdt-depthwise/dupes         | model  | IDENTICAL x2 | ca399349c402761a | ca399349c402761a |
| gbdt-depthwise/hashed        | infer  | IDENTICAL x2 | d11cf64a629bd4fb | d11cf64a629bd4fb |
| gbdt-depthwise/hashed        | model  | IDENTICAL x2 | 80b172e1332f9dd9 | 80b172e1332f9dd9 |
| gbdt-depthwise/negative      | infer  | IDENTICAL x2 | ddaa5cebdc9c1484 | ddaa5cebdc9c1484 |
| gbdt-depthwise/negative      | model  | IDENTICAL x2 | 9c2f348d3bf8e73c | 9c2f348d3bf8e73c |
| gbdt-depthwise/odd           | infer  | IDENTICAL x2 | 4ee637393df9aff7 | 4ee637393df9aff7 |
| gbdt-depthwise/odd           | model  | IDENTICAL x2 | e4f63fb009a0a7b5 | e4f63fb009a0a7b5 |
| gbdt-depthwise/ties          | infer  | IDENTICAL x2 | e299a1457dfaedc7 | e299a1457dfaedc7 |
| gbdt-depthwise/ties          | model  | IDENTICAL x2 | ef4323cc40bbfd0a | ef4323cc40bbfd0a |
| gbdt-depthwise/wide          | infer  | IDENTICAL x2 | 65e906e50a54735e | 65e906e50a54735e |
| gbdt-depthwise/wide          | model  | IDENTICAL x2 | 38d9c484d12b1f01 | 38d9c484d12b1f01 |
| gbdt-feature-freq/base       | infer  | DIVERGENT    | 95b976d85efc7f2d | 1d773fdde4dfe28d |
| gbdt-feature-freq/base       | model  | DIVERGENT    | b2959e177eb6e088 | 993416b00b9c5dd9 |
| gbdt-feature-freq/denormal   | infer  | DIVERGENT    | 973775798c10da25 | 94d023b89df51882 |
| gbdt-feature-freq/denormal   | model  | DIVERGENT    | d6c30648533bdf45 | 25c5cfe4e5f0365c |
| gbdt-feature-freq/denormal_ftz | infer  | DIVERGENT    | 973775798c10da25 | 94d023b89df51882 |
| gbdt-feature-freq/denormal_ftz | model  | DIVERGENT    | d6c30648533bdf45 | 25c5cfe4e5f0365c |
| gbdt-feature-freq/dupes      | infer  | DIVERGENT    | 3a9423e4f0d23cad | 753f9aacca0d6f1f |
| gbdt-feature-freq/dupes      | model  | DIVERGENT    | 531909ad2026b783 | 6e8a9c369113901a |
| gbdt-feature-freq/hashed     | infer  | DIVERGENT    | cf308a4c656bfbdc | 227a3873bde38d57 |
| gbdt-feature-freq/hashed     | model  | DIVERGENT    | bf3222bbcdf1f476 | 0162970e4f982e24 |
| gbdt-feature-freq/negative   | infer  | DIVERGENT    | 5a5944c8b884be8c | 1fe97060241c55eb |
| gbdt-feature-freq/negative   | model  | DIVERGENT    | 0794be87633fd36b | d4a9f842bf65370c |
| gbdt-feature-freq/odd        | infer  | DIVERGENT    | 711887d930537c47 | 5ca15185b082560a |
| gbdt-feature-freq/odd        | model  | DIVERGENT    | 53a4160101e38573 | f0fd6478bd84f80a |
| gbdt-feature-freq/ties       | infer  | DIVERGENT    | 41371bafcf6397a3 | e7e8bc869dbb0662 |
| gbdt-feature-freq/ties       | model  | DIVERGENT    | a7417c31e1b422b4 | eb6d81d66bc73698 |
| gbdt-feature-freq/wide       | infer  | DIVERGENT    | 2a4274996f907f13 | 961548f70b5ca05b |
| gbdt-feature-freq/wide       | model  | DIVERGENT    | 6b7d9eddfa4b79b6 | b3625761694c43cc |
| gbdt-lossguide/base          | infer  | IDENTICAL x2 | 38894a4992494eec | 38894a4992494eec |
| gbdt-lossguide/base          | model  | IDENTICAL x2 | 9e01e18241859f87 | 9e01e18241859f87 |
| gbdt-lossguide/denormal      | infer  | IDENTICAL x2 | 11691f0c929f3421 | 11691f0c929f3421 |
| gbdt-lossguide/denormal      | model  | IDENTICAL x2 | cb45b0cc2830737b | cb45b0cc2830737b |
| gbdt-lossguide/denormal_ftz  | infer  | IDENTICAL x2 | 11691f0c929f3421 | 11691f0c929f3421 |
| gbdt-lossguide/denormal_ftz  | model  | IDENTICAL x2 | cb45b0cc2830737b | cb45b0cc2830737b |
| gbdt-lossguide/dupes         | infer  | IDENTICAL x2 | 48a2422d07d569e8 | 48a2422d07d569e8 |
| gbdt-lossguide/dupes         | model  | IDENTICAL x2 | 8c51a41b08c13e13 | 8c51a41b08c13e13 |
| gbdt-lossguide/hashed        | infer  | IDENTICAL x2 | 6ad2edafdef76901 | 6ad2edafdef76901 |
| gbdt-lossguide/hashed        | model  | IDENTICAL x2 | efe7e6ef1fe94f1e | efe7e6ef1fe94f1e |
| gbdt-lossguide/negative      | infer  | IDENTICAL x2 | d3535f6580f644c7 | d3535f6580f644c7 |
| gbdt-lossguide/negative      | model  | IDENTICAL x2 | f2f295f6c2c1929d | f2f295f6c2c1929d |
| gbdt-lossguide/odd           | infer  | IDENTICAL x2 | c61553f78e6fb798 | c61553f78e6fb798 |
| gbdt-lossguide/odd           | model  | IDENTICAL x2 | 7393593a5fb3ed79 | 7393593a5fb3ed79 |
| gbdt-lossguide/ties          | infer  | IDENTICAL x2 | 37cf90363e2078cf | 37cf90363e2078cf |
| gbdt-lossguide/ties          | model  | IDENTICAL x2 | 3653934f21f61d9d | 3653934f21f61d9d |
| gbdt-lossguide/wide          | infer  | IDENTICAL x2 | 95431b9721836309 | 95431b9721836309 |
