ARM optskip_noshadow_rows16 rows 16 mode IDENTICAL
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.045695
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.043464
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.044005
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.072979
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.046764
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.043591
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.042796
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.103833
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.087143
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.082626
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.080408
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.081716
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.085459
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.076461
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.187886
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.15227
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.150897
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.394492
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.378818
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.382766
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.207492
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.205222
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.205359
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.208155
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.205172
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.206807
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.204291
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.161611
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.163578
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.167529
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.163613
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.167445
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.164815
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.163849
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 1.063491
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 1.027481
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 1.033804
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 1.900117
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 1.809127
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 1.770295
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.310207
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.311537
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.310374
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.31194
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.30982
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.310594
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.311663
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.43333
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.429284
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.436574
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.428346
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.42897
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.428206
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.429568
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 4.384258
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 4.472213
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 4.155372
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 8.208928
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 8.230208
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 8.183135
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 0.591305
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 0.599099
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 0.630322
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 0.638102
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 0.641755
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 0.646984
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 0.630227
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.262726
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.276932
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.252475
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.233837
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.236634
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.253263
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.232404
