ARM optskip_noshadow_rows16 rows 16 mode IDENTICAL
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.037086
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.036564
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.035853
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.037666
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.036633
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.03668
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.036576
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.059053
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.060069
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.055504
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.056031
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.05881
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.055888
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.059716
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.111379
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.098436
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.095163
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.240375
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.217283
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.216283
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.204697
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.205591
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.20279
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.20376
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.204001
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.203565
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.204802
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.157709
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.16606
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.161495
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.159388
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.160618
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.159145
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.160427
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 0.83672
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 0.856878
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 0.869651
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 1.594108
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 1.561138
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 1.527066
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.309794
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.310135
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.312071
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.310893
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.310101
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.310578
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.309343
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.247641
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.245045
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.244104
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.244712
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.253071
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.246368
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.244922
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 4.727601
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 4.862613
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 4.589914
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 8.154323
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 8.066652
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 8.040003
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 0.572874
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 0.575628
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 0.613165
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 0.641328
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 0.652973
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 0.629969
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 0.649161
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 0.780272
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 0.783632
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 0.783786
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 0.773893
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 0.776959
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 0.796449
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 0.77831
