ARM optskip_noshadow_rows16 rows 16 mode IDENTICAL
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.01513
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.01511
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.0145
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.014561
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.01412
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.01427
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.014181
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.037072
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.038091
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.034341
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.033591
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.033572
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.036421
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.034572
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.2538
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.345323
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.352943
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.498268
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.499569
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.489059
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.065783
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.066102
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.065362
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.065693
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.065712
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.066003
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.065572
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.063872
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.063372
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.064033
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.063882
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.063733
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.063792
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.063723
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 1.860339
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 1.928571
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 1.89236
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 3.868774
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 3.869494
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 3.908515
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.222439
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.223758
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.222798
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.223568
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.222879
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.225888
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.223789
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.357683
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.356804
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.355673
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.357063
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.357463
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.355113
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.355974
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 9.272465
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 9.564166
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 9.559316
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 18.81565
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 18.214998
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 17.700358
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 1.194664
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 1.184004
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 1.189884
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 1.193684
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 1.185814
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 1.184254
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 1.190314
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.61211
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.61485
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.61375
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.62082
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.61393
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.6171
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.61224
