ARM optskip_noshadow_rows16 rows 16 mode IDENTICAL
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.01497
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.01491
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.014831
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.014261
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.01693
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.01461
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.014201
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.037111
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.036792
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.033311
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.032611
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.032931
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.032551
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.032491
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.256089
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.347083
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.342383
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.505479
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.488968
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.504858
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.065642
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.065612
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.065523
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.065572
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.065713
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.065882
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.065643
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.063623
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.062942
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.063093
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.063092
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.062963
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.063182
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.063633
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 1.860719
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 1.913521
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 1.902891
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 3.881464
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 3.889305
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 3.882694
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.222678
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.221248
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.221428
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.222859
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.223148
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.222469
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.222368
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.306771
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.310692
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.305652
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.308821
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.311302
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.307562
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.310131
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 9.008985
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 9.576127
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 9.530324
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 18.651473
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 18.343412
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 18.145185
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 1.186684
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 1.189054
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 1.190534
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 1.189945
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 1.183834
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 1.195614
PRICE optskip_noshadow_rows16 16 32768x768 kernel.forward 1.199514
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.658761
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.652511
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.652781
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.655972
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.652591
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.653041
PRICE optskip_noshadow_rows16 16 32768x768 kernel.backward 1.656132
