| lane/fixture                 | verdict    | nvidia-NVIDIA_H100_80GB_HBM3 | nvidia-NVIDIA_H100_80GB_HBM3 |
|------------------------------|------------|------------------|------------------|
| et-clf/base                  | IDENTICAL x2 | c586b27a3b049614 | c586b27a3b049614 |
| et-clf/denormal              | IDENTICAL x2 | b40377fb35e52909 | b40377fb35e52909 |
| et-clf/denormal_ftz          | IDENTICAL x2 | b40377fb35e52909 | b40377fb35e52909 |
| et-clf/dupes                 | IDENTICAL x2 | a24dcc8a93f699ff | a24dcc8a93f699ff |
| et-clf/hashed                | IDENTICAL x2 | eb7aaadcd0843a6d | eb7aaadcd0843a6d |
| et-clf/negative              | IDENTICAL x2 | e1409786c462d97b | e1409786c462d97b |
| et-clf/odd                   | IDENTICAL x2 | 1da918353bb9f10e | 1da918353bb9f10e |
| et-clf/ties                  | IDENTICAL x2 | 604f59c7a4203eeb | 604f59c7a4203eeb |
| et-clf/wide                  | IDENTICAL x2 | ee8b318d6bf698b2 | ee8b318d6bf698b2 |
| et-reg/base                  | IDENTICAL x2 | 754d8c127ecfc04d | 754d8c127ecfc04d |
| et-reg/denormal              | IDENTICAL x2 | 19a23f6fea44befd | 19a23f6fea44befd |
| et-reg/denormal_ftz          | IDENTICAL x2 | 19a23f6fea44befd | 19a23f6fea44befd |
| et-reg/dupes                 | IDENTICAL x2 | 9a63fea590f79a67 | 9a63fea590f79a67 |
| et-reg/hashed                | IDENTICAL x2 | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f |
| et-reg/negative              | IDENTICAL x2 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 |
| et-reg/odd                   | IDENTICAL x2 | c9fe7c90673c2661 | c9fe7c90673c2661 |
| et-reg/ties                  | IDENTICAL x2 | e7072e1c8fe0083c | e7072e1c8fe0083c |
| et-reg/wide                  | IDENTICAL x2 | b745e53515f59cac | b745e53515f59cac |
| gbdt-depthwise/base          | ONE-COLUMN | 38726fc0c93c0bff | (not run)        |
| gbdt-depthwise/denormal      | ONE-COLUMN | 64ba350c759ff2e9 | (not run)        |
