| lane/fixture                 | verdict    | apple-m4         | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| agglomerative/base           | IDENTICAL x3 | (not run)        | ad11b976bfbfc20b | ad11b976bfbfc20b | ad11b976bfbfc20b |
| agglomerative/denormal       | IDENTICAL x3 | (not run)        | b05982504c7e8646 | b05982504c7e8646 | b05982504c7e8646 |
| agglomerative/denormal_ftz   | IDENTICAL x3 | (not run)        | b05982504c7e8646 | b05982504c7e8646 | b05982504c7e8646 |
| agglomerative/dupes          | IDENTICAL x3 | (not run)        | ad11b976bfbfc20b | ad11b976bfbfc20b | ad11b976bfbfc20b |
| agglomerative/hashed         | IDENTICAL x3 | (not run)        | 196c79a60c16166c | 196c79a60c16166c | 196c79a60c16166c |
| agglomerative/negative       | IDENTICAL x3 | (not run)        | 795f9975eb5ed985 | 795f9975eb5ed985 | 795f9975eb5ed985 |
| agglomerative/odd            | IDENTICAL x3 | (not run)        | c747a33eff11bbe1 | c747a33eff11bbe1 | c747a33eff11bbe1 |
| agglomerative/ties           | IDENTICAL x3 | (not run)        | 7dea8a094150b8a9 | 7dea8a094150b8a9 | 7dea8a094150b8a9 |
| agglomerative/wide           | IDENTICAL x3 | (not run)        | 24b2baa4533fb568 | 24b2baa4533fb568 | 24b2baa4533fb568 |
| arima/base                   | IDENTICAL x4 | 377790cb117abb61 | 377790cb117abb61 | 377790cb117abb61 | 377790cb117abb61 |
| arima/denormal               | IDENTICAL x4 | 7dbefd70378dfac6 | 7dbefd70378dfac6 | 7dbefd70378dfac6 | 7dbefd70378dfac6 |
| arima/denormal_ftz           | IDENTICAL x4 | 7dbefd70378dfac6 | 7dbefd70378dfac6 | 7dbefd70378dfac6 | 7dbefd70378dfac6 |
| arima/dupes                  | IDENTICAL x4 | 377790cb117abb61 | 377790cb117abb61 | 377790cb117abb61 | 377790cb117abb61 |
| arima/hashed                 | IDENTICAL x4 | d4ed8b9405da9691 | d4ed8b9405da9691 | d4ed8b9405da9691 | d4ed8b9405da9691 |
