| lane/fixture                 | verdict    | arm64            | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       |
|------------------------------|------------|------------------|------------------|------------------|
| ivf-euclidean/base           | IDENTICAL x3 | c96b7d6a7ed08e9b | c96b7d6a7ed08e9b | c96b7d6a7ed08e9b |
| ivf-euclidean/denormal       | IDENTICAL x3 | bc555903de75c40e | bc555903de75c40e | bc555903de75c40e |
| ivf-euclidean/denormal_ftz   | IDENTICAL x3 | bc555903de75c40e | bc555903de75c40e | bc555903de75c40e |
| ivf-euclidean/dupes          | IDENTICAL x3 | eb269ad65df502ed | eb269ad65df502ed | eb269ad65df502ed |
| ivf-euclidean/hashed         | IDENTICAL x3 | cdff352d363caa07 | cdff352d363caa07 | cdff352d363caa07 |
| ivf-euclidean/negative       | IDENTICAL x3 | db3db68bcb7ef398 | db3db68bcb7ef398 | db3db68bcb7ef398 |
| ivf-euclidean/odd            | IDENTICAL x3 | ec9020ff5b2a6c07 | ec9020ff5b2a6c07 | ec9020ff5b2a6c07 |
| ivf-euclidean/ties           | IDENTICAL x3 | 2167394d0c80cc41 | 2167394d0c80cc41 | 2167394d0c80cc41 |
| ivf-euclidean/wide           | IDENTICAL x3 | d62c258ac8282595 | d62c258ac8282595 | d62c258ac8282595 |
| ivf/base                     | IDENTICAL x3 | e14f27972422d4e0 | e14f27972422d4e0 | e14f27972422d4e0 |
| ivf/denormal                 | IDENTICAL x3 | dc905d6cb32046d8 | dc905d6cb32046d8 | dc905d6cb32046d8 |
| ivf/denormal_ftz             | IDENTICAL x3 | dc905d6cb32046d8 | dc905d6cb32046d8 | dc905d6cb32046d8 |
| ivf/dupes                    | IDENTICAL x3 | c9eaf39f6e83e625 | c9eaf39f6e83e625 | c9eaf39f6e83e625 |
| ivf/hashed                   | IDENTICAL x3 | 6c061012dc979df5 | 6c061012dc979df5 | 6c061012dc979df5 |
| ivf/negative                 | IDENTICAL x3 | 9a7f19689600453e | 9a7f19689600453e | 9a7f19689600453e |
| ivf/odd                      | IDENTICAL x3 | 26b26d7e4be5c50a | 26b26d7e4be5c50a | 26b26d7e4be5c50a |
| ivf/ties                     | IDENTICAL x3 | b9d8790b40b5a6ac | b9d8790b40b5a6ac | b9d8790b40b5a6ac |
| ivf/wide                     | IDENTICAL x3 | 8ee39ab9ae510966 | 8ee39ab9ae510966 | 8ee39ab9ae510966 |

summary: IDENTICAL=18

| lane/fixture                 | column | verdict      | arm64            | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       |
|------------------------------|--------|--------------|------------------|------------------|------------------|
| ivf-euclidean/base           | infer  | IDENTICAL x3 | f6f71f391727d74a | f6f71f391727d74a | f6f71f391727d74a |
| ivf-euclidean/base           | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf-euclidean/base           | batch  | IDENTICAL x3 | 0d3b322b4f251d85 | 0d3b322b4f251d85 | 0d3b322b4f251d85 |
| ivf-euclidean/denormal       | infer  | IDENTICAL x3 | ab8f3fc0fb8f010c | ab8f3fc0fb8f010c | ab8f3fc0fb8f010c |
| ivf-euclidean/denormal       | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf-euclidean/denormal       | batch  | IDENTICAL x3 | e395801cb8474d82 | e395801cb8474d82 | e395801cb8474d82 |
| ivf-euclidean/denormal_ftz   | infer  | IDENTICAL x3 | ab8f3fc0fb8f010c | ab8f3fc0fb8f010c | ab8f3fc0fb8f010c |
| ivf-euclidean/denormal_ftz   | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf-euclidean/denormal_ftz   | batch  | IDENTICAL x3 | e395801cb8474d82 | e395801cb8474d82 | e395801cb8474d82 |
| ivf-euclidean/dupes          | infer  | IDENTICAL x3 | 5fb3dd756fa6a835 | 5fb3dd756fa6a835 | 5fb3dd756fa6a835 |
| ivf-euclidean/dupes          | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf-euclidean/dupes          | batch  | IDENTICAL x3 | 5fef40b00c474a24 | 5fef40b00c474a24 | 5fef40b00c474a24 |
| ivf-euclidean/hashed         | infer  | IDENTICAL x3 | 7d8a8506eeb9a78e | 7d8a8506eeb9a78e | 7d8a8506eeb9a78e |
| ivf-euclidean/hashed         | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf-euclidean/hashed         | batch  | IDENTICAL x3 | a69643bf03ceccb2 | a69643bf03ceccb2 | a69643bf03ceccb2 |
| ivf-euclidean/negative       | infer  | IDENTICAL x3 | eacf2587f37d56cb | eacf2587f37d56cb | eacf2587f37d56cb |
| ivf-euclidean/negative       | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf-euclidean/negative       | batch  | IDENTICAL x3 | 1a302ceb75994c6f | 1a302ceb75994c6f | 1a302ceb75994c6f |
| ivf-euclidean/odd            | infer  | IDENTICAL x3 | 247b6a2b733e9ff2 | 247b6a2b733e9ff2 | 247b6a2b733e9ff2 |
| ivf-euclidean/odd            | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf-euclidean/odd            | batch  | IDENTICAL x3 | 4960b29bcd792dc0 | 4960b29bcd792dc0 | 4960b29bcd792dc0 |
| ivf-euclidean/ties           | infer  | IDENTICAL x3 | 6ce659c7ea10311d | 6ce659c7ea10311d | 6ce659c7ea10311d |
| ivf-euclidean/ties           | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf-euclidean/ties           | batch  | IDENTICAL x3 | a22713485f1d9568 | a22713485f1d9568 | a22713485f1d9568 |
| ivf-euclidean/wide           | infer  | IDENTICAL x3 | ee34cd995ead59ba | ee34cd995ead59ba | ee34cd995ead59ba |
| ivf-euclidean/wide           | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf-euclidean/wide           | batch  | IDENTICAL x3 | 36fcc86c5ffc7e96 | 36fcc86c5ffc7e96 | 36fcc86c5ffc7e96 |
