| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-mi325x-gfx942 |
|------------------------------|------------|------------------|------------------|------------------|
| byte-lm-host-infer-threaded/base | IDENTICAL x3 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 |
| byte-lm-host-infer-threaded/denormal | IDENTICAL x3 | dad5258f043269c3 | dad5258f043269c3 | dad5258f043269c3 |
| byte-lm-host-infer-threaded/denormal_ftz | IDENTICAL x3 | d1af362bc6ad2ecf | d1af362bc6ad2ecf | d1af362bc6ad2ecf |
| byte-lm-host-infer-threaded/dupes | IDENTICAL x3 | 21c1595573e0f858 | 21c1595573e0f858 | 21c1595573e0f858 |
| byte-lm-host-infer-threaded/hashed | IDENTICAL x3 | 23284f15a5a13f7e | 23284f15a5a13f7e | 23284f15a5a13f7e |
| byte-lm-host-infer-threaded/negative | IDENTICAL x3 | 957bc9055db7588f | 957bc9055db7588f | 957bc9055db7588f |
| byte-lm-host-infer-threaded/odd | IDENTICAL x3 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 |
| byte-lm-host-infer-threaded/ties | IDENTICAL x3 | 5eb6c37f486dcb83 | 5eb6c37f486dcb83 | 5eb6c37f486dcb83 |
| byte-lm-host-infer-threaded/wide | IDENTICAL x3 | 144b4e7374436e15 | 144b4e7374436e15 | 144b4e7374436e15 |
| byte-lm-host-infer/base      | IDENTICAL x3 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 |
| byte-lm-host-infer/denormal  | IDENTICAL x3 | dad5258f043269c3 | dad5258f043269c3 | dad5258f043269c3 |
| byte-lm-host-infer/denormal_ftz | IDENTICAL x3 | d1af362bc6ad2ecf | d1af362bc6ad2ecf | d1af362bc6ad2ecf |
| byte-lm-host-infer/dupes     | IDENTICAL x3 | 21c1595573e0f858 | 21c1595573e0f858 | 21c1595573e0f858 |
| byte-lm-host-infer/hashed    | IDENTICAL x3 | 23284f15a5a13f7e | 23284f15a5a13f7e | 23284f15a5a13f7e |
| byte-lm-host-infer/negative  | IDENTICAL x3 | 957bc9055db7588f | 957bc9055db7588f | 957bc9055db7588f |
| byte-lm-host-infer/odd       | IDENTICAL x3 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 |
| byte-lm-host-infer/ties      | IDENTICAL x3 | 5eb6c37f486dcb83 | 5eb6c37f486dcb83 | 5eb6c37f486dcb83 |
| byte-lm-host-infer/wide      | IDENTICAL x3 | 144b4e7374436e15 | 144b4e7374436e15 | 144b4e7374436e15 |
| byte-lm-resident/base        | IDENTICAL x3 | 4094f29d7499d189 | 4094f29d7499d189 | 4094f29d7499d189 |
| byte-lm-resident/denormal    | IDENTICAL x3 | f433ba682ec9d3a3 | f433ba682ec9d3a3 | f433ba682ec9d3a3 |
| byte-lm-resident/denormal_ftz | IDENTICAL x3 | 724fd18c8144f388 | 724fd18c8144f388 | 724fd18c8144f388 |
| byte-lm-resident/dupes       | IDENTICAL x3 | 960769cfbcc39557 | 960769cfbcc39557 | 960769cfbcc39557 |
| byte-lm-resident/hashed      | IDENTICAL x3 | 88e68038f4c71cb4 | 88e68038f4c71cb4 | 88e68038f4c71cb4 |
| byte-lm-resident/negative    | IDENTICAL x3 | 85edbd989ddbfed0 | 85edbd989ddbfed0 | 85edbd989ddbfed0 |
| byte-lm-resident/odd         | IDENTICAL x3 | 4094f29d7499d189 | 4094f29d7499d189 | 4094f29d7499d189 |
| byte-lm-resident/ties        | IDENTICAL x3 | f52820f3ff7cdeb1 | f52820f3ff7cdeb1 | f52820f3ff7cdeb1 |
| byte-lm-resident/wide        | IDENTICAL x3 | 95b8d710bed9afe5 | 95b8d710bed9afe5 | 95b8d710bed9afe5 |
| byte-lm/base                 | IDENTICAL x3 | f9a8d760f503f795 | f9a8d760f503f795 | f9a8d760f503f795 |
| byte-lm/denormal             | IDENTICAL x3 | 9f7725f93b3c2400 | 9f7725f93b3c2400 | 9f7725f93b3c2400 |
| byte-lm/denormal_ftz         | IDENTICAL x3 | 65bde5a2fb67dfdb | 65bde5a2fb67dfdb | 65bde5a2fb67dfdb |
| byte-lm/dupes                | IDENTICAL x3 | 9d9fe9205064bac3 | 9d9fe9205064bac3 | 9d9fe9205064bac3 |
| byte-lm/hashed               | IDENTICAL x3 | e1937509a223711e | e1937509a223711e | e1937509a223711e |
| byte-lm/negative             | IDENTICAL x3 | 2ac343da560e4d31 | 2ac343da560e4d31 | 2ac343da560e4d31 |
| byte-lm/odd                  | IDENTICAL x3 | f9a8d760f503f795 | f9a8d760f503f795 | f9a8d760f503f795 |
| byte-lm/ties                 | IDENTICAL x3 | b6939352795ff292 | b6939352795ff292 | b6939352795ff292 |
| byte-lm/wide                 | IDENTICAL x3 | f06570ace1982aab | f06570ace1982aab | f06570ace1982aab |
| cross-entropy-arms/base      | IDENTICAL x3 | f470c4b3d4c6ffff | f470c4b3d4c6ffff | f470c4b3d4c6ffff |
| cross-entropy-arms/denormal  | IDENTICAL x3 | 429f088f51a53a35 | 429f088f51a53a35 | 429f088f51a53a35 |
| cross-entropy-arms/denormal_ftz | IDENTICAL x3 | 412f826cd71cca6f | 412f826cd71cca6f | 412f826cd71cca6f |
| cross-entropy-arms/dupes     | IDENTICAL x3 | cabc7904a8f0a565 | cabc7904a8f0a565 | cabc7904a8f0a565 |
| cross-entropy-arms/hashed    | IDENTICAL x3 | 66e041daff67a439 | 66e041daff67a439 | 66e041daff67a439 |
| cross-entropy-arms/negative  | IDENTICAL x3 | 3e7ba0104afe7528 | 3e7ba0104afe7528 | 3e7ba0104afe7528 |
| cross-entropy-arms/odd       | IDENTICAL x3 | f470c4b3d4c6ffff | f470c4b3d4c6ffff | f470c4b3d4c6ffff |
| cross-entropy-arms/ties      | IDENTICAL x3 | 2c784ce0dc69e248 | 2c784ce0dc69e248 | 2c784ce0dc69e248 |
| cross-entropy-arms/wide      | IDENTICAL x3 | 000019b5210227ff | 000019b5210227ff | 000019b5210227ff |
| embedding-sort/base          | IDENTICAL x3 | bcc23cf76ecd9bd0 | bcc23cf76ecd9bd0 | bcc23cf76ecd9bd0 |
| embedding-sort/denormal      | IDENTICAL x3 | 59595db92ff1929f | 59595db92ff1929f | 59595db92ff1929f |
| embedding-sort/denormal_ftz  | IDENTICAL x3 | 34cb2f8df00e959f | 34cb2f8df00e959f | 34cb2f8df00e959f |
| embedding-sort/dupes         | IDENTICAL x3 | 7dfca2bcb83ca2c2 | 7dfca2bcb83ca2c2 | 7dfca2bcb83ca2c2 |
| embedding-sort/hashed        | IDENTICAL x3 | fe5303d0bf6e8147 | fe5303d0bf6e8147 | fe5303d0bf6e8147 |
