NOTE: --lanes scopes this diff to 4 lane(s); 162 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9754-128-core-processor is a CPU column: cpu_model='AMD EPYC 9754 128-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_tsa_host'] commit=420a8ec73dee02ee6dde284ee37b7eaa785960ce
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-amd-epyc-9754-128-core-processor |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| holtwinters-multiplicative/base | IDENTICAL x4 | d49a5a62e2e56bb6 | d49a5a62e2e56bb6 | d49a5a62e2e56bb6 | d49a5a62e2e56bb6 |
| holtwinters-multiplicative/denormal | IDENTICAL x4 | db35c88da059e9e1 | db35c88da059e9e1 | db35c88da059e9e1 | db35c88da059e9e1 |
| holtwinters-multiplicative/denormal_ftz | IDENTICAL x4 | db35c88da059e9e1 | db35c88da059e9e1 | db35c88da059e9e1 | db35c88da059e9e1 |
| holtwinters-multiplicative/dupes | IDENTICAL x4 | d49a5a62e2e56bb6 | d49a5a62e2e56bb6 | d49a5a62e2e56bb6 | d49a5a62e2e56bb6 |
| holtwinters-multiplicative/hashed | IDENTICAL x4 | b4527085a076f4fe | b4527085a076f4fe | b4527085a076f4fe | b4527085a076f4fe |
| holtwinters-multiplicative/negative | IDENTICAL x4 | cbf95f4b980df3c4 | cbf95f4b980df3c4 | cbf95f4b980df3c4 | cbf95f4b980df3c4 |
| holtwinters-multiplicative/odd | IDENTICAL x4 | 55b8c755b3169576 | 55b8c755b3169576 | 55b8c755b3169576 | 55b8c755b3169576 |
| holtwinters-multiplicative/ties | IDENTICAL x4 | 8ea8adf3ce3677e9 | 8ea8adf3ce3677e9 | 8ea8adf3ce3677e9 | 8ea8adf3ce3677e9 |
| holtwinters-multiplicative/wide | IDENTICAL x4 | e6cdbd540175f484 | e6cdbd540175f484 | e6cdbd540175f484 | e6cdbd540175f484 |
| holtwinters/base             | IDENTICAL x4 | 9781c2061a287937 | 9781c2061a287937 | 9781c2061a287937 | 9781c2061a287937 |
| holtwinters/denormal         | IDENTICAL x4 | db35c88da059e9e1 | db35c88da059e9e1 | db35c88da059e9e1 | db35c88da059e9e1 |
| holtwinters/denormal_ftz     | IDENTICAL x4 | db35c88da059e9e1 | db35c88da059e9e1 | db35c88da059e9e1 | db35c88da059e9e1 |
| holtwinters/dupes            | IDENTICAL x4 | 9781c2061a287937 | 9781c2061a287937 | 9781c2061a287937 | 9781c2061a287937 |
| holtwinters/hashed           | IDENTICAL x4 | 66f688c307cabc3b | 66f688c307cabc3b | 66f688c307cabc3b | 66f688c307cabc3b |
| holtwinters/negative         | IDENTICAL x4 | 8fa4116875bdf59c | 8fa4116875bdf59c | 8fa4116875bdf59c | 8fa4116875bdf59c |
| holtwinters/odd              | IDENTICAL x4 | 8fb4dd76d8080a46 | 8fb4dd76d8080a46 | 8fb4dd76d8080a46 | 8fb4dd76d8080a46 |
| holtwinters/ties             | IDENTICAL x4 | b2a5df45db1395b0 | b2a5df45db1395b0 | b2a5df45db1395b0 | b2a5df45db1395b0 |
| holtwinters/wide             | IDENTICAL x4 | 560cdc45a69cc987 | 560cdc45a69cc987 | 560cdc45a69cc987 | 560cdc45a69cc987 |
| kpss/base                    | IDENTICAL x4 | 36455bfad879c922 | 36455bfad879c922 | 36455bfad879c922 | 36455bfad879c922 |
| kpss/denormal                | IDENTICAL x4 | 0c9ec0cbd3fc4a07 | 0c9ec0cbd3fc4a07 | 0c9ec0cbd3fc4a07 | 0c9ec0cbd3fc4a07 |
| kpss/denormal_ftz            | IDENTICAL x4 | 0c9ec0cbd3fc4a07 | 0c9ec0cbd3fc4a07 | 0c9ec0cbd3fc4a07 | 0c9ec0cbd3fc4a07 |
| kpss/dupes                   | IDENTICAL x4 | 36455bfad879c922 | 36455bfad879c922 | 36455bfad879c922 | 36455bfad879c922 |
| kpss/hashed                  | IDENTICAL x4 | e2740931cdd962b4 | e2740931cdd962b4 | e2740931cdd962b4 | e2740931cdd962b4 |
| kpss/negative                | IDENTICAL x4 | 90309fb16aa854ac | 90309fb16aa854ac | 90309fb16aa854ac | 90309fb16aa854ac |
| kpss/odd                     | IDENTICAL x4 | 07aae613cbeaf7d1 | 07aae613cbeaf7d1 | 07aae613cbeaf7d1 | 07aae613cbeaf7d1 |
| kpss/ties                    | IDENTICAL x4 | e2af1cdd45ece5cc | e2af1cdd45ece5cc | e2af1cdd45ece5cc | e2af1cdd45ece5cc |
| kpss/wide                    | IDENTICAL x4 | c8c3b024d1abd609 | c8c3b024d1abd609 | c8c3b024d1abd609 | c8c3b024d1abd609 |
| par-holtwinters/base         | IDENTICAL x4 | aa71e2e60daefca2 | aa71e2e60daefca2 | aa71e2e60daefca2 | aa71e2e60daefca2 |
| par-holtwinters/denormal     | IDENTICAL x4 | e33dcd8e2af3c5ed | e33dcd8e2af3c5ed | e33dcd8e2af3c5ed | e33dcd8e2af3c5ed |
| par-holtwinters/denormal_ftz | IDENTICAL x4 | e33dcd8e2af3c5ed | e33dcd8e2af3c5ed | e33dcd8e2af3c5ed | e33dcd8e2af3c5ed |
| par-holtwinters/dupes        | IDENTICAL x4 | aa71e2e60daefca2 | aa71e2e60daefca2 | aa71e2e60daefca2 | aa71e2e60daefca2 |
| par-holtwinters/hashed       | IDENTICAL x4 | 372d451f62fa6901 | 372d451f62fa6901 | 372d451f62fa6901 | 372d451f62fa6901 |
| par-holtwinters/negative     | IDENTICAL x4 | 27548b32b8c6abe8 | 27548b32b8c6abe8 | 27548b32b8c6abe8 | 27548b32b8c6abe8 |
| par-holtwinters/odd          | IDENTICAL x4 | 02b67bfea83a5c15 | 02b67bfea83a5c15 | 02b67bfea83a5c15 | 02b67bfea83a5c15 |
| par-holtwinters/ties         | IDENTICAL x4 | 7e871bd012a3962e | 7e871bd012a3962e | 7e871bd012a3962e | 7e871bd012a3962e |
| par-holtwinters/wide         | IDENTICAL x4 | e8ca2175544f1a73 | e8ca2175544f1a73 | e8ca2175544f1a73 | e8ca2175544f1a73 |

summary: IDENTICAL=36

| lane/fixture                 | column | verdict      | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-amd-epyc-9754-128-core-processor |
|------------------------------|--------|--------------|------------------|------------------|------------------|------------------|
| holtwinters-multiplicative/base | infer  | IDENTICAL x4 | 733c9600a564ad92 | 733c9600a564ad92 | 733c9600a564ad92 | 733c9600a564ad92 |
| holtwinters-multiplicative/base | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters-multiplicative/base | batch  | IDENTICAL x4 | 68a40b58dc692b32 | 68a40b58dc692b32 | 68a40b58dc692b32 | 68a40b58dc692b32 |
| holtwinters-multiplicative/denormal | infer  | IDENTICAL x4 | 5e7dba822d698dd4 | 5e7dba822d698dd4 | 5e7dba822d698dd4 | 5e7dba822d698dd4 |
| holtwinters-multiplicative/denormal | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters-multiplicative/denormal | batch  | IDENTICAL x4 | 0b25b078a96b247e | 0b25b078a96b247e | 0b25b078a96b247e | 0b25b078a96b247e |
| holtwinters-multiplicative/denormal_ftz | infer  | IDENTICAL x4 | 5e7dba822d698dd4 | 5e7dba822d698dd4 | 5e7dba822d698dd4 | 5e7dba822d698dd4 |
| holtwinters-multiplicative/denormal_ftz | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters-multiplicative/denormal_ftz | batch  | IDENTICAL x4 | 0b25b078a96b247e | 0b25b078a96b247e | 0b25b078a96b247e | 0b25b078a96b247e |
| holtwinters-multiplicative/dupes | infer  | IDENTICAL x4 | 733c9600a564ad92 | 733c9600a564ad92 | 733c9600a564ad92 | 733c9600a564ad92 |
| holtwinters-multiplicative/dupes | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters-multiplicative/dupes | batch  | IDENTICAL x4 | 68a40b58dc692b32 | 68a40b58dc692b32 | 68a40b58dc692b32 | 68a40b58dc692b32 |
| holtwinters-multiplicative/hashed | infer  | IDENTICAL x4 | 4c14823c8b1dbcd7 | 4c14823c8b1dbcd7 | 4c14823c8b1dbcd7 | 4c14823c8b1dbcd7 |
| holtwinters-multiplicative/hashed | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters-multiplicative/hashed | batch  | IDENTICAL x4 | 17d71141dbd7a3c6 | 17d71141dbd7a3c6 | 17d71141dbd7a3c6 | 17d71141dbd7a3c6 |
| holtwinters-multiplicative/negative | infer  | IDENTICAL x4 | 462c8ebc8d2efa04 | 462c8ebc8d2efa04 | 462c8ebc8d2efa04 | 462c8ebc8d2efa04 |
| holtwinters-multiplicative/negative | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters-multiplicative/negative | batch  | IDENTICAL x4 | 60acbb07363d6af3 | 60acbb07363d6af3 | 60acbb07363d6af3 | 60acbb07363d6af3 |
| holtwinters-multiplicative/odd | infer  | IDENTICAL x4 | 899a6730dedaa535 | 899a6730dedaa535 | 899a6730dedaa535 | 899a6730dedaa535 |
| holtwinters-multiplicative/odd | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters-multiplicative/odd | batch  | IDENTICAL x4 | 2793fec672ddc457 | 2793fec672ddc457 | 2793fec672ddc457 | 2793fec672ddc457 |
| holtwinters-multiplicative/ties | infer  | IDENTICAL x4 | 54aab1a29ccacdfe | 54aab1a29ccacdfe | 54aab1a29ccacdfe | 54aab1a29ccacdfe |
| holtwinters-multiplicative/ties | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters-multiplicative/ties | batch  | IDENTICAL x4 | da0498edc9d73bae | da0498edc9d73bae | da0498edc9d73bae | da0498edc9d73bae |
| holtwinters-multiplicative/wide | infer  | IDENTICAL x4 | c0221c39c93138de | c0221c39c93138de | c0221c39c93138de | c0221c39c93138de |
| holtwinters-multiplicative/wide | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters-multiplicative/wide | batch  | IDENTICAL x4 | 97d1ce7117d1cb95 | 97d1ce7117d1cb95 | 97d1ce7117d1cb95 | 97d1ce7117d1cb95 |
| holtwinters/base             | infer  | IDENTICAL x4 | f930b5ed0ef2c318 | f930b5ed0ef2c318 | f930b5ed0ef2c318 | f930b5ed0ef2c318 |
| holtwinters/base             | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters/base             | batch  | IDENTICAL x4 | 093a7898c986d9bc | 093a7898c986d9bc | 093a7898c986d9bc | 093a7898c986d9bc |
| holtwinters/denormal         | infer  | IDENTICAL x4 | 5e7dba822d698dd4 | 5e7dba822d698dd4 | 5e7dba822d698dd4 | 5e7dba822d698dd4 |
| holtwinters/denormal         | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters/denormal         | batch  | IDENTICAL x4 | 0b25b078a96b247e | 0b25b078a96b247e | 0b25b078a96b247e | 0b25b078a96b247e |
| holtwinters/denormal_ftz     | infer  | IDENTICAL x4 | 5e7dba822d698dd4 | 5e7dba822d698dd4 | 5e7dba822d698dd4 | 5e7dba822d698dd4 |
| holtwinters/denormal_ftz     | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters/denormal_ftz     | batch  | IDENTICAL x4 | 0b25b078a96b247e | 0b25b078a96b247e | 0b25b078a96b247e | 0b25b078a96b247e |
| holtwinters/dupes            | infer  | IDENTICAL x4 | f930b5ed0ef2c318 | f930b5ed0ef2c318 | f930b5ed0ef2c318 | f930b5ed0ef2c318 |
| holtwinters/dupes            | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters/dupes            | batch  | IDENTICAL x4 | 093a7898c986d9bc | 093a7898c986d9bc | 093a7898c986d9bc | 093a7898c986d9bc |
| holtwinters/hashed           | infer  | IDENTICAL x4 | bfa4a149ae74602c | bfa4a149ae74602c | bfa4a149ae74602c | bfa4a149ae74602c |
| holtwinters/hashed           | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
