NOTE: --lanes scopes this diff to 17 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_estimators_host', '_mojolearn_kernel_methods_host', '_mojolearn_linalg_host', '_mojolearn_preprocessing_host', '_mojolearn_solver_host'] commit=59cbcedd2b3c7bb809ffd3b28dc26a2d7791c8fa
| lane/fixture                 | verdict    | arm64            | cpu-apple-m4     |
|------------------------------|------------|------------------|------------------|
| elasticnet-l2end-no-intercept/base | IDENTICAL x2 | 5346e205a1021396 | 5346e205a1021396 |
| elasticnet-l2end-no-intercept/denormal | IDENTICAL x2 | 87ba9a45e3804809 | 87ba9a45e3804809 |
| elasticnet-l2end-no-intercept/odd | IDENTICAL x2 | 810604d104c7fb79 | 810604d104c7fb79 |
| elasticnet/base              | IDENTICAL x2 | 2cf742083831ee9d | 2cf742083831ee9d |
| elasticnet/denormal          | IDENTICAL x2 | 3add60ff69fd788c | 3add60ff69fd788c |
| elasticnet/odd               | IDENTICAL x2 | 1a518e703b7dd1d9 | 1a518e703b7dd1d9 |
| kernel-ridge/base            | IDENTICAL x2 | f556d0ce44d56b91 | f556d0ce44d56b91 |
| kernel-ridge/denormal        | IDENTICAL x2 | 08fc4a04cb059cdc | 08fc4a04cb059cdc |
| kernel-ridge/odd             | IDENTICAL x2 | 252bb6c9e80b6930 | 252bb6c9e80b6930 |
| lasso/base                   | IDENTICAL x2 | 2fa3301e45a46091 | 2fa3301e45a46091 |
| lasso/denormal               | IDENTICAL x2 | 5374b434a96382d6 | 5374b434a96382d6 |
| lasso/odd                    | IDENTICAL x2 | 5593579edd6113d6 | 5593579edd6113d6 |
| logistic-elasticnet/base     | IDENTICAL x2 | 13d16c952886809e | 13d16c952886809e |
| logistic-elasticnet/denormal | IDENTICAL x2 | d057c6546ef4a432 | d057c6546ef4a432 |
| logistic-elasticnet/odd      | IDENTICAL x2 | c3c78dc7813e1dd1 | c3c78dc7813e1dd1 |
| logistic-l1/base             | IDENTICAL x2 | 2a6077809e43f596 | 2a6077809e43f596 |
| logistic-l1/denormal         | IDENTICAL x2 | b03374c1e49f2ae8 | b03374c1e49f2ae8 |
| logistic-l1/odd              | IDENTICAL x2 | d165146dba6f3d02 | d165146dba6f3d02 |
| logistic-unpenalized-no-intercept/base | IDENTICAL x2 | 2d680bec24348fb1 | 2d680bec24348fb1 |
| logistic-unpenalized-no-intercept/denormal | IDENTICAL x2 | 626de4d1000c3305 | 626de4d1000c3305 |
| logistic-unpenalized-no-intercept/odd | IDENTICAL x2 | 4c2b1a307f3901c0 | 4c2b1a307f3901c0 |
| minmax-scaler-clip/base      | IDENTICAL x2 | 2c223d868d9144bd | 2c223d868d9144bd |
| minmax-scaler-clip/denormal  | IDENTICAL x2 | 7dc0c86e7125bd63 | 7dc0c86e7125bd63 |
| minmax-scaler-clip/odd       | IDENTICAL x2 | 44e4955bb9a96707 | 44e4955bb9a96707 |
| minmax-scaler/base           | IDENTICAL x2 | 646b46cf73ead58e | 646b46cf73ead58e |
| minmax-scaler/denormal       | IDENTICAL x2 | 760381e656d7edc6 | 760381e656d7edc6 |
| minmax-scaler/odd            | IDENTICAL x2 | 803149932ba8b2da | 803149932ba8b2da |
| nystroem/base                | IDENTICAL x2 | 51cd84d728ad878c | 51cd84d728ad878c |
| nystroem/denormal            | IDENTICAL x2 | 9c20e9397f8d75af | 9c20e9397f8d75af |
| nystroem/odd                 | IDENTICAL x2 | ac49556f30e24606 | ac49556f30e24606 |
| ols-no-intercept/base        | IDENTICAL x2 | bc9714aa8394d319 | bc9714aa8394d319 |
| ols-no-intercept/denormal    | IDENTICAL x2 | 172fbbe0bc0a7c91 | 172fbbe0bc0a7c91 |
| ols-no-intercept/odd         | IDENTICAL x2 | 3d456f2024b12b13 | 3d456f2024b12b13 |
| ols-weighted/base            | IDENTICAL x2 | 91b9e03ba0bb0253 | 91b9e03ba0bb0253 |
| ols-weighted/denormal        | IDENTICAL x2 | 9896adcaa53b73e3 | 9896adcaa53b73e3 |
| ols-weighted/odd             | IDENTICAL x2 | 806d776bed929869 | 806d776bed929869 |
| rbf-sampler/base             | IDENTICAL x2 | 2c2d8da2b42d472a | 2c2d8da2b42d472a |
| rbf-sampler/denormal         | IDENTICAL x2 | d0f7e01fbefae473 | d0f7e01fbefae473 |
| rbf-sampler/odd              | IDENTICAL x2 | cd3871f38ffab071 | cd3871f38ffab071 |
| ridge-no-intercept/base      | IDENTICAL x2 | 273f820b187f1a36 | 273f820b187f1a36 |
| ridge-no-intercept/denormal  | IDENTICAL x2 | 606b59a04cbd098a | 606b59a04cbd098a |
| ridge-no-intercept/odd       | IDENTICAL x2 | 64449bd167f8e9cf | 64449bd167f8e9cf |
| standard-scaler-no-mean/base | IDENTICAL x2 | 8e822e639ac24f60 | 8e822e639ac24f60 |
| standard-scaler-no-mean/denormal | IDENTICAL x2 | 7688757091a44290 | 7688757091a44290 |
| standard-scaler-no-mean/odd  | IDENTICAL x2 | e96dbecddd2bb06a | e96dbecddd2bb06a |
| standard-scaler-no-std/base  | IDENTICAL x2 | a381f22821f82024 | a381f22821f82024 |
| standard-scaler-no-std/denormal | IDENTICAL x2 | 8ac8111d55fd1f91 | 8ac8111d55fd1f91 |
| standard-scaler-no-std/odd   | IDENTICAL x2 | 2ac9839d045e284d | 2ac9839d045e284d |
| standard-scaler/base         | IDENTICAL x2 | 9954d8aba9fdfba3 | 9954d8aba9fdfba3 |
| standard-scaler/denormal     | IDENTICAL x2 | 87862ff4b450f03a | 87862ff4b450f03a |
| standard-scaler/odd          | IDENTICAL x2 | 24632a63d5c0debd | 24632a63d5c0debd |

summary: IDENTICAL=51

| lane/fixture                 | column | verdict      | arm64            | cpu-apple-m4     |
|------------------------------|--------|--------------|------------------|------------------|
| elasticnet-l2end-no-intercept/base | infer  | IDENTICAL x2 | 63a154f8f524d3be | 63a154f8f524d3be |
| elasticnet-l2end-no-intercept/base | model  | IDENTICAL x2 | 8be696fed327895c | 8be696fed327895c |
| elasticnet-l2end-no-intercept/base | batch  | IDENTICAL x2 | f182600116558577 | f182600116558577 |
| elasticnet-l2end-no-intercept/denormal | infer  | IDENTICAL x2 | 00300017193bf8a5 | 00300017193bf8a5 |
| elasticnet-l2end-no-intercept/denormal | model  | IDENTICAL x2 | fc5bae3cec858874 | fc5bae3cec858874 |
| elasticnet-l2end-no-intercept/denormal | batch  | IDENTICAL x2 | d960b91ea7d32a59 | d960b91ea7d32a59 |
| elasticnet-l2end-no-intercept/odd | infer  | IDENTICAL x2 | c03221f3656309a4 | c03221f3656309a4 |
| elasticnet-l2end-no-intercept/odd | model  | IDENTICAL x2 | fbdf792626d3fd09 | fbdf792626d3fd09 |
| elasticnet-l2end-no-intercept/odd | batch  | IDENTICAL x2 | 0be9aed689343358 | 0be9aed689343358 |
| elasticnet/base              | infer  | IDENTICAL x2 | 483bce4b8cc1a137 | 483bce4b8cc1a137 |
| elasticnet/base              | model  | IDENTICAL x2 | 2e79bea4a0df84ff | 2e79bea4a0df84ff |
| elasticnet/base              | batch  | IDENTICAL x2 | 956915d5c61aa604 | 956915d5c61aa604 |
| elasticnet/denormal          | infer  | IDENTICAL x2 | 0047832ca8c561a3 | 0047832ca8c561a3 |
| elasticnet/denormal          | model  | IDENTICAL x2 | 7f16adbc1a1fea7e | 7f16adbc1a1fea7e |
| elasticnet/denormal          | batch  | IDENTICAL x2 | 19772c145c4b0d34 | 19772c145c4b0d34 |
| elasticnet/odd               | infer  | IDENTICAL x2 | 75a88217f1114867 | 75a88217f1114867 |
| elasticnet/odd               | model  | IDENTICAL x2 | 14095ddb22139e58 | 14095ddb22139e58 |
| elasticnet/odd               | batch  | IDENTICAL x2 | f140130bad4b7f18 | f140130bad4b7f18 |
| kernel-ridge/base            | infer  | IDENTICAL x2 | 6d91b2e922c596c9 | 6d91b2e922c596c9 |
| kernel-ridge/base            | model  | IDENTICAL x2 | 962ae4a3e685e49d | 962ae4a3e685e49d |
| kernel-ridge/base            | batch  | IDENTICAL x2 | 013c14ab12301b2a | 013c14ab12301b2a |
| kernel-ridge/denormal        | infer  | IDENTICAL x2 | 1d93958dfff6ae9c | 1d93958dfff6ae9c |
| kernel-ridge/denormal        | model  | IDENTICAL x2 | ed24c9b215022886 | ed24c9b215022886 |
| kernel-ridge/denormal        | batch  | IDENTICAL x2 | 84d10ac93d168343 | 84d10ac93d168343 |
| kernel-ridge/odd             | infer  | IDENTICAL x2 | be1d82e6396343af | be1d82e6396343af |
| kernel-ridge/odd             | model  | IDENTICAL x2 | dbfe86f6ed7a5b2a | dbfe86f6ed7a5b2a |
| kernel-ridge/odd             | batch  | IDENTICAL x2 | e461f2292f79bcd5 | e461f2292f79bcd5 |
| lasso/base                   | infer  | IDENTICAL x2 | 7334b38e7b651e27 | 7334b38e7b651e27 |
| lasso/base                   | model  | IDENTICAL x2 | e9921dc22b63c22b | e9921dc22b63c22b |
| lasso/base                   | batch  | IDENTICAL x2 | 17cc629044f18231 | 17cc629044f18231 |
| lasso/denormal               | infer  | IDENTICAL x2 | b92e9bfda9b725b4 | b92e9bfda9b725b4 |
| lasso/denormal               | model  | IDENTICAL x2 | 7f40c2a34c2e9d0e | 7f40c2a34c2e9d0e |
| lasso/denormal               | batch  | IDENTICAL x2 | 569fc3172ebd0164 | 569fc3172ebd0164 |
| lasso/odd                    | infer  | IDENTICAL x2 | 1c17e2eb1ef6a2e2 | 1c17e2eb1ef6a2e2 |
| lasso/odd                    | model  | IDENTICAL x2 | dd93f0301683411b | dd93f0301683411b |
| lasso/odd                    | batch  | IDENTICAL x2 | 14762f161b0b7377 | 14762f161b0b7377 |
| logistic-elasticnet/base     | infer  | IDENTICAL x2 | bb41dcdcc6b956cb | bb41dcdcc6b956cb |
| logistic-elasticnet/base     | model  | IDENTICAL x2 | 73c4066bfcea08e1 | 73c4066bfcea08e1 |
| logistic-elasticnet/base     | batch  | IDENTICAL x2 | 790a349c8d79c171 | 790a349c8d79c171 |
| logistic-elasticnet/denormal | infer  | IDENTICAL x2 | 9124d29f98d5f3a3 | 9124d29f98d5f3a3 |
| logistic-elasticnet/denormal | model  | IDENTICAL x2 | 0fc41d637c47c533 | 0fc41d637c47c533 |
| logistic-elasticnet/denormal | batch  | IDENTICAL x2 | dd992527e3a3b1b2 | dd992527e3a3b1b2 |
| logistic-elasticnet/odd      | infer  | IDENTICAL x2 | 959dbbc72b9e84fd | 959dbbc72b9e84fd |
| logistic-elasticnet/odd      | model  | IDENTICAL x2 | 2fc5c63d76b381f2 | 2fc5c63d76b381f2 |
| logistic-elasticnet/odd      | batch  | IDENTICAL x2 | 4139fcaafcc5beec | 4139fcaafcc5beec |
| logistic-l1/base             | infer  | IDENTICAL x2 | 87f24b6ab0f699de | 87f24b6ab0f699de |
| logistic-l1/base             | model  | IDENTICAL x2 | e8c4053e100eb43b | e8c4053e100eb43b |
| logistic-l1/base             | batch  | IDENTICAL x2 | db991c1fff13c957 | db991c1fff13c957 |
| logistic-l1/denormal         | infer  | IDENTICAL x2 | 9d5061f6cc0e010e | 9d5061f6cc0e010e |
| logistic-l1/denormal         | model  | IDENTICAL x2 | cbaa801dd6c0e8d0 | cbaa801dd6c0e8d0 |
| logistic-l1/denormal         | batch  | IDENTICAL x2 | 5d0f088a5893e0ef | 5d0f088a5893e0ef |
| logistic-l1/odd              | infer  | IDENTICAL x2 | b792319498542c26 | b792319498542c26 |
| logistic-l1/odd              | model  | IDENTICAL x2 | c4194b58746aff39 | c4194b58746aff39 |
