NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_tokenizer_host'] commit=0e4715f7c
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_tokenizer_host'] commit=b77a26e9341a499fb477f87847dc73bd34f1c4bf
| lane/fixture                 | verdict    | cpu-apple-m4     | cpu-apple-m4     |
|------------------------------|------------|------------------|------------------|
| bpe-trainer/base             | DIVERGENT  | parts differ: ranks,tokenizer_json,n_tokens,n_merges,n_ties_broken; agree: - | f5172d25e6499662 |
| bpe-trainer/denormal         | DIVERGENT  | parts differ: ranks,tokenizer_json,n_tokens,n_merges,n_ties_broken; agree: - | 4ab8db3f04cd9859 |
| bpe-trainer/denormal_ftz     | DIVERGENT  | parts differ: ranks,tokenizer_json,n_tokens,n_merges,n_ties_broken; agree: - | 843284f5291145bb |
| bpe-trainer/dupes            | DIVERGENT  | parts differ: ranks,tokenizer_json,n_tokens,n_merges,n_ties_broken; agree: - | c853607530a0576f |
| bpe-trainer/hashed           | DIVERGENT  | parts differ: ranks,tokenizer_json; agree: n_tokens,n_merges,n_ties_broken | badc1c0d6aa1c3a4 |
| bpe-trainer/negative         | DIVERGENT  | parts differ: ranks,tokenizer_json; agree: n_tokens,n_merges,n_ties_broken | ea3907d45ffb58bc |
| bpe-trainer/odd              | DIVERGENT  | parts differ: ranks,tokenizer_json,n_tokens,n_merges,n_ties_broken; agree: - | f5172d25e6499662 |
| bpe-trainer/ties             | DIVERGENT  | parts differ: ranks,tokenizer_json,n_tokens,n_merges,n_ties_broken; agree: - | ee7212a28441acca |
| bpe-trainer/wide             | DIVERGENT  | parts differ: ranks,tokenizer_json; agree: n_tokens,n_merges,n_ties_broken | f873a54541f0a4e4 |
| bpe-vocabulary/base          | DIVERGENT  | parts differ: ranks,tokenizer_json,identity,ids; agree: decoded,roundtrip,flags | c19fef8c848b98ee |
| bpe-vocabulary/denormal      | DIVERGENT  | parts differ: ranks,tokenizer_json,identity,ids; agree: decoded,roundtrip,flags | 844d01802b481a30 |
| bpe-vocabulary/denormal_ftz  | DIVERGENT  | parts differ: ranks,tokenizer_json,identity,ids; agree: decoded,roundtrip,flags | 8182abd1e7c6a32e |
| bpe-vocabulary/dupes         | DIVERGENT  | parts differ: ranks,tokenizer_json,identity,ids; agree: decoded,roundtrip,flags | 857345e81c3bba6a |
| bpe-vocabulary/hashed        | DIVERGENT  | parts differ: ranks,tokenizer_json,identity,ids; agree: decoded,roundtrip,flags | f3d55b77921ac5d7 |
| bpe-vocabulary/negative      | DIVERGENT  | parts differ: ranks,tokenizer_json,identity,ids; agree: decoded,roundtrip,flags | 65308e9ca1d8d526 |
| bpe-vocabulary/odd           | DIVERGENT  | parts differ: ranks,tokenizer_json,identity,ids; agree: decoded,roundtrip,flags | c19fef8c848b98ee |
| bpe-vocabulary/ties          | DIVERGENT  | parts differ: ranks,tokenizer_json,identity,ids; agree: decoded,roundtrip,flags | 2def182370f26f33 |
| bpe-vocabulary/wide          | DIVERGENT  | parts differ: ranks,tokenizer_json,identity,ids; agree: decoded,roundtrip,flags | 7efaaa69de56e4c7 |
| tokenized-corpus/base        | DIVERGENT  | parts differ: tokens,identity,batches,schedule; agree: flags | 3d43127d2d38d420 |
| tokenized-corpus/denormal    | DIVERGENT  | parts differ: tokens,identity,batches,schedule; agree: flags | 5a61af6f3a468606 |
| tokenized-corpus/denormal_ftz | DIVERGENT  | parts differ: tokens,identity,batches,schedule; agree: flags | 2b192830263bfdda |
| tokenized-corpus/dupes       | DIVERGENT  | parts differ: tokens,identity,batches,schedule; agree: flags | 91c5c6a33dc39eca |
| tokenized-corpus/hashed      | DIVERGENT  | parts differ: tokens,identity,batches,schedule; agree: flags | 304f365c5482ccbd |
| tokenized-corpus/negative    | DIVERGENT  | parts differ: tokens,identity,batches,schedule; agree: flags | 70c0bed9975761ef |
| tokenized-corpus/odd         | DIVERGENT  | parts differ: tokens,identity,batches,schedule; agree: flags | 3d43127d2d38d420 |
| tokenized-corpus/ties        | DIVERGENT  | parts differ: tokens,identity,batches,schedule; agree: flags | 61d466f6e0c557eb |
| tokenized-corpus/wide        | DIVERGENT  | parts differ: tokens,identity,batches,schedule; agree: flags | d0e90b1862fe7232 |
| tokenizer/base               | IDENTICAL x2 | 08b10bbc6f4b565b | 08b10bbc6f4b565b |
| tokenizer/denormal           | IDENTICAL x2 | c55a5605e8de64b8 | c55a5605e8de64b8 |
| tokenizer/denormal_ftz       | IDENTICAL x2 | 8b9f4a27b574806e | 8b9f4a27b574806e |
| tokenizer/dupes              | IDENTICAL x2 | 46adf25a7982a9a6 | 46adf25a7982a9a6 |
| tokenizer/hashed             | IDENTICAL x2 | e61f50aae6c6dbd9 | e61f50aae6c6dbd9 |
| tokenizer/negative           | IDENTICAL x2 | cd7e602ad066e3d5 | cd7e602ad066e3d5 |
| tokenizer/odd                | IDENTICAL x2 | 08b10bbc6f4b565b | 08b10bbc6f4b565b |
| tokenizer/ties               | IDENTICAL x2 | 94eb3bf4446a414a | 94eb3bf4446a414a |
| tokenizer/wide               | IDENTICAL x2 | 30fd2b8c5fdcf9e1 | 30fd2b8c5fdcf9e1 |

summary: DIVERGENT=27, IDENTICAL=9

| lane/fixture                 | column | verdict      | cpu-apple-m4     | cpu-apple-m4     |
|------------------------------|--------|--------------|------------------|------------------|
| bpe-trainer/base             | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-trainer/base             | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-trainer/base             | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| bpe-trainer/denormal         | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-trainer/denormal         | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-trainer/denormal         | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| bpe-trainer/denormal_ftz     | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-trainer/denormal_ftz     | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-trainer/denormal_ftz     | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| bpe-trainer/dupes            | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-trainer/dupes            | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-trainer/dupes            | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| bpe-trainer/hashed           | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-trainer/hashed           | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-trainer/hashed           | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| bpe-trainer/negative         | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-trainer/negative         | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-trainer/negative         | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| bpe-trainer/odd              | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-trainer/odd              | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-trainer/odd              | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| bpe-trainer/ties             | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-trainer/ties             | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-trainer/ties             | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| bpe-trainer/wide             | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-trainer/wide             | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-trainer/wide             | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| bpe-vocabulary/base          | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-vocabulary/base          | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-vocabulary/base          | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| bpe-vocabulary/denormal      | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-vocabulary/denormal      | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-vocabulary/denormal      | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| bpe-vocabulary/denormal_ftz  | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-vocabulary/denormal_ftz  | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-vocabulary/denormal_ftz  | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| bpe-vocabulary/dupes         | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-vocabulary/dupes         | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-vocabulary/dupes         | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| bpe-vocabulary/hashed        | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-vocabulary/hashed        | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-vocabulary/hashed        | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| bpe-vocabulary/negative      | infer  | N/A          | n/a:function     | n/a:function     |
| bpe-vocabulary/negative      | model  | N/A          | n/a:no-save      | n/a:no-save      |
| bpe-vocabulary/negative      | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
