use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/amd/par-cd.json: class amd, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/amd/par-cholesky.json: class amd, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/amd/par-dbscan.json: class amd, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/amd/par-gmm.json: class amd, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/amd/par-gp.json: class amd, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/amd/par-graph-agglomerative.json: class amd, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/amd/par-hdbscan.json: class amd, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/amd/par-iforest.json: class amd, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/amd/par-kernel-ridge.json: class amd, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/amd/par-kmeans.json: class amd, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/amd/par-nystroem.json: class amd, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/amd/par-resample.json: class amd, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/apple/par-cd.json: class apple, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/apple/par-cholesky.json: class apple, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/apple/par-dbscan.json: class apple, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/apple/par-gmm.json: class apple, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/apple/par-gp.json: class apple, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/apple/par-graph-agglomerative.json: class apple, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/apple/par-hdbscan.json: class apple, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/apple/par-iforest.json: class apple, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/apple/par-kernel-ridge.json: class apple, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/apple/par-kmeans.json: class apple, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/apple/par-nystroem.json: class apple, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/apple/par-resample.json: class apple, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/nvidia/par-cd.json: class nvidia, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/nvidia/par-cholesky.json: class nvidia, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/nvidia/par-dbscan.json: class nvidia, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/nvidia/par-gmm.json: class nvidia, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/nvidia/par-gp.json: class nvidia, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/nvidia/par-graph-agglomerative.json: class nvidia, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/nvidia/par-hdbscan.json: class nvidia, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/nvidia/par-iforest.json: class nvidia, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/nvidia/par-kernel-ridge.json: class nvidia, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/nvidia/par-kmeans.json: class nvidia, commit 4e1828f90, 36 cell parts
use  /Users/andrewhendel/mojolearn-wt/parallel-verification/bench/results/identity_break/2026-09-18_parallel-reference-gaps/nvidia/par-nystroem.json: class nvidia, commit 4e1828f90, 36 cell parts
