NOTE: column nvidia-nvidia-geforce-rtx-4090-sm_89 is INCOMPLETE (the run was killed); lanes after the last one written are absent, not clean
NOTE: column nvidia-nvidia-geforce-rtx-4090-sm_89 is INCOMPLETE (the run was killed); lanes after the last one written are absent, not clean
| lane/fixture                 | verdict    | nvidia-nvidia-geforce-rtx-4090-sm_89 | nvidia-nvidia-geforce-rtx-4090-sm_89 |
|------------------------------|------------|------------------|------------------|
| par-border-types/base        | IDENTICAL x2 | 10ef01c731a66a06 | 10ef01c731a66a06 |
| par-border-types/denormal    | IDENTICAL x2 | 10ef01c731a66a06 | 10ef01c731a66a06 |
| par-border-types/denormal_ftz | IDENTICAL x2 | 10ef01c731a66a06 | 10ef01c731a66a06 |
| par-border-types/dupes       | IDENTICAL x2 | cbcef08fd74fc613 | cbcef08fd74fc613 |
| par-border-types/hashed      | IDENTICAL x2 | 7f756ddfe38a2ebe | 7f756ddfe38a2ebe |
| par-border-types/negative    | IDENTICAL x2 | d638f3adaf1d0bb8 | d638f3adaf1d0bb8 |
| par-border-types/odd         | IDENTICAL x2 | c24d55c7434cf391 | c24d55c7434cf391 |
| par-border-types/ties        | IDENTICAL x2 | a7eca40195af6ded | a7eca40195af6ded |
| par-border-types/wide        | IDENTICAL x2 | 85cc9ad0a84c9aec | 85cc9ad0a84c9aec |
| par-forecast-arima/base      | IDENTICAL x2 | a44b54d65768bf5e | a44b54d65768bf5e |
| par-forecast-arima/denormal  | IDENTICAL x2 | a07e96734bdd4228 | a07e96734bdd4228 |
| par-forecast-arima/denormal_ftz | IDENTICAL x2 | a07e96734bdd4228 | a07e96734bdd4228 |
| par-forecast-arima/dupes     | IDENTICAL x2 | a44b54d65768bf5e | a44b54d65768bf5e |
| par-forecast-arima/hashed    | IDENTICAL x2 | 9e1a5684478a1da9 | 9e1a5684478a1da9 |
| par-forecast-arima/negative  | IDENTICAL x2 | 0682211121cf732a | 0682211121cf732a |
| par-forecast-arima/odd       | IDENTICAL x2 | ff437787c18ef5c5 | ff437787c18ef5c5 |
| par-forecast-arima/ties      | IDENTICAL x2 | 8d68e00817197a31 | 8d68e00817197a31 |
| par-forecast-arima/wide      | IDENTICAL x2 | 22d66d253aa30eaa | 22d66d253aa30eaa |
| par-forecast-holtwinters/base | IDENTICAL x2 | 5e8ffa04d8c2fb3d | 5e8ffa04d8c2fb3d |
| par-forecast-holtwinters/denormal | ONE-COLUMN | 61084170fa566d6f | (not run)        |
| par-forecast-holtwinters/denormal_ftz | ONE-COLUMN | 61084170fa566d6f | (not run)        |
| par-forecast-holtwinters/dupes | ONE-COLUMN | 5e8ffa04d8c2fb3d | (not run)        |
| par-forecast-holtwinters/hashed | IDENTICAL x2 | a6b51ab4b2179bd4 | a6b51ab4b2179bd4 |
| par-forecast-holtwinters/negative | ONE-COLUMN | ecbbbcfd88aa3baa | (not run)        |
| par-forecast-holtwinters/odd | ONE-COLUMN | 9109112cb670e19d | (not run)        |
| par-forecast-holtwinters/ties | IDENTICAL x2 | e3926af4c3fcb55a | e3926af4c3fcb55a |
| par-forecast-holtwinters/wide | ONE-COLUMN | 84779b08ee76181f | (not run)        |
| par-gpc-fit/base             | ONE-COLUMN | 53f3a09fc600d61d | (not run)        |
| par-gpc-fit/hashed           | ONE-COLUMN | 04ea8fda33a7b3dc | (not run)        |
| par-gpc-fit/ties             | ONE-COLUMN | f7640639a72e6940 | (not run)        |
| par-ivf/base                 | ONE-COLUMN | 82ac27da71d34ea9 | (not run)        |
| par-ivf/denormal             | ONE-COLUMN | 4e3aa53b96708090 | (not run)        |
| par-ivf/denormal_ftz         | ONE-COLUMN | 4e3aa53b96708090 | (not run)        |
| par-ivf/dupes                | ONE-COLUMN | 5f192f5e269eccfd | (not run)        |
| par-ivf/hashed               | ONE-COLUMN | 10ba4e138bc9450c | (not run)        |
| par-ivf/negative             | ONE-COLUMN | bfb587574d151b90 | (not run)        |
| par-ivf/odd                  | ONE-COLUMN | fdeb7028fa3d4458 | (not run)        |
| par-ivf/ties                 | ONE-COLUMN | 1f1a8383ed41ed53 | (not run)        |
| par-ivf/wide                 | ONE-COLUMN | 58e21feb2047a65f | (not run)        |
| par-ordered/base             | IDENTICAL x2 | 0e73adb47576ba74 | 0e73adb47576ba74 |
| par-ordered/denormal         | IDENTICAL x2 | 0e73adb47576ba74 | 0e73adb47576ba74 |
| par-ordered/denormal_ftz     | IDENTICAL x2 | 0e73adb47576ba74 | 0e73adb47576ba74 |
| par-ordered/dupes            | IDENTICAL x2 | d6c73836e3381dd4 | d6c73836e3381dd4 |
| par-ordered/hashed           | IDENTICAL x2 | 457ba1962b5ee0f3 | 457ba1962b5ee0f3 |
| par-ordered/negative         | IDENTICAL x2 | ba631525958c6163 | ba631525958c6163 |
| par-ordered/odd              | IDENTICAL x2 | ff7a264740642731 | ff7a264740642731 |
| par-ordered/ties             | IDENTICAL x2 | b08dd75a1fd4de8a | b08dd75a1fd4de8a |
| par-ordered/wide             | IDENTICAL x2 | c143f163f1e23772 | c143f163f1e23772 |

summary: IDENTICAL=30, ONE-COLUMN=18

| lane/fixture                 | column | verdict      | nvidia-nvidia-geforce-rtx-4090-sm_89 | nvidia-nvidia-geforce-rtx-4090-sm_89 |
|------------------------------|--------|--------------|------------------|------------------|
| par-border-types/base        | infer  | IDENTICAL x2 | df725acd3908c4f9 | df725acd3908c4f9 |
| par-border-types/base        | model  | IDENTICAL x2 | 4499afe4e3ed96be | 4499afe4e3ed96be |
| par-border-types/base        | batch  | IDENTICAL x2 | deba437782731acd | deba437782731acd |
| par-border-types/denormal    | infer  | IDENTICAL x2 | df725acd3908c4f9 | df725acd3908c4f9 |
| par-border-types/denormal    | model  | IDENTICAL x2 | 5375b98ac5eca8d2 | 5375b98ac5eca8d2 |
| par-border-types/denormal    | batch  | IDENTICAL x2 | deba437782731acd | deba437782731acd |
| par-border-types/denormal_ftz | infer  | IDENTICAL x2 | df725acd3908c4f9 | df725acd3908c4f9 |
| par-border-types/denormal_ftz | model  | IDENTICAL x2 | 5375b98ac5eca8d2 | 5375b98ac5eca8d2 |
| par-border-types/denormal_ftz | batch  | IDENTICAL x2 | deba437782731acd | deba437782731acd |
| par-border-types/dupes       | infer  | IDENTICAL x2 | fd23741816d7611d | fd23741816d7611d |
| par-border-types/dupes       | model  | IDENTICAL x2 | e4178a57a728a449 | e4178a57a728a449 |
| par-border-types/dupes       | batch  | IDENTICAL x2 | eaf5c67e384055c5 | eaf5c67e384055c5 |
| par-border-types/hashed      | infer  | IDENTICAL x2 | 74e7fcf52b8b2c4a | 74e7fcf52b8b2c4a |
| par-border-types/hashed      | model  | IDENTICAL x2 | 6d959300597b3068 | 6d959300597b3068 |
| par-border-types/hashed      | batch  | IDENTICAL x2 | 34cb9dc84217d641 | 34cb9dc84217d641 |
| par-border-types/negative    | infer  | IDENTICAL x2 | 922b88f982e8dfe9 | 922b88f982e8dfe9 |
| par-border-types/negative    | model  | IDENTICAL x2 | 846dc3e9b49543c0 | 846dc3e9b49543c0 |
| par-border-types/negative    | batch  | IDENTICAL x2 | 58c475080fa02b79 | 58c475080fa02b79 |
| par-border-types/odd         | infer  | IDENTICAL x2 | f78a6ffb8b9c4a27 | f78a6ffb8b9c4a27 |
| par-border-types/odd         | model  | IDENTICAL x2 | eab81b63a3e306ab | eab81b63a3e306ab |
| par-border-types/odd         | batch  | IDENTICAL x2 | a24f8fe40fa919ba | a24f8fe40fa919ba |
| par-border-types/ties        | infer  | IDENTICAL x2 | 8ee7f9352fb63cc0 | 8ee7f9352fb63cc0 |
| par-border-types/ties        | model  | IDENTICAL x2 | 7e32a31d0097a69c | 7e32a31d0097a69c |
| par-border-types/ties        | batch  | IDENTICAL x2 | 355457a0a246a2a1 | 355457a0a246a2a1 |
| par-border-types/wide        | infer  | IDENTICAL x2 | a8c4137b0a3660e2 | a8c4137b0a3660e2 |
| par-border-types/wide        | model  | IDENTICAL x2 | 76527f36b20dab4a | 76527f36b20dab4a |
| par-border-types/wide        | batch  | IDENTICAL x2 | 49c82a3106bba3a6 | 49c82a3106bba3a6 |
| par-forecast-arima/base      | infer  | IDENTICAL x2 | 9f76be0396a666ca | 9f76be0396a666ca |
| par-forecast-arima/base      | model  | IDENTICAL x2 | 6ae822845884aedf | 6ae822845884aedf |
| par-forecast-arima/base      | batch  | IDENTICAL x2 | ec97b45a1c88081b | ec97b45a1c88081b |
| par-forecast-arima/denormal  | infer  | IDENTICAL x2 | aab930a9e876ec1e | aab930a9e876ec1e |
| par-forecast-arima/denormal  | model  | IDENTICAL x2 | b1397e7ed5a747b5 | b1397e7ed5a747b5 |
| par-forecast-arima/denormal  | batch  | IDENTICAL x2 | 251c7a81a0fec8ce | 251c7a81a0fec8ce |
| par-forecast-arima/denormal_ftz | infer  | IDENTICAL x2 | aab930a9e876ec1e | aab930a9e876ec1e |
| par-forecast-arima/denormal_ftz | model  | IDENTICAL x2 | 87b2ac97204e1a6e | 87b2ac97204e1a6e |
| par-forecast-arima/denormal_ftz | batch  | IDENTICAL x2 | 251c7a81a0fec8ce | 251c7a81a0fec8ce |
| par-forecast-arima/dupes     | infer  | IDENTICAL x2 | 9f76be0396a666ca | 9f76be0396a666ca |
| par-forecast-arima/dupes     | model  | IDENTICAL x2 | 6ae822845884aedf | 6ae822845884aedf |
| par-forecast-arima/dupes     | batch  | IDENTICAL x2 | ec97b45a1c88081b | ec97b45a1c88081b |
| par-forecast-arima/hashed    | infer  | IDENTICAL x2 | 06461dad67cfb784 | 06461dad67cfb784 |
| par-forecast-arima/hashed    | model  | IDENTICAL x2 | 913af384ea04d543 | 913af384ea04d543 |
| par-forecast-arima/hashed    | batch  | IDENTICAL x2 | 331526a2ec20a264 | 331526a2ec20a264 |
| par-forecast-arima/negative  | infer  | IDENTICAL x2 | 4e0defb4e0feb99f | 4e0defb4e0feb99f |
| par-forecast-arima/negative  | model  | IDENTICAL x2 | d3fa0fbbec979263 | d3fa0fbbec979263 |
| par-forecast-arima/negative  | batch  | IDENTICAL x2 | ce5a5438ad2aff04 | ce5a5438ad2aff04 |
| par-forecast-arima/odd       | infer  | IDENTICAL x2 | 4aa662dbcc728e65 | 4aa662dbcc728e65 |
| par-forecast-arima/odd       | model  | IDENTICAL x2 | 859442a49f63a8d0 | 859442a49f63a8d0 |
| par-forecast-arima/odd       | batch  | IDENTICAL x2 | aa9de9b88df728f4 | aa9de9b88df728f4 |
