dataset	k	rows	arm	median_ms	min_ms	max_ms	spread_rounds	spread_calls	gate	paired_ratio	digests
istella	1	4000	base	42.680	39.025	43.511	1.012	1.115	ok	1.0000	equal
istella	1	4000	final	34.896	34.860	35.699	1.010	1.024	ok	0.8190	equal
istella	1	1	base	8.034	7.027	8.188	1.155	1.165	u	1.0000	equal
istella	1	1	final	1.485	1.463	1.724	1.163	1.178	u	0.2094	equal
istella	10	4000	base	53.476	52.839	55.205	1.007	1.045	ok	1.0000	equal
istella	10	4000	final	45.614	45.411	48.374	1.019	1.065	ok	0.8557	equal
istella	10	1	base	8.203	7.215	8.280	1.147	1.148	u	1.0000	equal
istella	10	1	final	1.642	1.623	1.848	1.127	1.139	u	0.2015	equal
istella	32	4000	base	72.263	71.133	73.959	1.024	1.040	ok	1.0000	equal
istella	32	4000	final	55.544	54.824	56.232	1.012	1.026	ok	0.7654	equal
istella	32	1	base	8.554	7.281	9.890	1.019	1.358	ok	1.0000	equal
istella	32	1	final	3.814	1.577	5.198	1.154	3.297	u	0.4473	equal
istella	64	4000	base	124.441	121.894	127.446	1.017	1.046	ok	1.0000	equal
istella	64	4000	final	55.949	53.795	59.222	1.027	1.101	ok	0.4532	equal
istella	64	1	base	9.474	9.426	13.140	1.314	1.394	u	1.0000	equal
istella	64	1	final	1.590	1.570	5.255	1.763	3.347	u	0.1678	equal
taxi	1	4000	base	12.068	12.006	13.321	1.013	1.110	ok	1.0000	equal
taxi	1	4000	final	11.497	11.458	12.003	1.003	1.048	ok	0.9526	equal
taxi	1	1	base	1.612	1.590	5.264	3.254	3.310	u	1.0000	equal
taxi	1	1	final	0.946	0.923	0.963	1.023	1.044	ok	0.5867	equal
taxi	10	4000	base	24.957	23.599	150.445	1.512	6.375	u	1.0000	equal
taxi	10	4000	final	23.639	23.045	23.989	1.005	1.041	ok	0.9429	equal
taxi	10	1	base	1.794	1.722	5.634	3.141	3.272	u	1.0000	equal
taxi	10	1	final	1.137	1.122	1.180	1.016	1.052	ok	0.6269	equal
taxi	32	4000	base	54.531	53.298	62.613	1.121	1.175	u	1.0000	equal
taxi	32	4000	final	35.496	34.704	36.584	1.024	1.054	ok	0.6508	equal
taxi	32	1	base	2.441	2.428	8.763	1.066	3.608	ok	1.0000	equal
taxi	32	1	final	1.269	1.246	7.674	2.598	6.158	u	0.5170	equal
taxi	64	4000	base	94.057	92.273	107.932	1.059	1.170	ok	1.0000	equal
taxi	64	4000	final	36.215	33.982	41.692	1.013	1.227	ok	0.3838	equal
taxi	64	1	base	3.467	3.442	19.959	2.228	5.798	u	1.0000	equal
taxi	64	1	final	1.149	1.130	3.695	1.845	3.270	u	0.3294	equal
