lane	mode	round	seconds	hash
cd	FAST	1	0.088021	3bc909a47ebc9bda
cd	IDENTICAL	1	0.111067	3cb298860e514e8a
cd	FAST	2	0.088869	3bc909a47ebc9bda
cd	IDENTICAL	2	0.110785	3cb298860e514e8a
cd	FAST	3	0.088959	3bc909a47ebc9bda
cd	IDENTICAL	3	0.111057	3cb298860e514e8a
cd	FAST	4	0.088924	3bc909a47ebc9bda
cd	IDENTICAL	4	0.103952	3cb298860e514e8a
cd	FAST	5	0.096862	3bc909a47ebc9bda
cd	IDENTICAL	5	0.110954	3cb298860e514e8a
kde	FAST	1	0.01695	110eb573543dcc0f
kde	IDENTICAL	1	0.023967	3719b9e6a55377a7
kde	FAST	2	0.016021	110eb573543dcc0f
kde	IDENTICAL	2	0.023949	3719b9e6a55377a7
kde	FAST	3	0.022961	110eb573543dcc0f
kde	IDENTICAL	3	0.017001	3719b9e6a55377a7
kde	FAST	4	0.017073	110eb573543dcc0f
kde	IDENTICAL	4	0.015961	3719b9e6a55377a7
kde	FAST	5	0.015896	110eb573543dcc0f
kde	IDENTICAL	5	0.016983	3719b9e6a55377a7
linkage	FAST	1	0.255975	5d3155fc940e61d2
linkage	IDENTICAL	1	0.239029	5d3155fc940e61d2
linkage	FAST	2	0.247208	5d3155fc940e61d2
linkage	IDENTICAL	2	0.239874	5d3155fc940e61d2
linkage	FAST	3	0.261907	5d3155fc940e61d2
linkage	IDENTICAL	3	0.263226	5d3155fc940e61d2
linkage	FAST	4	0.240003	5d3155fc940e61d2
linkage	IDENTICAL	4	0.243948	5d3155fc940e61d2
linkage	FAST	5	0.263947	5d3155fc940e61d2
linkage	IDENTICAL	5	0.246982	5d3155fc940e61d2
svm	FAST	1	0.384048	2def386e7266a86a
svm	IDENTICAL	1	0.383968	9bec403e03e1a2cc
svm	FAST	2	0.360926	2def386e7266a86a
svm	IDENTICAL	2	0.383992	9bec403e03e1a2cc
svm	FAST	3	0.403087	2def386e7266a86a
svm	IDENTICAL	3	0.376792	9bec403e03e1a2cc
svm	FAST	4	0.392864	2def386e7266a86a
svm	IDENTICAL	4	0.392991	9bec403e03e1a2cc
svm	FAST	5	0.367903	2def386e7266a86a
svm	IDENTICAL	5	0.367858	9bec403e03e1a2cc
metrics	FAST	1	0.216003	b4955292d4bc678f
metrics	IDENTICAL	1	0.216011	2321a95d3439fc2b
metrics	FAST	2	0.216961	b4955292d4bc678f
metrics	IDENTICAL	2	0.217946	2321a95d3439fc2b
metrics	FAST	3	0.215961	b4955292d4bc678f
metrics	IDENTICAL	3	0.225146	2321a95d3439fc2b
metrics	FAST	4	0.22193	b4955292d4bc678f
metrics	IDENTICAL	4	0.22497	2321a95d3439fc2b
metrics	FAST	5	0.208944	b4955292d4bc678f
metrics	IDENTICAL	5	0.200985	2321a95d3439fc2b
gemm	FAST	1	0.009207	79adfe2dd5bd57e6
gemm	IDENTICAL	1	0.009574	79adfe2dd5bd57e6
gemm	FAST	2	0.008524	79adfe2dd5bd57e6
gemm	IDENTICAL	2	0.007693	79adfe2dd5bd57e6
gemm	FAST	3	0.010242	79adfe2dd5bd57e6
gemm	IDENTICAL	3	0.008038	79adfe2dd5bd57e6
gemm	FAST	4	0.00813	79adfe2dd5bd57e6
gemm	IDENTICAL	4	0.008865	79adfe2dd5bd57e6
gemm	FAST	5	0.010221	79adfe2dd5bd57e6
gemm	IDENTICAL	5	0.008046	79adfe2dd5bd57e6
