lane	mode	round	seconds	hash
kmeans	FAST	1	0.042985	eeea38872c935b98
kmeans	IDENTICAL	1	0.088036	eeea38872c935b98
kmeans	FAST	2	0.046084	eeea38872c935b98
kmeans	IDENTICAL	2	0.07804	eeea38872c935b98
kmeans	FAST	3	0.052966	eeea38872c935b98
kmeans	IDENTICAL	3	0.077985	eeea38872c935b98
kmeans	FAST	4	0.053094	eeea38872c935b98
kmeans	IDENTICAL	4	0.084983	eeea38872c935b98
kmeans	FAST	5	0.046043	eeea38872c935b98
kmeans	IDENTICAL	5	0.069958	eeea38872c935b98
knn	FAST	1	0.054365	d4d997ffd732063f
knn	IDENTICAL	1	0.111508	4c6f4a612b096067
knn	FAST	2	0.046221	5872ebf6fc897bf7
knn	IDENTICAL	2	0.119505	4c6f4a612b096067
knn	FAST	3	0.043481	7e7de8550b4a254f
knn	IDENTICAL	3	0.119407	4c6f4a612b096067
knn	FAST	4	0.039413	1bc952079c27a037
knn	IDENTICAL	4	0.091413	4c6f4a612b096067
knn	FAST	5	0.043465	88e24047e1c20263
knn	IDENTICAL	5	0.104463	4c6f4a612b096067
dbscan	FAST	1	0.493408	a9223881fb236c77
dbscan	IDENTICAL	1	0.661982	a9223881fb236c77
dbscan	FAST	2	0.493828	a9223881fb236c77
dbscan	IDENTICAL	2	0.661336	a9223881fb236c77
dbscan	FAST	3	0.52576	a9223881fb236c77
dbscan	IDENTICAL	3	0.661309	a9223881fb236c77
dbscan	FAST	4	0.540356	a9223881fb236c77
dbscan	IDENTICAL	4	0.676216	a9223881fb236c77
dbscan	FAST	5	0.445764	a9223881fb236c77
dbscan	IDENTICAL	5	0.669745	a9223881fb236c77
gram	FAST	1	0.034056	5a92d6b3f1a681ab
gram	IDENTICAL	1	0.033952	0e9de1a0121f721a
gram	FAST	2	0.03393	5a92d6b3f1a681ab
gram	IDENTICAL	2	0.033963	0e9de1a0121f721a
gram	FAST	3	0.033995	5a92d6b3f1a681ab
gram	IDENTICAL	3	0.034016	0e9de1a0121f721a
gram	FAST	4	0.033979	5a92d6b3f1a681ab
gram	IDENTICAL	4	0.024693	0e9de1a0121f721a
gram	FAST	5	0.033978	5a92d6b3f1a681ab
gram	IDENTICAL	5	0.03389	0e9de1a0121f721a
nt	FAST	1	0.009358	5c68413208583222
nt	IDENTICAL	1	0.009776	5c68413208583222
nt	FAST	2	0.007347	5c68413208583222
nt	IDENTICAL	2	0.008635	5c68413208583222
nt	FAST	3	0.009362	5c68413208583222
nt	IDENTICAL	3	0.008611	5c68413208583222
nt	FAST	4	0.008309	5c68413208583222
nt	IDENTICAL	4	0.009903	5c68413208583222
nt	FAST	5	0.00918	5c68413208583222
nt	IDENTICAL	5	0.008656	5c68413208583222
gemv	FAST	1	0.001003	c672e0ac7ed6697f
gemv	IDENTICAL	1	0.007918	a0d44fa8c1343b19
gemv	FAST	2	0.006934	c672e0ac7ed6697f
gemv	IDENTICAL	2	0.007051	a0d44fa8c1343b19
gemv	FAST	3	0.006879	c672e0ac7ed6697f
gemv	IDENTICAL	3	0.007057	a0d44fa8c1343b19
gemv	FAST	4	0.006988	c672e0ac7ed6697f
gemv	IDENTICAL	4	0.006981	a0d44fa8c1343b19
gemv	FAST	5	0.006879	c672e0ac7ed6697f
gemv	IDENTICAL	5	0.006986	a0d44fa8c1343b19
