lane	mode	round	seconds	hash
kmeans	FAST	1	0.046096169	caa59e8ae153607e
kmeans	IDENTICAL	1	0.050556214	caa59e8ae153607e
kmeans	FAST	2	0.046304201	caa59e8ae153607e
kmeans	IDENTICAL	2	0.050513482	caa59e8ae153607e
kmeans	FAST	3	0.046379536	caa59e8ae153607e
kmeans	IDENTICAL	3	0.050510236	caa59e8ae153607e
knn	FAST	1	0.401144886	50af8d38dde12841
knn	IDENTICAL	1	0.065963653	ace2883778a10918
knn	FAST	2	0.388454434	c5525b622c5b3cf9
knn	IDENTICAL	2	0.065989672	ace2883778a10918
knn	FAST	3	0.387237404	b1844f20810fccc1
knn	IDENTICAL	3	0.065007962	ace2883778a10918
dbscan	FAST	1	0.292626636	ba4efce5899d8900
dbscan	IDENTICAL	1	0.282571824	ba4efce5899d8900
dbscan	FAST	2	0.292278408	ba4efce5899d8900
dbscan	IDENTICAL	2	0.282735801	ba4efce5899d8900
dbscan	FAST	3	0.292568042	ba4efce5899d8900
dbscan	IDENTICAL	3	0.28245803	ba4efce5899d8900
gram	FAST	1	0.380324969	76f85725740a26b3
gram	IDENTICAL	1	0.002693847	33eca610f6f32a1c
gram	FAST	2	0.387049838	76f85725740a26b3
gram	IDENTICAL	2	0.002695749	33eca610f6f32a1c
gram	FAST	3	0.378103982	76f85725740a26b3
gram	IDENTICAL	3	0.002690598	33eca610f6f32a1c
nt	FAST	1	0.401252817	bf48d23d15b01a74
nt	IDENTICAL	1	0.000975189	bf48d23d15b01a74
nt	FAST	2	0.389024354	bf48d23d15b01a74
nt	IDENTICAL	2	0.001036628	bf48d23d15b01a74
nt	FAST	3	0.392151259	bf48d23d15b01a74
nt	IDENTICAL	3	0.000973958	bf48d23d15b01a74
gemv	FAST	1	0.000518654	85c2a07bf282e0a5
gemv	IDENTICAL	1	0.001129367	d93b9dc2340c96a4
gemv	FAST	2	0.000500034	85c2a07bf282e0a5
gemv	IDENTICAL	2	0.001137687	d93b9dc2340c96a4
gemv	FAST	3	0.000513604	85c2a07bf282e0a5
gemv	IDENTICAL	3	0.001115017	d93b9dc2340c96a4
gbdt	FAST	1	0.820197879	9277198f24f4a26f
gbdt	IDENTICAL	1	0.632653024	f8ccfb0d67e1674b
gbdt	FAST	2	0.81076393	9277198f24f4a26f
gbdt	IDENTICAL	2	0.631376082	f8ccfb0d67e1674b
gbdt	FAST	3	0.81497252	9277198f24f4a26f
gbdt	IDENTICAL	3	0.626514394	f8ccfb0d67e1674b
rf	FAST	1	0.61182213	32314ca1c01ab68f
rf	IDENTICAL	1	0.613500366	f6605d229455c942
rf	FAST	2	0.611350457	32314ca1c01ab68f
rf	IDENTICAL	2	0.612243139	f6605d229455c942
rf	FAST	3	0.613271436	32314ca1c01ab68f
rf	IDENTICAL	3	0.613482878	f6605d229455c942
et	FAST	1	3.2668249	f6cec505b824d346
et	IDENTICAL	1	3.256973391	f6cec505b824d346
et	FAST	2	3.255184068	f6cec505b824d346
et	IDENTICAL	2	3.269336728	f6cec505b824d346
et	FAST	3	3.27515889	f6cec505b824d346
et	IDENTICAL	3	3.266299646	f6cec505b824d346
