step	lr_f32_hex	loss_mean	seconds	hash_seconds	state_sha256	gradient_sha256	losses_sha256_16	hash_scheme	label
1	36210fb0	10.950774	32.852	6.851	c0aecdc11b2205fb16a16e0c64d34f243cc25e1ddc6b1c9e32b2e26a0ce59174	0b7ff121dc4759035c072eb5e57ab59059c1bc0a48cb4899b73bf7933a8f28c1	4402c83f37d3e587	sliced-sha256-8.v2	nvidia-A-1
2	36a10fb0	10.924198	19.519	7.880	6d017e7659166d9f8e08e06cd0be0964c40c10f3bea2a4e7c30b90786e757468	009593e3674896e4576a2254ea292344ab4a4abd9801d2b637cddeb6462047d3	a603a09b1f531442	sliced-sha256-8.v2	nvidia-A-1
3	36f19787	10.860572	19.482	6.807	8a34229ccb81be8628762d997d8792cf72a788e0205386212bcea17db0cb286a	5917bdd4f83b65027574c01ebaa08338bb0333a47740141d72bb490424cc01c8	7685208144a0817b	sliced-sha256-8.v2	nvidia-A-1
4	37210fb0	10.764768	19.497	6.688	d08896cfa2ec6c14162a0b02363676b91df1cb77c853304a64acb8109bca7f17	36d8a27c1821b646c1e55fd0efa9593db0e5e9c785f805a8eb6d926b6ef2fb6f	e5b8cb23ef352a02	sliced-sha256-8.v2	nvidia-A-1
5	3749539c	10.669936	19.491	6.471	4048a07157dae6a389f5d73f5e6e816d6a7de764e934322b16f54c1b55694f8c	998e0d89d27ba3876ebf27f7db7d05f7b00083318007e6007c002bbe120f4d07	aa5cfe29ff1f2e88	sliced-sha256-8.v2	nvidia-A-1
6	37719787	10.516347	19.486	7.026	72c35480f1e37075a4bc9a2ea913b274f1370e6036faab00e24cfe3324c82619	92bba37415a738cc02f6a9fd829d4539a29021fd79137d2792911fbaa026b413	6d88d4ed6074a764	sliced-sha256-8.v2	nvidia-A-1
7	378cedba	10.360834	19.498	6.675	e666ea9164b6b30bbfd94f48fe25a6265739088845339e474b644c9f18a50c14	4210fa9b4165c82c23df1801b7da4bb9f97c7cedbab326f8885c57c36a95ada8	ac7390d79f0b2492	sliced-sha256-8.v2	nvidia-A-1
8	37a10fb0	10.179967	19.484	6.611	a46498d6c2f142a7ded7f2eb0f821fd44ac0bc5c8ee2de538bc65cc4c725ae02	31e6475ee4cfdc93fe9ae1f27bb5b56c8d98d2b5d2732ef9de9720524d129aa1	4eaab71893fd2601	sliced-sha256-8.v2	nvidia-A-1
9	37b531a6	9.966893	19.486	7.018	f7727e2e508a95f1fd7bf96218d8700db4fafcd5a1ef0e5febf76209fe5ec4d1	bd5f6e950a13240a056f881a10d9fa0c06260d79bebe0e0b207393bf837257e7	c82463a74694e11a	sliced-sha256-8.v2	nvidia-A-1
10	37c9539c	9.738619	19.494	6.671	a1d81e12fdf06d5bf21988d253ba4c130e90c24125955d73f3cd854f0f05e146	28c616fc6cf283f32a40446b5934e44277c2085d029362aa59fa061bd83529ce	6421ef0e26f285bf	sliced-sha256-8.v2	nvidia-A-1
11	37dd7591	9.634976	19.487	6.602	a25b7cc780df40a5f072c59cbd4524e0cb05d575c143a26cced2f440b75b7193	c3b2a38406625cd7532bc4faad0021380440aa3f2a5abb189abd778736e693a1	ad96ea11f7c6a3e6	sliced-sha256-8.v2	nvidia-A-1
12	37f19787	9.590021	19.485	6.531	6906f15cedd68cd6e9b3c5d9dc601e8f4dc91b6d5ccd7db9882ee4010981ae8e	7f880ca76b7ed09d36899fd29b7fa3176525185cf83f68ef018a5abc7e8e5016	6ebf7dce72df7868	sliced-sha256-8.v2	nvidia-A-1
13	3802dcbf	9.436721	19.484	7.246	a686171b53a9a52469f6f5f0ec86e07eed0f4ddefc345604269a568dda084b7b	de803de854b2c44a11045995ab544b20bcfa8f20bc2e315fc9854f4a1d76c487	5a8dba6f2a6727b5	sliced-sha256-8.v2	nvidia-A-1
14	380cedba	9.368906	19.475	6.558	e1d28532dc08eb33ced4eb3513dc8223be1f1c5a2a73fe30193659b9a6c79681	c1a302cea0c259c00022ff4a89f6279bf143f18cf2928bdfba7067c9a6828387	321aa618334c799c	sliced-sha256-8.v2	nvidia-A-1
15	3816feb5	9.299326	19.492	6.542	f69966189311463ee2639f812d477084cea2692f8887d623aca21f275d9735a0	9cc2f41846e966593cb584dd99523282fc52e6e445999a778403f23939997d15	85816fe1d596fda1	sliced-sha256-8.v2	nvidia-A-1
16	38210fb0	9.245916	19.485	6.592	6bbdd128d035008cd2a5b2ef55a70e8ae82bceef96317a868d2aa514fe1b3685	a165e598cd6a3aaeb3a554b87ca637dd68dbf5d99d5670873d7ba066d5909a69	45c005a82bb84197	sliced-sha256-8.v2	nvidia-A-1
17	382b20ab	9.107135	19.475	6.630	eb69abb41b12627f78ba663848fc1b71fc6431191e12e3964d45528daf9d05bb	d692eeadb3566bd4d81df4197e12b5eae4ee231117a07db6f1f39eb6820cc6a1	d6f80a37ad5dbb87	sliced-sha256-8.v2	nvidia-A-1
18	383531a6	9.080238	19.487	6.583	ac675e2e748a3f21dfa40446fd645d2c836efc4ff622864c91173cffccfb2393	f361ba90d2b4b032bb8e711cf2dfd4768c04bd79f6bc1a7657ac2e1fd5a9717d	527cca450def3001	sliced-sha256-8.v2	nvidia-A-1
19	383f42a1	8.992551	19.489	6.692	ba8c4042a5e858a7bf61db2b6d719da9c36abf7dba28a127d0cb4a63aa4ecf6e	84f1a95bf5fc3bf0a8aca6c1917483ca8cd66192b7571c9d22e52fa4dec6e616	bf0c3c409fb42b53	sliced-sha256-8.v2	nvidia-A-1
20	3849539c	8.933879	19.506	7.180	1b8732b25cdc8f2ea763eeb91827f286810d6672fd41158e2620a874cd0b52f7	3bef3124a956e986fe638c547653bd40b52594e2828f4fda0ec87b4ca6e657b0	86d64f554440bf7c	sliced-sha256-8.v2	nvidia-A-1
21	38536497	8.837939	19.475	6.619	f687152a3a75f13300d7ca615ede2d862463803e44e303b4a474ff68cd90a586	7531130116f807d0982b7933079abdd6de71626a92a79dfcd102e267ef22b2c8	ba46990773353e83	sliced-sha256-8.v2	nvidia-A-1
22	385d7591	8.766659	19.487	6.561	4fe7dd8b0a45d4f94bb232ee5da82370cceeb9c3c7c4dc4270c6b30dbe198619	0c9fecbed756b587e4aae8e41e24c61a8973b70b6b1dec3531c2dd2970037058	b346e8c408946d0f	sliced-sha256-8.v2	nvidia-A-1
23	3867868c	8.686160	19.485	6.627	58fb8a418ae368cdefe9a2af2bb2a2175c57b58116c889d94217fabcf1fba44f	0768d2888eff8450747953d503aa833fb9d311a283c53dff2f11989008686c65	2588e1515c59fa2b	sliced-sha256-8.v2	nvidia-A-1
24	38719787	8.618403	19.476	7.119	50a7ff4b7b564affdaf938c5bde9eae1ed18accd6dfdd3d3a3ed4fa3a193c57e	83a05ca657f787fc4d02a5f7c0fdf5bd0d415cd663924330071a4af0117fc345	31386bda0332fbcb	sliced-sha256-8.v2	nvidia-A-1
25	387ba882	8.513196	19.476	6.931	5ed3dc5a87735ece166d55de5f186e45e9bb3d800b6b2758e134b8d13175403a	7fad9c7376562ad4cdde3c0c17ffaeff7a0e6b05b5777b4de79e790a5fff06dd	1d1e338eec513c81	sliced-sha256-8.v2	nvidia-A-1
26	3882dcbf	8.431491	19.487	6.545	99557350c7e3ed7111442644a2a85cd8d2fab66c1a9390aca391a9d13774ff3e	a8f209b884d6c98e8f34a16eda549843a929c7c3ed11c449ff28e407857b27c0	98a1266ff8903b65	sliced-sha256-8.v2	nvidia-A-1
27	3887e53c	8.409094	19.485	6.571	654706aec9c0708a867ce2226fb3c8baf70631a7412b22dc31aafd63a40d8771	86536d985e9d10ad45490010d71d54c4a0a351fafd8bcd5d5b2b20f5a69041d9	3b1257efc52584ab	sliced-sha256-8.v2	nvidia-A-1
28	388cedba	8.272386	19.477	6.680	a91515d84ab33f2eaa2b772e217553c7289430734ea1715ecfdc62439444573f	87a740104147e0e0d5e9ba98e2778578adc5fa1e0dbfed85d730b3895bb8e894	0e524317ebb1494a	sliced-sha256-8.v2	nvidia-A-1
29	3891f637	8.197694	19.484	6.589	d00a93aa0136a52857f45bea3983db8ab6dcd48fa23d3f7ff5e6bce16fcfbdb6	064ea7445ded8ab0ae9b2366254de3c002ace6c28b221240c8bc339bb4a12525	9981d912ff897d8b	sliced-sha256-8.v2	nvidia-A-1
30	3896feb5	8.181844	19.486	6.614	d2ca71e05afd96fa3324128bbb750a6483a34e9a90d8cb7a97dd449e88a36f91	7e8fbdced1ad93695cc10003b2dfe62078083233f432c185cd92c2baa9e462c3	c068a566d48966ae	sliced-sha256-8.v2	nvidia-A-1
31	389c0732	8.088935	19.479	6.984	f3a2e07a4b28bebee6e057dc837fde4a2ba838a4b2d79c364ffd5dca1da16efc	3c97dd2125ee2426869a8acd09b2cecedebc45abd888ce3e1c4c64a44d007b8c	9f912f8e907f8a87	sliced-sha256-8.v2	nvidia-A-1
