step	lr_f32_hex	loss_mean	seconds	hash_seconds	state_sha256	gradient_sha256	losses_sha256_16	hash_scheme	label
2001	39e5cada	3.551680	125.361	4.291	bcd044e1e53636443a86d419e7db71e220a4f795590e25f675b372a7e0a4c99d	3525cbe55afbd0bf57b17a1cb01458eebeffea97c76ec17faf9416e4732901b3	c2a25f6aca9f8d14	sliced-sha256-8.v2	nvidia-A-3
2002	39e5b4e5	3.560171	100.920	4.004	df41b87197a546352d01c460db192aa70389594dd14d033d9543a9d0a6e8c4c4	28669a3209ecc2266d40bd8a4713058ae0af6e4d4de498b8ef62e9a41375f1bb	fbe22f7b66598994	sliced-sha256-8.v2	nvidia-A-3
2003	39e59eee	3.574429	102.864	3.982	b76a43ef7a3d1d947076015729e6c8523b54eaed8f93cca968310c573d1a4122	96a3ddd252cc4ac2a75e1c07a956aaf99d88646eed1f0b99784c49c129f07151	07b99ab03db216f6	sliced-sha256-8.v2	nvidia-A-3
2004	39e588f5	3.566606	100.544	4.146	3cf81285392f4a2bb9a635b9f32d90c9315c403d6c0d9c7d2cdaa5ee5289fadb	6ac15522ca83a979adc97aa8f1f2e014c0c311e5274bcd137e12e0b81434fae7	2f8ebe374fa4a4ab	sliced-sha256-8.v2	nvidia-A-3
2005	39e572fb	3.586801	100.774	3.948	26cd4e3f3b6a9895a8ec1d0e192e01dd093d451b448f471b8d62ac38575fcbfa	50b4515852a9b78bc571d0374c2f9f20e8e0de1a2e8952341b2727aa1819d2dd	672a4de26dd52df2	sliced-sha256-8.v2	nvidia-A-3
2006	39e55cff	3.563110	101.442	3.998	ac7baf8925c61ebe666f6ef034aa1a0e469c2b9465f17841969d5a4012be81df	64945e40ef83c4f7663067e5eb487aed8d19ec04996d90cde424fa4e16389f5a	4038908fafc0dfd8	sliced-sha256-8.v2	nvidia-A-3
2007	39e54701	3.601505	100.562	3.851	d5833447af240aa9c0d0ca251dc7ee508338b17ee999a4e9e531b005f59b8dd0	c890cb03f8849dba13306c1be4af5719dbdef3ba995171b199019f23fa861da1	0582addcb4df67e6	sliced-sha256-8.v2	nvidia-A-3
2008	39e53102	3.588740	100.517	3.939	f45d241d3aaabfa2573efa60561b399b07a5f7119c3acfa430e48c1bbf57b328	67bb473fcb84a5f7184c7cc8d25047736c1f6ec0e3920960d078d76730e6f98b	1de68a4752702db9	sliced-sha256-8.v2	nvidia-A-3
2009	39e51b01	3.597144	101.847	3.887	06a679ae680c3572eadeecc03e00b71df522dc2d7233adcea035265ff79483bc	9e294ffa9c7a52c1a8d0e526be1be43434c5d6b3cf9e3314c98b844775b5e3d4	2be185df55ca068e	sliced-sha256-8.v2	nvidia-A-3
2010	39e504ff	3.625779	100.774	4.155	975799b914c62ce76ac7ce82e60cc226323d4890f5abc1bb9136100551b869f1	12a67d2120e526ff585704bd4e621e759533606462474b3d25da04ea0bd452d3	8ab675f5f010aa7c	sliced-sha256-8.v2	nvidia-A-3
2011	39e4eefb	3.626479	101.045	3.957	0b8745f61a5ca5e1c751dbd6dfc83827ec8bb754272579fc93b85c7b9b6becb7	923a33b01be9bc09b13308036ccdd2da62e11ce08436d78b06a1724070827e26	ffc3f52e16e49622	sliced-sha256-8.v2	nvidia-A-3
2012	39e4d8f6	3.576184	100.834	4.316	096a103e2667b04ec09ff88c2f143833577fc27a245a4a619218300ed771bec5	d7af5836d412663638845df2ec630edc1fe713201aa9b6d8eed4b7d6312a2c21	a7d8e39b5c96f4dc	sliced-sha256-8.v2	nvidia-A-3
2013	39e4c2ee	3.571439	102.400	3.991	f264e805e9a902cb7e16f882bad04155f8bd8cf885909eea1dad4a6e6af451c8	a949abde88598b00b11cd74b9df05fbc8792c9b4b08a1994c5a3af017180fe3f	1c94cca5e6515e5a	sliced-sha256-8.v2	nvidia-A-3
2014	39e4ace6	3.659928	102.225	4.038	634529e1a3932e938ed81c267ca222f4a0e12ec12aa960c181da2b68e9a3abcd	31005070e24cc595be50446edd650d349ab7bc9502e2e69c33179443967fabdc	ef371375b40620cc	sliced-sha256-8.v2	nvidia-A-3
2015	39e496db	3.584067	101.665	3.930	eb38034b2add0d93b25133a40795e18a4e66fba7db30cd9fdf0735b1cfed852c	d81ebdee1cd91d70bfe84a4fd0dc6fd074d2777dc91ffac95f622b3f38c9b44a	cc9bacc6a52deb87	sliced-sha256-8.v2	nvidia-A-3
2016	39e480cf	3.607457	103.367	4.034	c15f0430dcfa4794af3ae2204a716eea692074b9e051a53f13481d83433f5f51	27e82e016f279166876dff3168039b09b7c3f6fd4329029727fbfc6b9aedd165	6d4c0c795d85cbbf	sliced-sha256-8.v2	nvidia-A-3
2017	39e46ac2	3.587607	101.303	3.996	cf421d02bb860fdf511fc5e0e1b36b30789f41feaebb7fef274b5c08b54631c5	1194989993f362f520603c5c258316c9d380d04522bc9fc81183626fd5894bcd	ce090fa6d8f7370c	sliced-sha256-8.v2	nvidia-A-3
2018	39e454b3	3.587440	102.175	4.095	17ef3ce4306e4c99f4e7ccba6c130674196ae9a9ff5083a12344f181a167fc0a	4798d89cdb55b5cdc38e5999d7b880ff46ab726188be9d01e231c674249bff4e	e7c2827f4ea3239d	sliced-sha256-8.v2	nvidia-A-3
2019	39e43ea2	3.587396	100.785	4.010	d3326bd3e897553da6f1ed1c30b3d640e9b6c9ce6fec06db7a1e7134d6ecd04f	0f7ca9e215c81916b7064e908b61704852781ddad75d85ad040a204caf428123	2b8be103ed2a9dc8	sliced-sha256-8.v2	nvidia-A-3
2020	39e42890	3.546282	100.633	3.835	a4ff73cd77b5f4efe91df44696efa485818329c124d9e65300d11f8c8d5fe039	bda9f86e0ac13fee78e5f01ddb1592b5748c382da26c8fc75eca2c6f6b55ec63	52f5925b1ae5fd8b	sliced-sha256-8.v2	nvidia-A-3
2021	39e4127c	3.624750	102.493	4.001	52f7b40c65c7d9305ab238acbead3badc59495eccbe7ac1f50a0201a73a9e483	8d794d2bc5e17e11cc71ac5486e333eaac945e996014d625305fa6dbb8fe5547	a5fd6aa158201669	sliced-sha256-8.v2	nvidia-A-3
2022	39e3fc66	3.531973	100.452	4.051	2d1278aef532bd3a28c84590dd6d1dcfbfcb70db379d76b14ad8f2d91caac077	8a20e4993b3ae63f7a432fc44f36691773d44d435b278726bee4f0369ee644b8	e0011b5765a25aa9	sliced-sha256-8.v2	nvidia-A-3
2023	39e3e64f	3.606717	102.208	4.027	1342312c3b86112f1639bf07a5f1a114fdf3df04ce311105f5d9220bebdc0e13	63e765962085ba2b308f0870f6b5b60fbdd75f978e2e9e2243778733fe305a55	a116595ee353e5c6	sliced-sha256-8.v2	nvidia-A-3
2024	39e3d037	3.576970	101.549	3.948	323895b1c7b96598f0449a007777ac9c5255a066053eb341471736c9781b2c44	433b8019c7e586a2e79bbc5a466bb101fcd3bb4d5d810102b05d1c6ec621f4d7	0bbd00ed9c3605df	sliced-sha256-8.v2	nvidia-A-3
2025	39e3ba1c	3.571006	100.525	3.919	6cd6e2393a07755632d8db7625b97a6ecc52d44a6dd1966d076d343340411826	fd36739ecb24bcb8c36ccd2fddfefaa297a65ddd368bc9a8c63b4a9e6f89d5c2	f8bcfbdfb8a350f9	sliced-sha256-8.v2	nvidia-A-3
2026	39e3a401	3.506081	100.857	3.918	43b037961490a8b9f4ed900a744bd67141ef884a9f9f1f844e42d297d2f970b0	00ccfbc275e4330ee37fb5a56b02c745242a79af65bd41b35831ce6300f60e9b	7d06f094e07578bf	sliced-sha256-8.v2	nvidia-A-3
2027	39e38de3	3.514981	103.120	3.952	b54bc4284b297b3165ef43563b0f7ad4e1a5d6d05233e745861d995db14a4937	9d9da79b23b1136a6a104645fe7d318fb021efea47179452ebfb6f2064e762f7	e462f19e9bdc146a	sliced-sha256-8.v2	nvidia-A-3
2028	39e377c5	3.509418	102.509	4.036	7641688dd89bfbf1fdb13d6bb64f15d53e0896f5c323709c7275fc41576707f7	ba3b4b273a0302d9775f35a2d9bbcdf49373554670804c255da20686db64cf19	d8d8b407a0b2a2a6	sliced-sha256-8.v2	nvidia-A-3
2029	39e361a4	3.497752	101.813	4.028	0c579a41a5ae6342145fad4db3a4a304f715d70ef173c09b6ab7eb4ad3502e24	2787cdfa6ed09bb3ea794e37f85db5c1ffbea673c411239a54ac65af52e44063	37f089b11f98801f	sliced-sha256-8.v2	nvidia-A-3
2030	39e34b82	3.679607	100.708	3.909	dca42b5c5ca0f03fbc7cb8dda025299cdbcfd0a8e07c44f347e0bbd13616a5a3	92841b7e842e92735b132da71b8910797d58d150acc8049c3939f3b1e954a7df	d0bdc80f0ccb0348	sliced-sha256-8.v2	nvidia-A-3
2031	39e3355e	3.529516	102.111	3.907	8db28d01faf7710862883ed79898d50810c092a874e0e651d9b91ca678ef2645	c55a7aa61fcda4568095fbdb5d0c244dd78f9ac8caa52345781248de3224468f	86f332acb2c8ec59	sliced-sha256-8.v2	nvidia-A-3
2032	39e31f39	3.550052	101.153	3.902	47504ab7ffa5a19c31414e7958e1bf2a418ddb51616bbafd67d529874422b329	3b75898e5c853253ef0179b892ff00e96afb965d1dc93c1f14458895c7b81f7b	ee4310178734d184	sliced-sha256-8.v2	nvidia-A-3
2033	39e30913	3.472454	102.024	4.130	f1a72c3337938b383f6a4384e399df9ed6f94068866b5cc26f1a89a449302ef3	a7eebbf0137624a7005b5b7c7d1de89a9753281bae865310be037fc0a09490cb	b3a0049c728a107c	sliced-sha256-8.v2	nvidia-A-3
