step	shard	want_f32_hex	got_f32_hex	verdict	seconds	ids_sha256
2001	0	407449a6	407449a6	PASS	112.04	c9a4e816a8fb18b3f98860d6560a4b62f8e976e2d37676adf78b27744dc58819
2001	1	4062a6b8	4062a6b8	PASS	105.69	c721ddd06964f6cf261781c887cacd1880e2b6a85ca5be20a50d6c0a62834464
2001	2	4061c4d6	4061c4d6	PASS	104.98	6f984d378583ba57b6161359009f889605c6b615c031a335754663b7325e378a
2001	3	407f7a43	407f7a43	PASS	108.24	a6d641a0fbb742866db381e83de26545b3cc29026c0b30e84e06d9ee27f22198
2001	4	4068277c	4068277c	PASS	88.43	8a3d3cf153f40bfefa18e4353390696a843569d56278e666e59ab2fcf94f34e4
2001	5	4071ebaf	4071ebaf	PASS	89.92	7b894b937d67acaff51f4060d331405ff4fcd04e0328058cff504dc8d3f3aae9
2001	6	40659c5d	40659c5d	PASS	86.66	d355ff5ded5f19ec075d15ddb591f8b5ee76a9f75a8ac3e1cc96051f3c3f1731
2001	7	405e09be	405e09be	PASS	85.98	47ee4a267e7762437cffb1dceeac2eec0afffa8769d51441cfcc8f06cadcf72b
2001	8	4072a706	4072a706	PASS	102.83	4a63d7a70ab21e017dbbc7ff432457f7653ca97e9bbfdcff880e397735a4da6f
2001	9	4057d1b2	4057d1b2	PASS	107.58	d5eaa169a1a873732577e66969fa799d83c1854df0a61eee002112254d2a3042
2001	10	40624dd8	40624dd8	PASS	107.19	fedb09f6776a51e5c5e6d8e6775d81372f872a25d1470a135cce43ca55fd66a4
2001	11	406b098c	406b098c	PASS	106.73	3554291c058ee5af146e673acbde3f70086d7f938d721bfec97c07d2d0a0c9e1
2001	12	40642336	40642336	PASS	93.34	37bf211b34d08fd77e1919d293d0908ea98f5ea0dacf3b93eb005d60aba0f727
2001	13	4058d669	4058d669	PASS	95.11	e5a89c4287390ba93a27b5b5c7a83a4dec56d386b2a968113381a7d9757b58f8
2001	14	4064bd8a	4064bd8a	PASS	94.21	eeb46eb9c697b43480fd848549c3f21bbe460742d7f68b125718b51e2388c2ca
2001	15	4057d669	4057d669	PASS	93.2	130ef6f721d4ca4f15a8e7b1f78fa0cc90d2d7f7dcb6dadcc376311412e5155b
2001	16	404d483d	404d483d	PASS	90.76	871ca0dd6aed536db2e0ae145155f0347a6a6705baa7808fb48ef15eafcf8928
2001	17	405fbed0	405fbed0	PASS	91.04	8653c49bc582fb824ec9b1a3802d9b61f4cab823be585f0ccb3dd6a801a121fd
2001	18	405ab1c3	405ab1c3	PASS	94.48	3254766dd2dc999ac5fc77c5d833fe97e8bce32b4d8d13ff43224324b8e02b9a
2001	19	4078f910	4078f910	PASS	94.01	ea2aec36a190d5aa3619ebc675f9f7068e6c618256e56a865e51781e1d277ed1
2001	20	4068ffa3	4068ffa3	PASS	92.76	45fba650415ce4203a325aeecfd51517f8e4381681c95b352d82341380bc04ee
2001	21	406a62a4	406a62a4	PASS	93.93	7c2bf668b4b3c07be4867d9a6d7c686afbae25fe73e87bb574e1e56c1ca4d4c0
2001	22	4067a749	4067a749	PASS	96.04	7cc593d0e3802afb420ce0c2afa35d515fc3d90a62ff2dd97504b812e1c125ba
2001	23	40770609	40770609	PASS	93.45	77a5fc23e8219ee882c11c25537e87ebbbd00654f0eab4e3fdf72160aed2712c
2001	24	40654d10	40654d10	PASS	95.43	27a41b6e3372d7c1fe2351d3560b3f5b934d3de2e5a27237287d16ff6e3288e0
2001	25	4054d61d	4054d61d	PASS	102.0	4db678d8e988c5499efc66b839e82719c7ad2c64f0457bf93901b76454b19473
2001	26	405f7d50	405f7d50	PASS	100.37	7807ce671dabfbb0a7ea566a5300c54650ed56eb4a37a9c5556cc0ba845d4042
2001	27	4054b3c0	4054b3c0	PASS	99.11	71c160c0c13a7ac69266948e89617d7f67f5b287b1c90ea3863adc7cf09f7607
2001	28	405d29e3	405d29e3	PASS	86.16	6d7e7006aad0ea360eb80806412a92570aa5bcdd2d1a53c78461fedf66f76728
2001	29	4048b2a6	4048b2a6	PASS	108.74	f82b9b9be9ab21dc520d480dc81059c9bb576eea002a3460617a9b8e330a79e2
2001	30	4063d898	4063d898	PASS	111.55	d13aa08a4294cc0439bbe7be929655a1ea41fb33e5a379c9052b765410802768
2001	31	40610e2f	40610e2f	PASS	110.23	2570c0e71295f05a67f64b4cf5bf681eab10ca352cf98ad42be4b934957276fd
2001	32	4067aa10	4067aa10	PASS	67.32	23b73ca7946543453e3b6cbcda3d7e0a36d0a38da24573e8a1383b67daaecedd
2001	33	40709166	40709166	PASS	100.94	94fc3014ee5af8d37fcce6db3091b02b2243b9b5c9b36a16c10b41053ca77e1d
2001	34	405694b0	405694b0	PASS	87.23	fdd437ec7a77e3737b55af42dceb741ec9836de089fae7d8e8b0f4024bdd9789
2001	35	405c83be	405c83be	PASS	91.89	ca6d359d6b2757328838a795d287e364818c826637a1a912b2031e89f01cbdc1
