step	shard	want_f32_hex	got_f32_hex	verdict	seconds	ids_sha256
101	0	40de1f6a	40de1f6a	PASS	118.6	c0bb1b07b79059521f6b4e0e2775d5e4e3480fc0fd5bbc315015a01b7a1e7501
101	1	40e487db	40e487db	PASS	133.5	1369f6be8ed68aee5514ec2155c7df4c485d088a9e234e116aec1d774e938688
101	2	40d75612	40d75612	PASS	117.3	6f952223ad7df1e0f15b62567cac3da1754b5f6f7e9cfabb572b975ee1f2335a
101	3	40ddba3e	40ddba3e	PASS	129.8	c16bb11f58e27c35809a1f152d6931d8e95e88a63f4f295edba8aeda9e96f9a2
101	4	40debc62	40debc62	PASS	119.3	10ba2662fc30d8c00f9b519880df1108b3a3adfe2523a622947322f845985b54
101	5	40e4e782	40e4e782	PASS	116.5	07d18b2b3a812ffaa04ad226c56f73347053e057ea90f115a4ccc3a63acc63f0
101	6	40d3b632	40d3b632	PASS	122.1	32dd8c0f1e4ca99f87024fcd063503c982931f1d94f1f905ff0ceeec1f7f9af9
101	7	40da335d	40da335d	PASS	113.4	15265a1f1152a18b7dada2b9950b022b00a6b225ecdd6d6e93d36bba5d1b3fb7
101	8	40d98282	40d98282	PASS	130.5	ca6c1ae36c48af91254b6f05058e4d50849a0d6591dc01e5020c963bc7adbd54
101	9	40dd8eb4	40dd8eb4	PASS	161.3	e929b3ff5cc52d4713fe728ebaeda0e5a1d74c6981a4b5f33d3c8b9f6258f5ce
101	10	40dbf1e7	40dbf1e7	PASS	158.3	8e96c15564f9d031fb27fdc9ecb93d14485dd02693e7c939990d21a911a973e9
101	11	40d5935f	40d5935f	PASS	170.6	009145acf92f09ab30852c8df0d9908909d5108f6f6d02f8e4b4eb0c96a9ee71
101	12	40d86218	40d86218	PASS	78.5	95d0169b9843391547c0c1a1cedf3e800cae4e7da0300d937d1bcf509cb76371
101	13	40e1e01b	40e1e01b	PASS	103.6	32cf0b0bc5868fc0daf1607c5903842654ce14053f8294a596f8f7e336e503ab
101	14	40d4508e	40d4508e	PASS	117.6	4bd72ed095115318ac29bd1785dd8c5fa4522310cd16ea8e273db04a9aefc8b7
101	15	40da1bfd	40da1bfd	PASS	117.8	925744aa7217b9e580df1b8148afbce28c0b244f93c64a63d07c912d1680bcb2
101	16	40dd8a37	40dd8a37	PASS	106.5	285fc34fecee1ada49b9c7b2972c5eae0486c1462695ad0f293887b90a9ec898
101	17	40e4af5f	40e4af5f	PASS	84.2	4823fc6ffd38e6e03a9e37d9054c0615eed3f3549d86d81f8eec9982bf1eda65
101	18	40dfd826	40dfd826	PASS	77.0	ffd05f3702a6869837e93895e3ca4943d25ea8ac035a86d507cf433a343c2866
101	19	40db0a17	40db0a17	PASS	123.3	f3cca0d6333a7b7d2602268b650064e68fb7de9a77d66f232c29754c200848ef
101	20	40ebc1a0	40ebc1a0	PASS	115.9	25e89258cb6e6b7fec82c9125ac03c821bffd9d9aaa2875f3d129f29fddb9a9c
101	21	40ddb442	40ddb442	PASS	98.6	185dc4f2c3f23e2e9e58ddc6b59cc008085066f07a8aa365772aff36e1a3333a
101	22	40d7ce56	40d7ce56	PASS	92.4	a0457723efc48cc10abfa1661cdb919e9f06e49ea8c2595e840671141265fbd2
101	23	40e3eb11	40e3eb11	PASS	123.3	642eb7b1ba0bd4e118c706aa12c6b9a54c919881151b0e92222a688696789c33
101	24	40de83ee	40de83ee	PASS	129.5	2e8069c173393dcc2aaeb1f5e581b66d804ef35286fac962ab525efc1af66395
101	25	40ddfa58	40ddfa58	PASS	106.8	ba80b6d0dcb2eaccbc421a64bcda36add636b6f674cca6acef8583a2e358088a
101	26	40e6ed7e	40e6ed7e	PASS	123.7	1a95687e99d31e2d4788572d6834f483b7694a988a280bdfbfe98ba765343837
101	27	40d5e3b8	40d5e3b8	PASS	135.0	759a6c8dca840515c74edad60305b88589a580a4f99c057d7e131dfc7d57bca6
101	28	40da7400	40da7400	PASS	136.3	d4d7ebbc5a21f970c97e7b599e6e81b7f8a05c26eee236a5e21e06ede2bd9b1e
101	29	40db3d9e	40db3d9e	PASS	134.2	839da0f2396d2d83a87948b0549a44b34d7a6f217f6bf03c1ea44ade4681ec35
101	30	40d30d14	40d30d14	PASS	109.6	27a190a6b1c2229a9f680637b4b37b65bef58bec6b6895e0216b65ff945d28b4
101	31	40cf0e28	40cf0e28	PASS	157.4	cd1748e770cf0ddec6db9f8f430b7ddc00420504e24bd621f347970d1205b683
101	32	40d90bde	40d90bde	PASS	148.4	ed86051372278872cc695c33219e39d99e99c1e9957fb97daca186824c94ee31
101	33	40d552aa	40d552aa	PASS	164.9	1a7b83b8e9b041274b5256c7639a3f006d5a05de7c1fb3285dbde45901b739dc
101	34	40d8bf18	40d8bf18	PASS	168.8	7c39ad99c5e06c69cf6978fc4a260d275f78aacf658a5b4274de2e95499d8895
101	35	40e23bf6	40e23bf6	PASS	142.8	0c82e74d85349f62480d31e17a67cefce2e97d6b62d74850dbc2daaa27e42925
101	36	40da5cc6	40da5cc6	PASS	126.7	476074d30b672ddfd14b5e854c9abf15516aae6deccb3b10e3656b0c234eda97
101	37	40d9ab56	40d9ab56	PASS	133.0	01d62c7b6a85006d37ffaba746f3f3d7679d38a83aae57bf2f23596f4bdc4d2a
101	38	40dbf491	40dbf491	PASS	167.5	ea670e5ca59608f40c45265e233af103d6e34d0afe2bd4b15e01de85682b158e
101	39	40d8287c	40d8287c	PASS	131.2	8a55498a36ac1f90e9d31db0278e0fb931276f99aa265a03dadca2253c1c60dd
101	40	40e4cf02	40e4cf02	PASS	139.4	6ec4faf15fe8864a1195941bc5aa76f2e00390fd7142af24b42020e2acfef8a7
101	41	40e5c634	40e5c634	PASS	137.5	ca1b580a52d802601a18d33aa6393f110fe423c69125ed62666a25249f13d9be
101	42	40e25ef6	40e25ef6	PASS	143.6	20486b2a8398b9481ee790db214a4315fc1abe1b8d01066f486d765ac024ee38
101	43	40df4522	40df4522	PASS	106.3	c095ffd31442c4f486bdf61493514cb68e123b45bb93bd203421342e7be1cdb3
101	44	40d8ed89	40d8ed89	PASS	162.8	bf89b81f7a02f9120439d0fcf217cad77d8c82d92e1817f2ceeac665c7869233
101	45	40d9d24d	40d9d24d	PASS	150.8	3f67e4d4d536831ed53ab255739b07259149ada9a0dbfdf52b241707af4b3d51
101	46	40d9f2de	40d9f2de	PASS	123.9	1f76e58232249cd6904d412f7da60733085d578b0bd0c5ac450dcc059233cd84
101	47	40e07100	40e07100	PASS	97.4	576cac297ca97b7c347d6db4e71b2e054e0e6fe3f43c1e28af98ff70f8167607
101	48	40db49bd	40db49bd	PASS	147.1	9527acb65da68ad71627eba9b91b239ade7f888018a48edc6cfe9fefd6182395
101	49	40de194f	40de194f	PASS	156.1	61cb488b3d88fcef32b58530cfd5b0b30c52c20c714f94e4cef25c40f85423c3
101	50	40da59f2	40da59f2	PASS	170.2	42351bb865b8db7c1d7af0c8600c3176d3f26fa531f565a4398f8215d969e5ca
101	51	40e8769e	40e8769e	PASS	156.6	30a6bab51696e32be83cb2a2785a5ca76f25c863537c1a9b6f0f6d6fefe0d686
101	52	40e26bf0	40e26bf0	PASS	92.7	cdb419b202d94bd9f963169697dccccd5d0c0ca098799ca809d3fd6a17b81e6f
101	53	40dc1c92	40dc1c92	PASS	102.8	0affcb465ffda138dc6b71a67b7f60067ac5c2430ed5846f59f13689c5a518f1
101	54	40dbf5ad	40dbf5ad	PASS	131.2	ffca5f009c1022da4e4285643d767277cde61060d1fa3722f1453d000d9bf4c2
101	55	40df7e0c	40df7e0c	PASS	127.1	5c96bb115fefa7d0255c0cdd7dae04a61c30f884b85832deebc177711e30a3b4
101	56	40d662da	40d662da	PASS	100.5	d2ac7c58f4e72f5ffe8f32978129e0f225a192e3bcc2f2493a6cab0253417715
101	57	40d94252	40d94252	PASS	86.0	9c96d8e3147de7aa39752ff2e16d438612f239808ead8b1f97ac731772062efd
101	58	40d395b0	40d395b0	PASS	131.4	f6e45fa5c28107cc33cdba9598ca1da05c53c78ddaba16543a9c81a5c0d75733
101	59	40e663c6	40e663c6	PASS	140.1	8a2eb111e194be5bc3c534fd7e5302ec8863054c5b86606524ba81ed0b8ef481
101	60	40e65872	40e65872	PASS	139.0	71083eb6dfa59c56975c260f6301dd77001c1dd3e5974390def063bbfebaf310
101	61	40dcc3ff	40dcc3ff	PASS	143.4	faef58fb834974cec320caabf5f54fd072e424d245c815297ee01484ae743bff
101	62	40d96bab	40d96bab	PASS	89.7	22b0dad6674eddfb7ca8f8e6469d66f0db166521100cfd93c120d216a497d212
101	63	40def7ee	40def7ee	PASS	93.8	49e11ec4f25bcee6c1723cf44ee6b4f23e1ec4c228bd831339bcf1b4a4a4144e
701	0	40814591	40814591	PASS	123.9	e4619a371d91e6edb3b12f27b38d832efd2c14ccf92ef60d89213fe388f1b55a
701	1	407e2293	407e2293	PASS	129.5	c5ca7aacc23982fe9286faa03d3ed39fedda971bb4bee8a65f99f9424224cd54
701	2	40868138	40868138	PASS	124.0	5098f09bf7388be40dbba47026e3d6a4df1e9ad32a8376f92f3f8892538496bc
701	3	408828ad	408828ad	PASS	113.9	b28fd0cee922210d56d3ce6428d894621edf52f8aa71052a4da4381250cedf79
701	4	4089d912	4089d912	PASS	135.6	24fad028e1be83860f584bdcc0f0d6b1f5d69d5652c55f5b0160a6bed6c9d3e0
701	5	40883385	40883385	PASS	117.5	d004740b0f626474c06e4b9e7f4cf2f637e641b8b4b418e4f53dd2f639009952
701	6	4085f95f	4085f95f	PASS	121.4	7da5b9bfafe57666f01f58dfa5710581efe74eb9cbeefa841490abbb162824f9
701	7	407e9cf8	407e9cf8	PASS	123.9	a5ee30c95bde42c8f5e731ad3755c403c39434a01102794e5d007a99a4c86cc4
701	8	408acb8c	408acb8c	PASS	118.1	a9793b6bf7ae37e75b5936b9a0ab2f7f5b1833fc53a62eebf0ac77e5972209c5
701	9	407f689e	407f689e	PASS	118.5	1bdab8d6df18bb4002979f95d5816106b44df71c9399887f950764cbe1dfb0fb
701	10	40942766	40942766	PASS	140.7	3b1860c3e655a4a6e329c7ae77fc838422fd9a3953683d2ac9bf0b68c6fd57b8
701	11	408553af	408553af	PASS	123.4	29081882335f1619c17406b6c641f6c46cce177cda9a7cf4b61e393d747f47de
701	12	4081bae0	4081bae0	PASS	101.8	55a92727d9b91974d68448b0a19136ce5aca65e9c7d6f962524b326987461a0e
701	13	40900164	40900164	PASS	106.0	59dddcd232c1c2f0259cbda5bd2e5630a31629afed15f317943af3f72bb1c4b3
701	14	4084b0d4	4084b0d4	PASS	124.3	5add3d4709015ddd0cb6bf130651a9ec5c3be27ea5cfc84aee7d4fcc0e5ac1d6
701	15	40826792	40826792	PASS	105.3	ad6c065c0f2913ddccef96a05de6936ec6511ed31de6b94e33fbeb396b8e4603
701	16	408b3714	408b3714	PASS	107.3	ccbc6b80ad3d5c1cf164c6e0aa56450ca52e8747e676baa4194b60ed30145420
701	17	40841ef7	40841ef7	PASS	98.3	adea2f666c0cf077dc5d49a3c69ec5479898c7a3afd8f982a06d831cca192024
701	18	408697ea	408697ea	PASS	117.6	6cdda600dbdce631d00d1e1abd0f692537b3bbd73fb1f41c66bb94b38a986b8a
701	19	4061f9b1	4061f9b1	PASS	94.2	e486498dd983dc01e94c5bf7e25b43abc7e9b6a0a69a3cfebb56f3cce77e778c
701	20	408d6d68	408d6d68	PASS	120.0	1d5fdb7edeaab23023846d9b17eca6404598e2f5b333ad6b00dd378d995413f9
701	21	408160eb	408160eb	PASS	127.9	ff9a1d94f59164f95d4009117c0cf24969b759ae4891f3a85254430948ba358e
701	22	40927aa4	40927aa4	PASS	113.4	6e1d65cc68d571882de9ccbf059276bc14c6ac07371772c442de0e81375d4857
701	23	408ddcb6	408ddcb6	PASS	108.5	507511a6a955a4658bd6f09532177773c5b75b34c5d4e2201eb722037f1a863f
701	24	408a7994	408a7994	PASS	136.9	cfeb0ececaee005c40bf0e7e5c209a60d2de720894e00b1486c3054ff235c765
701	25	40954f03	40954f03	PASS	111.2	50f7d200b9d7cb44ee3a191828f634c18d5bebff78856d1d6ae8006010a6ef21
701	26	4084c49c	4084c49c	PASS	139.8	923d2122e5a6da4d077439079a277647f15c16217f2f71c6c010495d1a8a6943
701	27	40853d23	40853d23	PASS	131.2	8f1d306ad946739232eb4066c6f473480260e7d59f93b8661f3b7fa37f7a314d
701	28	407e811e	407e811e	PASS	118.4	492028789e5d61bc84d8db1aab3bc4479ae3ed45c44a45a1717f84ea505df984
701	29	4081de20	4081de20	PASS	117.4	9c26e07eb9b691e8d2b21ea6440eb0a5d7073874004ca36215d5e044ed9042de
701	30	4089ea98	4089ea98	PASS	111.7	0600ed7d2806acda8e0f9635101357575ece336f07a6455ed503f8cf734720aa
701	31	40826a56	40826a56	PASS	110.8	8c16ecc27a2d0a769bbdcd3cfe8e2a29c3320ab363ab33db6772ae190ba5c790
701	32	40891c7a	40891c7a	PASS	126.7	cdd8ee2611a2032d6cd0c37aa16540d787beb12c205ac83ce9c2efa46b4e21eb
701	33	4083bf05	4083bf05	PASS	104.2	228596a99445bb2229cd4705bf6edba3295bb6760b394bc8fa686ed861b33ee0
701	34	40819b14	40819b14	PASS	129.1	946590549e333105542d347cd05d303443a4ede9b1dc6769faa4d6818e22f28c
701	35	408d2c00	408d2c00	PASS	128.4	3673a400ac8d6eb338f0af5931ab594b1b8cd2df06e433da5b01fb50f38cacb2
701	36	408b46ce	408b46ce	PASS	141.3	50f17a86a4cbf57c96d0ed434deefc72d6f8998bb9798a7e31f5aa8a9170c1cd
701	37	407d25f0	407d25f0	PASS	125.9	5ea8848986b9b4e711cc4bdd1597512043134fb9f319f78ae0630ee0b284f2f7
701	38	40869afa	40869afa	PASS	143.8	30bf5bfec97f064e84c53666bab306f53dff09f2fce47e778ce26f0c9950ee84
701	39	40868f59	40868f59	PASS	129.7	cbde7c0f93832b4d98a2372c3662eb83001c6520be0e5052b7d07ae2ff584ddf
701	40	40881541	40881541	PASS	131.4	3e4b190d167ebd2f1e992464f12be7f8444386425eaa27b997c39e183f24ef14
701	41	40828058	40828058	PASS	139.4	531fec35f0f9ab9b725d5825b8c2a8d8316d83d41da1ea7757bc40b6b34df591
701	42	408a20b6	408a20b6	PASS	126.8	0e96c4754925b6f1656006a76a5e2dc055222f9003eef232021ba860e962369c
701	43	40842da6	40842da6	PASS	125.8	e09452721e62379a39b37393a3050b5d51c7c7e010d7652c95771cc80183407e
701	44	408645e6	408645e6	PASS	106.2	b7aff3a32ac7522fa5c741af554c10854c79b2bffa4f8b36e8d8cdaec6da9142
701	45	4086407c	4086407c	PASS	116.6	fe8632065a3836b73c0820741baf9b973c7167b2891b948dd53e5ac56477aaa7
701	46	408620d4	408620d4	PASS	125.1	2ca8526b97d2341d24639ce2186f7c98722f8cdc3622042ee71cb0260d70a315
701	47	40882c2f	40882c2f	PASS	127.9	8bfed930c975936835f9882961006be654f6f9b8452e0bd189e4dd5c98b0a5d1
701	48	40850ad3	40850ad3	PASS	145.2	679a00955b8be5a1217430227fa213022041c95475534893f19b1806c2502a82
701	49	4082bfff	4082bfff	PASS	125.0	5d3cf78102ab7a67d6778ab2b9035a14d0c641426292e364dfe510d2f68cb865
701	50	408a52be	408a52be	PASS	117.0	61d19475155a790cca832b18095c4296c270468c3fd76d59c10e3092023af06a
701	51	40893726	40893726	PASS	117.1	b6ff15e0aa004fab2938018fbf157e6cb814ec1f1f41927d75dd519e8a81f84d
701	52	408c70d8	408c70d8	PASS	100.6	92908687559a7318cbf92308f0186da620213e1dc84fbc2dc4fd11c5e3d7d307
701	53	408d0136	408d0136	PASS	114.5	e085e60a74dddcf79993afb8ccea2915e6af7f0d31d543f75a44a67cf9450639
701	54	4088587a	4088587a	PASS	127.3	5879ab7527d6fda41107bc16a6f834cfe18caf7b32cfcdf4371e03223c5f697b
701	55	40855304	40855304	PASS	126.1	060272826322c49b5a0b25e72691db5168c1bef31ac356d21f079368c8ffb102
701	56	40866c02	40866c02	PASS	136.5	786e4b2496e7148b6d674658b39bdf473c0556c1cbc503cf67799e67cb711fc5
701	57	4088e263	4088e263	PASS	121.5	6c7f4c103d4ded32a2bf6d7711a3d54650094ab1b4871e8f995b90d7b44e670f
701	58	4088a2e0	4088a2e0	PASS	118.0	6ecc0eb0a2882cb2f58ee108ad923ee3cc373df068d44e62b251e5275ed7eb74
