Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
49.7,601251727,342,1758046.0,626642.0,620994,41048331,5192609.7,gemm_checks_gemm_identical_id6A6A6A6A6A6A_2f61943385da6777
15.4,185832028,168,1106143.0,694498.0,681154,1690534,481657.0,gemm_checks_gemm_identical_id6A6A6A6A6A6A_1c3bb68df19fa345
11.3,136566255,24,5690260.6,5690915.0,5666003,5704499,9126.4,transformer_impl_llama_fused_6A6A6A6A6A6A_ea5e02c1382b1cb1
5.6,67805221,24,2825217.5,2825626.0,2816874,2833450,4982.8,transformer_impl_llama_fused_6A6A6A6A6A6A_02d8dd47cde62a5a
4.9,59650795,24,2485449.8,2485849.0,2478760,2493737,3966.1,transformer_impl_llama_fused_6A6A6A6A6A6A_fb2c898df8c53490
4.2,50478730,24,2103280.4,2103223.5,2099879,2108359,2076.4,transformer_impl_llama_fused_6A6A6A6A6A6A_964c2d2a2e133c3e
1.0,12009960,2,6004980.0,6004980.0,6001620,6008340,4751.8,gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2
1.0,11635850,196,59366.6,8368.0,1632,1317925,183772.4,core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb
0.7,8849979,168,52678.4,44544.0,43168,64896,9878.9,gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf
0.7,8594714,48,179056.5,180401.0,168577,195329,6835.1,transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886
0.4,4487568,2,2243784.0,2243784.0,2243752,2243816,45.3,training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae
0.4,4485007,2,2242503.5,2242503.5,2242279,2242728,317.5,training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c
0.4,4374603,24,182275.1,182448.5,180832,183457,818.9,transformer_checks_transformer6A6A6A6A_701f75a72b36f978
0.3,4100814,2,2050407.0,2050407.0,2044455,2056359,8417.4,embedding_checks_embedding_ide6A6A6A6A_02a428d7480c858f
0.3,4050482,168,24110.0,23728.0,21536,28833,2208.3,transformer_impl_llama_fused_6A6A6A6A6A6A_b136a97923f44f48
0.3,3956464,48,82426.3,82368.5,81632,83808,516.3,transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7
0.3,3828012,2,1914006.0,1914006.0,1913798,1914214,294.2,training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde
0.3,3514444,2,1757222.0,1757222.0,1752774,1761670,6290.4,training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6
0.3,3391116,48,70648.3,70656.0,70400,70849,117.3,transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae
0.3,3350827,48,69808.9,69761.0,69600,70497,162.6,transformer_checks_transformer6A6A6A6A_9e49fedb5168a455
0.2,2847884,48,59330.9,59392.5,49984,69088,8796.0,transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c
0.2,2065798,4,516449.5,516113.0,515714,517858,957.7,core_device_scan_negative_part6A6A6A6A_c691e2646998e577
0.2,1953831,24,81409.6,81423.5,80705,82016,347.8,transformer_impl_llama_modeli6A6A6A6A6A6A_4bcd8fe7b706401a
0.2,1939879,24,80828.3,80816.5,80288,81344,274.0,transformer_impl_llama_modeli6A6A6A6A6A6A_1ab8d6c2c317d533
0.1,1718790,2,859395.0,859395.0,858723,860067,950.4,embedding_checks_embedding_ide6A6A6A6A_7c4e8ec94604f999
0.1,1670789,24,69616.2,69600.0,69280,69985,193.5,transformer_checks_transformer6A6A6A6A_e0aadbba61216e38
0.1,1582180,48,32962.1,32864.0,32193,34081,507.9,mamba_impl_modeling_modeling_6A6A6A6A6A6A_7bdf59c912a151a2
0.1,1578826,24,65784.4,65793.0,65536,66144,162.1,transformer_impl_llama_modeli6A6A6A6A6A6A_d15039e611f15d2f
0.1,1540805,2,770402.5,770402.5,770211,770594,270.8,training_checks_loss_ce_row_m6A6A6A6A6A6A_997b99fb729e07d6
0.1,1537542,48,32032.1,32080.0,31103,33376,757.7,transformer_checks_transformer6A6A6A6A_6755bf37231227cb
0.1,1514208,48,31546.0,31440.5,31232,32032,243.3,transformer_checks_transformer6A6A6A6A_9ffe5e8f5d25dc0e
0.1,1469541,8,183692.6,183792.5,183264,184064,295.2,training_checks_train_loop_tr6A6A6A6A6A6A_801597e5bf0ab752
