name	calls_per_shard	ms_per_shard	share_of_top
envelope.native_call	1.0	517.655	0.5001
envelope.blocks_backward	1.0	249.039	0.2406
envelope.blocks_forward	1.0	152.004	0.1469
bwd.mlp_through_oproj	12.0	112.644	0.1088
block.attention_total	12.0	97.463	0.0942
bwd.attention	12.0	92.530	0.0894
attn.core	12.0	70.896	0.0685
attn.fwd_r2_keep_kernel	12.0	68.520	0.0662
block.mlp_and_residuals	12.0	51.272	0.0495
bwd.after_attention	12.0	43.702	0.0422
attn.bwd_zdot_estash_dres_pf	12.0	34.061	0.0329
gemm.gateup_dB	24.0	31.819	nan
step.head_backward_da	1.0	31.728	0.0307
gemm.head_dA	1.0	31.718	nan
step.head_forward	1.0	30.709	0.0297
gemm.head_fwd	1.0	30.701	nan
gemm.gateup_dA	24.0	30.111	nan
attn.bwd_dq_tiled_pf	12.0	29.982	0.0290
gemm.gateup_fwd	24.0	29.877	nan
step.head_backward_db	1.0	29.721	0.0287
gemm.head_dB	1.0	29.717	nan
gemm.proj_dB	48.0	26.006	nan
attn.bwd_kvgrid_dkdv_pf	12.0	25.386	0.0245
gemm.proj_fwd	48.0	22.936	nan
gemm.proj_dA	48.0	22.741	nan
attn.qkv_proj	12.0	17.566	0.0170
gemm.down_dB	12.0	15.965	nan
grad.down_dB	12.0	15.965	0.0154
grad.gate_dB	12.0	15.914	0.0154
grad.up_dB	12.0	15.905	0.0154
fwd.down_proj	12.0	15.182	0.0147
gemm.down_fwd	12.0	15.182	nan
grad.gate_dA	12.0	15.070	0.0146
grad.up_dA	12.0	15.042	0.0145
fwd.gate_proj	12.0	14.941	0.0144
fwd.up_proj	12.0	14.936	0.0144
gemm.down_dA	12.0	14.758	nan
grad.down_dA	12.0	14.758	0.0143
step.ce_forward	1.0	8.884	0.0086
grad.o_dB	12.0	6.516	0.0063
grad.q_dB	12.0	6.504	0.0063
grad.v_dB	12.0	6.495	0.0063
grad.k_dB	12.0	6.491	0.0063
attn.o_proj	12.0	5.905	0.0057
fwd.q_proj	12.0	5.739	0.0055
fwd.k_proj	12.0	5.736	0.0055
fwd.v_proj	12.0	5.732	0.0055
fwd.o_proj	12.0	5.729	0.0055
grad.k_dA	12.0	5.695	0.0055
grad.v_dA	12.0	5.687	0.0055
grad.o_dA	12.0	5.682	0.0055
grad.q_dA	12.0	5.677	0.0055
step.ce_backward	1.0	3.866	0.0037
step.embedding_backward	1.0	3.490	0.0034
block.norm1	12.0	3.206	0.0031
attn.rope_and_cache	12.0	3.033	0.0029
attn.bwd_regime_scan	12.0	2.531	0.0024
fwd.norm2	12.0	2.320	0.0022
grad.norm2_kernels	12.0	2.285	0.0022
grad.gate_mul	12.0	2.227	0.0022
fwd.norm1	12.0	2.187	0.0021
step.validate_after_scan	1.0	2.153	0.0021
grad.norm1_kernels	12.0	2.086	0.0020
attn.fwd_regime_scan	12.0	1.995	0.0019
grad.rope	12.0	1.737	0.0017
step.optimizer	1.0	1.712	0.0017
step.ce_refuse_scan	1.0	1.372	0.0013
fwd.silu	12.0	1.091	0.0011
fwd.gate_mul	12.0	1.089	0.0011
step.unpack_weights	1.0	0.924	0.0009
step.pack_grads	1.0	0.920	0.0009
grad.kv_slice	12.0	0.909	0.0009
gemm.norm_dW	24.0	0.884	nan
fwd.refuse_call	12.0	0.866	0.0008
grad.refuse_scan	12.0	0.599	0.0006
grad.qkv_fanin	12.0	0.578	0.0006
step.validate_grads_scan	1.0	0.550	0.0005
fwd.residual2_add	12.0	0.499	0.0005
fwd.residual1_add	12.0	0.498	0.0005
grad.gateup_fanin	12.0	0.482	0.0005
grad.x_add	12.0	0.478	0.0005
grad.residual2_copy	12.0	0.468	0.0005
grad.norm1_dW	12.0	0.444	0.0004
grad.norm2_dW	12.0	0.441	0.0004
attn.bwd_corner_flag	12.0	0.352	0.0003
attn.fwd_corner_flag	12.0	0.305	0.0003
attn.bwd_scratch_alloc	12.0	0.153	0.0001
step.upload_inputs	1.0	0.141	0.0001
step.embedding_forward	1.0	0.102	0.0001
step.py_flags	1.0	0.091	0.0001
grad.silu	12.0	0.027	0.0000
grad.o_copy	12.0	0.024	0.0000
bwd.before_attention	12.0	0.022	0.0000
grad.residual1_add	12.0	0.020	0.0000
step.loss_download	1.0	0.018	0.0000
step.bind_publish	1.0	0.010	0.0000
step.bind_final_sync	1.0	0.002	0.0000
# shards timed 2, kept 1; top level (step.* + envelope.*) 1035.091 ms a shard; gemm.* 302.415 ms a shard
