Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
46.6,451561092,342,1320354.1,468992.0,462272,31509675,3936680.9,gemm_checks_gemm_identical_id6A6A6A6A6A6A_6e0e904c41851a9e
14.0,136032556,168,809717.6,483008.0,479265,1253632,379890.7,gemm_checks_gemm_identical_id6A6A6A6A6A6A_4756606400325dd8
10.3,100205953,24,4175248.0,4175200.5,4166145,4184322,5568.9,transformer_impl_llama_fused_6A6A6A6A6A6A_ea5e02c1382b1cb1
7.0,67834582,24,2826440.9,2827281.0,2816545,2833217,4087.3,transformer_impl_llama_fused_6A6A6A6A6A6A_02d8dd47cde62a5a
6.0,58323504,24,2430146.0,2430256.5,2426081,2437153,2930.4,transformer_impl_llama_fused_6A6A6A6A6A6A_fb2c898df8c53490
5.2,50500587,24,2104191.1,2103776.0,2101536,2110849,2036.8,transformer_impl_llama_fused_6A6A6A6A6A6A_964c2d2a2e133c3e
1.2,12018468,2,6009234.0,6009234.0,6009154,6009314,113.1,gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2
1.2,11619744,196,59284.4,8288.0,1599,1314337,183548.6,core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb
0.9,8864831,168,52766.9,44400.5,43040,65568,10158.2,gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf
0.9,8569955,48,178540.7,179584.0,167456,188417,6402.8,transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886
0.5,4486529,2,2243264.5,2243264.5,2243104,2243425,227.0,training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae
0.5,4482817,2,2241408.5,2241408.5,2241377,2241440,44.5,training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c
0.4,4312961,24,179706.7,179520.0,177984,181376,826.1,transformer_checks_transformer6A6A6A6A_701f75a72b36f978
0.4,4028931,168,23981.7,23504.0,21504,28768,2105.6,transformer_impl_llama_fused_6A6A6A6A6A6A_b136a97923f44f48
0.4,3954152,48,82378.2,82352.5,81408,83808,500.9,transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7
0.4,3828224,2,1914112.0,1914112.0,1913632,1914592,678.8,training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde
0.4,3489184,2,1744592.0,1744592.0,1741152,1748032,4864.9,training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6
0.4,3391716,48,70660.8,70656.0,70496,71040,96.6,transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae
0.3,3351753,48,69828.2,69824.0,69632,70176,126.9,transformer_checks_transformer6A6A6A6A_9e49fedb5168a455
0.3,2819204,48,58733.4,58640.5,49760,67809,8565.2,transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c
