Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.3,451541680,342,1320297.3,468714.5,462715,31476223,3936042.7,gemm_checks_gemm_identical_id6A6A6A6A6A6A_6e0e904c41851a9e
14.3,135996709,168,809504.2,482602.0,479387,1251952,379799.5,gemm_checks_gemm_identical_id6A6A6A6A6A6A_4756606400325dd8
9.0,85569637,24,3565401.5,3565140.5,3556980,3579124,4681.9,transformer_impl_llama_fused_6A6A6A6A6A6A_ea5e02c1382b1cb1
7.1,67820290,24,2825845.4,2825821.0,2819293,2833533,4378.2,transformer_impl_llama_fused_6A6A6A6A6A6A_02d8dd47cde62a5a
6.1,58289784,24,2428741.0,2428770.0,2423234,2435234,3137.2,transformer_impl_llama_fused_6A6A6A6A6A6A_fb2c898df8c53490
5.3,50470010,24,2102917.1,2102870.0,2099495,2109703,2282.0,transformer_impl_llama_fused_6A6A6A6A6A6A_964c2d2a2e133c3e
1.3,11989518,2,5994759.0,5994759.0,5987799,6001719,9842.9,gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2
1.2,11617643,196,59273.7,8287.5,1600,1314575,183438.5,core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb
0.9,8868689,168,52789.8,44591.5,43391,65247,10116.6,gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf
0.9,8570616,48,178554.5,181502.0,167614,189246,6830.7,transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886
0.5,4486217,2,2243108.5,2243108.5,2242788,2243429,453.3,training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae
0.5,4481960,2,2240980.0,2240980.0,2240324,2241636,927.7,training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c
0.5,4315915,24,179829.8,179726.0,178205,181086,871.1,transformer_checks_transformer6A6A6A6A_701f75a72b36f978
0.4,4030639,168,23991.9,23504.0,21567,28512,2152.0,transformer_impl_llama_fused_6A6A6A6A6A6A_b136a97923f44f48
0.4,3955248,48,82401.0,82463.0,80895,83391,513.2,transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7
0.4,3825873,2,1912936.5,1912936.5,1912680,1913193,362.7,training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde
0.4,3488757,2,1744378.5,1744378.5,1742346,1746411,2874.4,training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6
0.4,3393238,48,70692.5,70671.5,70527,71359,155.5,transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae
0.4,3349885,48,69789.3,69759.0,69599,70175,138.8,transformer_checks_transformer6A6A6A6A_9e49fedb5168a455
0.3,2819836,48,58746.6,58735.5,49823,68191,8518.3,transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c
0.2,2059240,4,514810.0,515098.0,513786,515258,687.3,core_device_scan_negative_part6A6A6A6A_c691e2646998e577
0.2,1943273,24,80969.7,81119.0,80575,81311,277.8,transformer_impl_llama_modeli6A6A6A6A6A6A_4bcd8fe7b706401a
0.2,1939017,24,80792.4,80831.0,80351,81119,183.0,transformer_impl_llama_modeli6A6A6A6A6A6A_1ab8d6c2c317d533
0.2,1728043,2,864021.5,864021.5,863189,864854,1177.3,embedding_checks_embedding_ide6A6A6A6A_7c4e8ec94604f999
0.2,1667630,24,69484.6,69487.0,69152,69792,179.1,transformer_checks_transformer6A6A6A6A_e0aadbba61216e38
0.2,1578381,24,65765.9,65743.0,65503,66207,168.2,transformer_impl_llama_modeli6A6A6A6A6A6A_d15039e611f15d2f
0.2,1554345,48,32382.2,32288.0,31520,33600,680.7,mamba_impl_modeling_modeling_6A6A6A6A6A6A_7bdf59c912a151a2
0.2,1530349,2,765174.5,765174.5,764567,765782,859.1,training_checks_loss_ce_row_m6A6A6A6A6A6A_997b99fb729e07d6
0.2,1518157,48,31628.3,31647.5,31072,32480,394.7,transformer_checks_transformer6A6A6A6A_6755bf37231227cb
0.2,1513389,48,31528.9,31375.5,31263,32064,261.1,transformer_checks_transformer6A6A6A6A_9ffe5e8f5d25dc0e
0.2,1467469,8,183433.6,183533.5,182973,183646,256.0,training_checks_train_loop_tr6A6A6A6A6A6A_801597e5bf0ab752
0.1,1137713,24,47404.7,47359.5,46944,47999,292.4,training_byte_lm_block_copy__b6A6A6A6A_4f839612f5023304
0.1,1134258,24,47260.8,47279.5,44384,48224,705.8,training_byte_lm_block_copy__b6A6A6A6A_55bde5b169c3b214
0.1,952370,24,39682.1,39583.5,39199,40448,374.8,transformer_checks_transformer6A6A6A6A_5f42150e59e36fb0
0.1,912470,48,19009.8,19056.0,18176,19872,468.6,gemm_checks_gemm_identical_id6A6A6A6A6A6A_99adfa7b2bcdfe0e
0.1,738771,24,30782.1,30783.0,30719,30847,30.5,transformer_checks_transformer6A6A6A6A_c48a0c1f6177d9d0
0.1,656632,2,328316.0,328316.0,328220,328412,135.8,embedding_checks_embedding_ide6A6A6A6A_8abd8314df0ff543
0.0,240478,2,120239.0,120239.0,119839,120639,565.7,embedding_checks_embedding_ide6A6A6A6A_b184d11bcef68fe0
0.0,183741,2,91870.5,91870.5,91838,91903,46.0,embedding_checks_embedding_ide6A6A6A6A_4fb48ea6c937e0eb
0.0,167008,50,3340.2,3392.0,1856,3776,309.2,gemm_checks_gemm_identical_id6A6A6A6A6A6A_55fe6c135aba7469
0.0,141279,2,70639.5,70639.5,70559,70720,113.8,embedding_checks_embedding_ide6A6A6A6A_5cfa05e12c6f7255
0.0,71232,2,35616.0,35616.0,34720,36512,1267.1,embedding_checks_embedding_ide6A6A6A6A_a7ec9023618e6adf
0.0,12288,2,6144.0,6144.0,5984,6304,226.3,gemm_checks_gemm_identical_id6A6A6A6A6A6A_d3026edf3dadc3c0
0.0,5217,2,2608.5,2608.5,2337,2880,384.0,training_checks_loss_ce_nll_k6A6A6A6A6A6A_2c9bba806d31a4e3
0.0,3167,2,1583.5,1583.5,1471,1696,159.1,training_checks_loss_ce_logde6A6A6A6A6A6A_d35a11b1836f73dc
0.0,2656,2,1328.0,1328.0,1312,1344,22.6,training_checks_loss_ce_divid6A6A6A6A6A6A_05fcd2ee21816cf8
0.0,2624,2,1312.0,1312.0,1312,1312,0.0,training_checks_loss_ce_row_n6A6A6A6A6A6A_2bb60afb8c8084e0
0.0,1760,1,1760.0,1760.0,1760,1760,0.0,transformer_impl_llama_modeli6A6A6A6A6A6A_fd7a940bfe0354a7
