# folded 2197 of 3398 activities (cut at 1201); kernel+copy time 1037.630 ms; wall span 13786.034 ms
name	launches	total_ms	mean_us	share	reg_per_thread	static_smem	dyn_smem	grid	block	full_name
gemm_checks_gemm_identical_id6A6A6A6A6A6A_6e0e904c41851a9e	342	451.542	1320.3	0.4352	128	0.026	0.000	768x1x1	256x1x1	gemm_checks_gemm_identical_id6A6A6A6A6A6A_6e0e904c41851a9e
gemm_checks_gemm_identical_id6A6A6A6A6A6A_4756606400325dd8	168	135.997	809.5	0.1311	128	0.026	0.000	192x8x1	256x1x1	gemm_checks_gemm_identical_id6A6A6A6A6A6A_4756606400325dd8
fused_6#e8ff	24	85.570	3565.4	0.0825	64	0.015	0.000	3072x1x1	256x1x1	transformer_impl_llama_fused_6A6A6A6A6A6A_ea5e02c1382b1cb1
[CUDA memcpy Device-to-Host]	323	83.567	258.7	0.0805				xx	xx	[CUDA memcpy Device-to-Host]
fused_6#5c2b	24	67.820	2825.8	0.0654	63	0.010	0.000	6144x1x1	256x1x1	transformer_impl_llama_fused_6A6A6A6A6A6A_02d8dd47cde62a5a
fused_6#bac9	24	58.290	2428.7	0.0562	80	0.008	0.000	1536x1x1	256x1x1	transformer_impl_llama_fused_6A6A6A6A6A6A_fb2c898df8c53490
fused_6#2e67	24	50.470	2102.9	0.0486	63	0.012	0.000	3072x1x1	256x1x1	transformer_impl_llama_fused_6A6A6A6A6A6A_964c2d2a2e133c3e
gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2	2	11.990	5994.8	0.0116	46	0.003	0.000	256x1x1	256x1x1	gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2
core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb	88	11.057	125.7	0.0107	16	0.001	0.000	512x1x1	256x1x1	core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb
gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf	168	8.869	52.8	0.0085	38	0.000	0.000	6144x1x1	256x1x1	gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf
transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886	48	8.571	178.6	0.0083	22	0.000	0.000	512x1x1	16x1x1	transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886
training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae	2	4.486	2243.1	0.0043	24	0.000	0.000	1608224x1x1	256x1x1	training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae
training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c	2	4.482	2241.0	0.0043	30	0.000	0.000	1608224x1x1	256x1x1	training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c
transformer_checks_transformer6A6A6A6A_701f75a72b36f978	24	4.316	179.8	0.0042	17	0.000	0.000	131072x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_701f75a72b36f978
fused_6#a5fd	168	4.031	24.0	0.0039	16	0.001	0.000	512x1x1	256x1x1	transformer_impl_llama_fused_6A6A6A6A6A6A_b136a97923f44f48
transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7	48	3.955	82.4	0.0038	27	0.000	0.000	512x1x1	16x1x1	transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7
training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde	2	3.826	1912.9	0.0037	28	0.000	0.000	1608224x1x1	256x1x1	training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde
training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6	2	3.489	1744.4	0.0034	28	0.000	0.000	633390x1x1	256x1x1	training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6
transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae	48	3.393	70.7	0.0033	32	0.000	0.000	49152x1x1	128x1x1	transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae
transformer_checks_transformer6A6A6A6A_9e49fedb5168a455	48	3.350	69.8	0.0032	34	0.000	0.000	49152x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_9e49fedb5168a455
transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c	48	2.820	58.7	0.0027	30	0.000	0.000	49152x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c
core_device_scan_negative_part6A6A6A6A_c691e2646998e577	4	2.059	514.8	0.0020	16	0.001	0.000	512x1x1	256x1x1	core_device_scan_negative_part6A6A6A6A_c691e2646998e577
transformer_impl_llama_modeli6A6A6A6A6A6A_4bcd8fe7b706401a	24	1.943	81.0	0.0019	16	0.000	0.000	131072x1x1	128x1x1	transformer_impl_llama_modeli6A6A6A6A6A6A_4bcd8fe7b706401a
transformer_impl_llama_modeli6A6A6A6A6A6A_1ab8d6c2c317d533	24	1.939	80.8	0.0019	16	0.000	0.000	131072x1x1	128x1x1	transformer_impl_llama_modeli6A6A6A6A6A6A_1ab8d6c2c317d533
embedding_checks_embedding_ide6A6A6A6A_7c4e8ec94604f999	2	1.728	864.0	0.0017	22	0.000	0.000	197x1x1	256x1x1	embedding_checks_embedding_ide6A6A6A6A_7c4e8ec94604f999
transformer_checks_transformer6A6A6A6A_e0aadbba61216e38	24	1.668	69.5	0.0016	34	0.000	0.000	49152x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_e0aadbba61216e38
transformer_impl_llama_modeli6A6A6A6A6A6A_d15039e611f15d2f	24	1.578	65.8	0.0015	32	0.000	0.000	49152x1x1	128x1x1	transformer_impl_llama_modeli6A6A6A6A6A6A_d15039e611f15d2f
mamba_impl_modeling_modeling_6A6A6A6A6A6A_7bdf59c912a151a2	48	1.554	32.4	0.0015	16	0.000	0.000	49152x1x1	128x1x1	mamba_impl_modeling_modeling_6A6A6A6A6A6A_7bdf59c912a151a2
training_checks_loss_ce_row_m6A6A6A6A6A6A_997b99fb729e07d6	2	1.530	765.2	0.0015	18	0.001	0.000	8192x1x1	256x1x1	training_checks_loss_ce_row_m6A6A6A6A6A6A_997b99fb729e07d6
transformer_checks_transformer6A6A6A6A_6755bf37231227cb	48	1.518	31.6	0.0015	16	0.000	0.000	49152x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_6755bf37231227cb
transformer_checks_transformer6A6A6A6A_9ffe5e8f5d25dc0e	48	1.513	31.5	0.0015	28	0.000	0.000	49152x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_9ffe5e8f5d25dc0e
training_checks_train_loop_tr6A6A6A6A6A6A_801597e5bf0ab752	8	1.467	183.4	0.0014	16	0.000	0.000	301542x1x1	128x1x1	training_checks_train_loop_tr6A6A6A6A6A6A_801597e5bf0ab752
training_byte_lm_block_copy__b6A6A6A6A_4f839612f5023304	24	1.138	47.4	0.0011	16	0.000	0.000	6144x9x1	256x1x1	training_byte_lm_block_copy__b6A6A6A6A_4f839612f5023304
training_byte_lm_block_copy__b6A6A6A6A_55bde5b169c3b214	24	1.134	47.3	0.0011	16	0.000	0.000	6144x9x1	256x1x1	training_byte_lm_block_copy__b6A6A6A6A_55bde5b169c3b214
transformer_checks_transformer6A6A6A6A_5f42150e59e36fb0	24	0.952	39.7	0.0009	16	0.000	0.000	49152x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_5f42150e59e36fb0
gemm_checks_gemm_identical_id6A6A6A6A6A6A_99adfa7b2bcdfe0e	48	0.912	19.0	0.0009	127	0.041	0.000	3x64x1	256x1x1	gemm_checks_gemm_identical_id6A6A6A6A6A6A_99adfa7b2bcdfe0e
