ridge/rows-31: 0.006s
standard-scaler/rows-31: 0.003s
minmax-scaler/rows-31: 0.003s
ridge/rows-32: 0.003s
standard-scaler/rows-32: 0.003s
minmax-scaler/rows-32: 0.004s
ridge/rows-33: 0.004s
standard-scaler/rows-33: 0.003s
minmax-scaler/rows-33: 0.003s
ridge/rows-63: 0.003s
standard-scaler/rows-63: 0.003s
minmax-scaler/rows-63: 0.003s
ridge/rows-64: 0.003s
standard-scaler/rows-64: 0.003s
minmax-scaler/rows-64: 0.003s
ridge/rows-65: 0.004s
standard-scaler/rows-65: 0.003s
minmax-scaler/rows-65: 0.004s
ridge/rows-255: 0.004s
standard-scaler/rows-255: 0.004s
minmax-scaler/rows-255: 0.004s
ridge/rows-256: 0.004s
standard-scaler/rows-256: 0.004s
minmax-scaler/rows-256: 0.004s
ridge/rows-257: 0.007s
standard-scaler/rows-257: 0.004s
minmax-scaler/rows-257: 0.004s
ridge/ties: 0.004s
standard-scaler/ties: 0.003s
minmax-scaler/ties: 0.003s
ridge/dupes: 0.003s
standard-scaler/dupes: 0.003s
minmax-scaler/dupes: 0.003s
ridge/wide: 0.003s
standard-scaler/wide: 0.003s
minmax-scaler/wide: 0.003s
ridge/denormal: 0.003s
standard-scaler/denormal: 0.003s
minmax-scaler/denormal: 0.003s
ridge/denormal_ftz: 0.003s
standard-scaler/denormal_ftz: 0.003s
minmax-scaler/denormal_ftz: 0.003s
ridge/negative: 0.003s
standard-scaler/negative: 0.003s
minmax-scaler/negative: 0.003s
CAPTURED_UNQUALIFIED: 45 cells; /Users/andrewhendel/mojolearn-evidence/next-wheel-coverage/small-training-v2/cpu/capture.json
