# CatBoost files and symbols this section deliberately does NOT implementation, and why.
# A file absent from both this list. Keep both complete.
# their_file	symbol	why_not_ported
catboost/cuda/targets/kernel/multilogit.cu	RMSEWithUncertaintyValAndFirstDerImpl / SecondDerRow	a different ELossFunction; its dispatch is not reached
catboost/cuda/targets/kernel/multilogit.cu	MultiCrossEntropyValueAndDerImpl / SecondDerImpl	MultiCrossEntropy is not among the losses this implementation trains
catboost/cuda/targets/kernel/multilogit.cu	MultiRMSEValueAndDerImpl / SecondDerImpl	MultiRMSE is not among the losses this implementation trains
catboost/cuda/targets/kernel/multilogit.cu	BuildConfusionMatrixBinsImpl	a METRIC kernel; this implementation has no metric path
catboost/cuda/targets/kernel/pointwise_targets.cu	TNumErrorsMetric	in their kernel switch, but their own Init rejects it, so training cannot reach it
catboost/cuda/targets/kernel/pointwise_targets.cu	MseImpl / MseTargetKernel	UNREACHED IN THEIR OWN TREE: ApproximateMse has no caller anywhere in catboost/
catboost/cuda/cuda_util/kernel/bootstrap.cu	GammaBootstrapImpl	its only call is commented out in their own file (:82)
catboost/cuda/cuda_util/kernel/segmented_sort.cu	SortPairsDescending arm	ComputeWeightedQuantile passes compareGreater=false; a branch no caller reaches
catboost/cuda/methods/leaves_estimation/leaves_estimation_helper.h	MakeSupportPairsMatrix / ReorderPairs / FilterZeroLeafBins	the pairwise oracle of PairLogitPairwise (pairwise_oracle.h) and the groupwise oracle, which are not implemented. PairLogit itself does not reach them: its target's OracleType() is Pointwise (querywise_targets_impl.h:292-294), so it is estimated by the pointwise oracle through the querywise der calcer, as implemented in lane/gbdt-learning-to-rank stage 3
catboost/cuda/targets/kernel/	query_softmax.cu, pfound_f.cu, query_cross_entropy.cu, dcg.cu	the rest of the querywise/ranking family: QuerySoftMax, PFound and QueryCrossEntropy targets and the DCG/NDCG metric kernels. QueryRMSE (query_rmse.cu) is implemented in gbdt/targets/kernel/query_rmse.mojo (stage 2), PairLogit (pair_logit.cu, PairLogitPointwiseTargetImpl and MakePairWeightsImpl) in gbdt/targets/kernel/pair_logit.mojo (stage 3) and YetiRank (yeti_rank_pointwise.cu with the two radix_sort_block.cuh passes) in gbdt/targets/kernel/yeti_rank.mojo (stage 4); group_id reaches them and every other loss refuses it by name
catboost/cuda/targets/kernel/pair_logit.cu	PairLogitPairwiseImpl / RemoveOffsetsBiasImpl	the PairLogitPairwise loss (pair_logit_pairwise.h), a separate loss with a pair-matrix leaf step, not implemented
catboost/private/libs/pairs/util.cpp	GenerateRandomly / the max_pairs Shuffle in GenerateBruteForce	the max_pairs option, which draws from the training random stream; gbdt/data/pairs.mojo implements the default max_pairs path only and GradientBoosting has no max_pairs option
catboost/cuda/gpu_data/kernel/query_helper.cu	FillQueryEndMaskImpl / CreateSortKeysImpl / FillTakenDocsMaskImpl / ComputeGroupMaxImpl / the offsets-only ComputeGroupMeansImpl overload	read by the query bootstrap and PFound, neither implemented; QueryRMSE and YetiRank reach only ComputeGroupIdsImpl and the offsets-and-sizes ComputeGroupMeansImpl (gbdt/gpu_data/kernel/query_helper.mojo)
catboost/libs/overfitting_detector/overfitting_detector.cpp	TOverfittingDetectorWilcoxon	needs NStatistics::Wilcoxon from library/cpp/statistics, outside catboost/; nothing this implementation runs selects it
catboost/cuda/methods/kernel/pointwise_hist1.cu	ComputeHist1 (and TComputeHist1Kernel in pointwise_kernels.{h,cpp})	DEAD IN THE REFERENCE: the kernel is registered and dispatched, and no .cpp/.h/.cuh anywhere in the CatBoost tree calls it -- verified 2026-08-21 at 54a8143a.
catboost/cuda/methods/greedy_subsets_searcher/compute_by_blocks_helper.h	TComputeSplitPropertiesByBlocksHelper	NOT IMPLEMENTED and not previously listed. It is the layer between the compressed index and the histogram launch: Build() (:132-166) regroups each policy's features into up-to-four 5/6/7/8-bit SPECIALIZATION blocks by each group's own maxFolds (:111-124), where gbdt/gpu_data/feature_blocks.mojo emits ONE block per policy and greedy_search_helper dispatches at the whole block's widest fold count. Inert on a fold-count-HOMOGENEOUS dataset, which is every bench/oracle*.txt fixture and covtype -- which is why 288 of 288 never saw it. On a heterogeneous one-byte policy a single 200-fold feature drags every one-byte feature onto the 8-bit path. Also carries the score-tie exposure: their regrouping reorders bin features and compute_scores.cu:380 is a strict `if (gain < bestScore)`, so the lowest index wins a tie.
catboost/cuda/methods/greedy_subsets_searcher/compute_by_blocks_helper.cpp	Rebuild / StreamCount / ForceOneBlockPerPolicy	NOT IMPLEMENTED. `config.ForceOneBlockPerPolicy = statCount <= 2; config.StreamCount = statCount <= 2 ? 1 : 3` (:383-386). statCount is objective.GetDim() + 1, so MULTICLASS reaches the >2 arm and takes our single-stream one-block-per-policy path anyway. Metal has one queue (DEVIATION 119 covers streams generally, not this site).
catboost/cuda/methods/greedy_subsets_searcher/kernel/gather_bins.cu	GatherCompressedIndex	NOT IMPLEMENTED. Reached only at ELoadFromCompressedIndexPolicy::GatherBins, which split_properties_helper.cpp:1338-1340 selects when leaves > 1 AND statCount > 2 -- i.e. multiclass. Reads the same bins in the same leaf order as LoadByIndexBins, so the histogram VALUES should agree; the multi-block split that accompanies it can move score ties.
catboost/cuda/methods/greedy_subsets_searcher/kernel/hist_single_leaf.cuh	TComputeSingleHistKernel family	NOT IMPLEMENTED. split_properties_helper.cpp:1098-1105 launches a distinct kernel family when leavesToCompute.size() == 1, which is every tree's ROOT level. Same arithmetic, same partition, so no model change; the cost is that their one-byte single-leaf arm divides CeilDivide(2 * maxActiveBlocks, ...) (hist_one_byte.cu:425-428) where the multi-part arm uses plain maxActiveBlocks, so at depth 0 we launch half the replicas they do.
catboost/cuda/gpu_data/feature_layout_doc_parallel.h	TDocParallelLayout::CreateFeaturesMapping	PARTIALLY reflected in gbdt/gpu_data/compressed_index_builder.mojo, and one step is ABSENT: :43-50 does Shuffle(TRandom(0)) then std::sort by GetGroupingLevel for the OneByte policy, which exists specifically to cluster the <=128-bin features together (feature_layout.cpp:60-71, their own comment says it is for the no-atomics path). Ours walks input order. This is what makes their per-group specialization pay, so omitting it and compute_by_blocks_helper together means every one-byte feature runs at the widest width present.
catboost/cuda/gpu_data/feature_layout_feature_parallel.h	TFeatureParallelLayout	Its mappings are verified to COLLAPSE onto the doc-parallel ones at one device (re-verified 2026-08-22 line by line against feature_layout_common.h:176-189). Not separately implemented because at one device there is nothing to implement.
catboost/cuda/gpu_data/feature_layout_single.h	TSingleDevLayout	Same: one device is the only case this implementation targets.
