# seed	tree	idx	u32	uniform_f32_bits
0	0	0	3179217846	3f3d7f04
0	0	1	1883133293	3ee07cab
0	0	2	2220552389	3f045af1
0	0	3	674260989	3e20c1a0
0	0	4	306521119	3d922921
0	0	5	1986458431	3eeccde6
0	0	6	977720403	3e691b51
0	0	7	1414583917	3ea8a1ad
0	0	8	618755781	3e1385db
0	0	9	806591051	3e404e69
0	0	10	3931542097	3f6a5692
0	0	11	2319818371	3f0a459f
0	0	12	4186136636	3f798360
0	0	13	2351362526	3f0c26f2
0	0	14	2805302092	3f273583
0	0	15	988863877	3e6bc376
0	0	16	1455376252	3ead7e8f
0	0	17	3270140066	3f42ea61
0	0	18	2343684074	3f0bb1c8
0	0	19	4167391656	3f78655a
0	0	20	907067221	3e5842fd
0	0	21	4066962176	3f7268eb
0	0	22	2375104708	3f0d9139
0	0	23	4198548494	3f7a40c4
0	0	24	1323287391	3e9dbf87
0	0	25	774830514	3e38bbe7
0	0	26	1663029081	3ec63f9f
0	0	27	4022654361	3f6fc4d6
0	0	28	2966708753	3f30d462
0	0	29	3673117668	3f5aef54
0	0	30	2098853966	3efa33f1
0	0	31	809800445	3e41124c
0	0	32	2175506700	3f01ab99
0	0	33	88267520	3ca85b60
0	0	34	4115535644	3f754e17
0	0	35	3325287004	3f4633da
0	0	36	1796834923	3ed6330d
0	0	37	768636282	3e3741d6
0	0	38	1111386028	3e847ccf
0	0	39	2625250083	3f1c7a23
0	0	40	3865893169	3f666cd9
0	0	41	1915835896	3ee462ac
0	0	42	1424062511	3ea9c2f0
0	0	43	3136498817	3f3af32d
0	0	44	4190632495	3f79c7fa
0	0	45	3212351592	3f3f7898
0	0	46	2094260242	3ef9a7c0
0	0	47	1366043788	3ea2d859
0	0	48	3057685797	3f364095
0	0	49	1466709601	3eaed86d
0	0	50	2008079276	3eef61b7
0	0	51	1701260987	3ecace5d
0	0	52	5308342	3aa1ff6d
0	0	53	2543178050	3f1795d1
0	0	54	3736231485	3f5eb25e
0	0	55	2715932468	3f21e1d7
0	0	56	2669648651	3f1f1f9b
0	0	57	2385687522	3f0e32b4
0	0	58	4272080351	3f7ea2c6
0	0	59	2252829540	3f064773
0	0	60	1820567791	3ed90752
0	0	61	591616115	3e0d0d62
0	0	62	940880395	3e6052c8
0	0	63	3397024107	3f4a7a79
0	0	64	3664895701	3f5a71df
0	0	65	3862772365	3f663d3b
0	0	66	1884817628	3ee0b012
0	0	67	1240037360	3e93d2f0
0	0	68	955498208	3e63cefc
0	0	69	1971474320	3eeb049f
0	0	70	2367341738	3f0d1ac5
0	0	71	3208068213	3f3f373c
0	0	72	3214913892	3f3f9fb1
0	0	73	3814925783	3f636326
0	0	74	1463678842	3eae7bef
